KEY,"Spanish"
Sub1_Dimael_1_1_1,"Aquel día humillante hace cien años."
Sub1_Dimael_1_1_2,"Es un recuerdo que jamás podré olvidar y que no debo olvidar. \n"
Sub1_Dimael_1_1_3,"El mundo estaba increíblemente calmo, y todo se derrumbaba."
Sub1_Dimael_1_1_4,"Como nos habíamos aislado de todo lo demás, no había nadie que pudiera ayudarnos."
Sub1_Dimael_1_1_5,"Sus cuchillas se incrustaron en los corazones de mis padres."
Sub1_Dimael_1_1_6,"Ese día, perdimos completamente."
Sub1_Dimael_1_1_7,"¡Dimael, no tenemos tiempo! A este paso, todos vamos a morir."
Sub1_Dimael_1_1_8,"¡Debemos ir hacia la Fortaleza!"
Sub1_Dimael_1_1_9,"Vayan."
Sub1_Dimael_1_1_10,"Yo intentaré ganar algo de tiempo."
Sub1_Dimael_1_1_11,"¡Es demasiado!"
Sub1_Dimael_1_1_12,"¡Debemos escapar junto con los demás que aún no se fueron!"
Sub1_Dimael_1_1_13,"¡No! Alguien tiene que defender la entrada a la Fortaleza. ¡De lo contrario, los enemigos también la invadirán!"
Sub1_Dimael_1_1_14,"¡Entiéndelo! ¡Te van a matar!"
Sub1_Dimael_1_1_15,"¡Si muero, será junto con estos desgraciados que asesinaron a mis padres!"
Sub1_Dimael_1_1_16,"¡Eres un terco!"
Sub1_Dimael_1_1_17,"Pues entonces yo también me quedo. No pienso abandonarte."
Sub1_Dimael_1_1_18,"¡Vete de una vez!"
Sub1_Dimael_1_2_1,"No avanzarás ni un paso más."
Sub1_Dimael_1_2_2,"Ah, pero qué intrépido."
Sub1_Dimael_1_2_3,"Tu valentía me asombra. Te dejaré vivir. Hazte a un lado."
Sub1_Dimael_1_2_4,"¡Deja de decir estupideces y pelea!"
Sub1_Dimael_1_2_5,"*Risa* Tu aspecto es deplorable y tienes ansias de morir."
Sub1_Dimael_1_2_6,"Los elfos oscuros se niegan a sucumbir ante monstruos como tú."
Sub1_Dimael_1_2_7,"Ingenuo... ¿No te das cuenta de que el mundo está por arrodillarse ante Angmund?"
Sub1_Dimael_1_2_8,"Ustedes, traidores, le dieron la espalda a la luz y se ocultaron entre las sombras."
Sub1_Dimael_1_2_9,"Entrégate a la oscuridad y acata sus reglas."
Sub1_Dimael_1_2_10,"Acepta la idea del mundo corrompido por el mal."
Sub1_Dimael_1_3_1,"Ugh..."
Sub1_Dimael_1_3_2,"No te resistas. Lo único que te espera en el futuro es la muerte."
Sub1_Dimael_1_3_3,"Libera el camino."
Sub1_Dimael_1_3_4,"Cuida de Epigael."
Sub1_Dimael_1_3_5,"¿Qué estás diciendo?"
Sub1_Dimael_1_3_6,"No me digas que te abandone. No vine desde tan lejos para hacer eso."
Sub1_Dimael_1_3_7,"Esta es mi última voluntad."
Sub1_Dimael_1_3_8,"Perdí a mis padres."
Sub1_Dimael_1_3_9,"No puedo perderte a ti o a mi hermana."
Sub1_Dimael_1_3_10,"¿Pero qué hay de ti?"
Sub1_Dimael_1_3_11,"¡Por favor, vete! ¡Igual no puedes pelear; estás muy debilitado!"
Sub1_Dimael_1_3_12,"..."
Sub1_Dimael_1_3_13,"Llevaré a Epigael a la Fortaleza."
Sub1_Dimael_1_3_14,"Regresa sano y salvo."
Sub1_Dimael_1_4_1,"Kh... Eso te pasa por alardear."
Sub1_Dimael_1_4_2,"¡Ja, ja, ja! ¡Qué curioso!"
Sub1_Dimael_1_4_3,"No sabía que había un guerrero tan fuerte entre los inferiores."
Sub1_Dimael_1_4_4,"Pero eso no altera el hecho de que hayas perdido."
Sub1_Dimael_1_4_5,"Cierra... la boca..."
Sub1_Dimael_1_4_6,"*Risa*. Admito que eres muy tenaz."
Sub1_Dimael_1_4_7,"Aprecio mucho a aquellos que no se dan por vencidos."
Sub1_Dimael_1_4_8,"Como tú. *Risa*."
Sub1_Dimael_1_4_9,"Estás muriendo..."
Sub1_Dimael_1_4_10,"¡¿...?!"
Sub1_Dimael_1_4_11,"¡Ah! ¿Qué me has hecho?"
Sub1_Dimael_1_4_12,"Es mi forma de agradecerte por haberme matado."
Sub1_Dimael_1_4_13,"Mereces este regalo más que nadie. ¡Ja, ja, ja!"
Sub1_Dimael_1_4_14,"*Tos, tos*"
Sub1_Dimael_1_4_15,"Protege tu vida con la misma tenacidad."
Sub1_Dimael_1_4_16,"Conviértete en el origen de una nueva especie que se extienda por el mundo."
Sub1_Dimael_1_4_17,"Él estará complacido de ver en qué te has transformado. ¡Ja, ja, ja!"
Sub1_Dimael_1_4_18,"Angmund, esta es mi manera de cumplir tu voluntad..."
Sub1_Dimael_1_4_19,"¡Desgraciado!"
Sub1_Dimael_1_4_20,"Qué me... hiciste..."
Sub1_Dimael_2_1_1,"¡Dimael! ¡Dimael!"
Sub1_Dimael_2_1_2,"¿Epigael, dónde estás?"
Sub1_Dimael_2_1_3,"Ayuda. Ayúdame, Dimael. Está muy oscuro."
Sub1_Dimael_2_1_4,"¡Epigael!"
Sub1_Dimael_2_1_5,"Dimael, aquí estoy."
Sub1_Dimael_2_1_6,"Ugh... ¿Es un sueño?"
Sub1_Dimael_2_1_7,"Estoy... vivo."
Sub1_Dimael_2_1_8,"Estoy vivo. ¡Vivo!"
Sub1_Dimael_2_1_9,"¡Epigael!"
Sub1_Dimael_2_1_10,"Tu hermano está vivo."
Sub1_Dimael_2_1_11,"Por favor, resiste. Por favor..."
Sub1_Dimael_2_1_12,"Lorraine, estuve explorando. Invadieron Arrovina, también."
Sub1_Dimael_2_1_13,"Esto es terrible."
Sub1_Dimael_2_1_14,"Los enemigos están avanzando más rápido de lo que esperábamos. Debemos apresurarnos."
Sub1_Dimael_2_1_15,"Intentaré demorarlos para que no vuelvan a meterse en tu camino."
Sub1_Dimael_2_1_16,"Después de haber visto lo que sucedió aquí, siento mucha preocupación. Pronto, todo el continente estará infestado de monstruos."
Sub1_Dimael_2_1_17,"El plan es formar una línea de defensa temporal con los sobrevivientes."
Sub1_Dimael_2_1_18,"Quiero seguirte y ayudar al Guerrero de la espada sagrada,"
Sub1_Dimael_2_1_19,"pero dado que la máxima prioridad es salvar todas las vidas que podamos... yo me encargaré de este lugar."
Sub1_Dimael_2_1_20,"Abriré un camino hasta tu destino en unos días. Sea como sea."
Sub1_Dimael_2_1_21,"Gracias, princesa. De prisa."
Sub1_Dimael_2_1_22,"¡¿Eh?!"
Sub1_Dimael_2_1_23,"¡Momento! ¡Hay un sobreviviente!"
Sub1_Dimael_2_1_24,"¡¿...?!"
Sub1_Dimael_2_1_25,"¿Ahora qué? ¿Realmente destruyeron Arrovina?"
Sub1_Dimael_2_1_26,"A un lado."
Sub1_Dimael_2_1_27,"No vinimos a hacerte daño. Hay ciertas personas a quienes debes ver."
Sub1_Dimael_2_1_28,"¡Basta de decir tonterías y lárguense!"
Sub1_Dimael_2_1_29,"¡Fuera de mi camino! ¡La única persona a quien debo ver es Epigael!"
Sub1_Dimael_2_1_30,"No lo comprende. ¿Acaso él también sucumbió ante la oscuridad?"
Sub1_Dimael_2_1_31,"¡Hay que atarlo antes de que escape!"
