KEY,"Thai"
Sub1_Dimael_1_1_1,"วันที่น่าอับอายนั่นเมื่อร้อยปีที่แล้ว"
Sub1_Dimael_1_1_2,"มันเป็นความทรงจำที่ข้าลืมไม่ลงและไม่ควรจะลืม \n"
Sub1_Dimael_1_1_3,"โลกทั้งใบเงียบสงัดและทุกสิ่งทุกอย่างพังทลายลง"
Sub1_Dimael_1_1_4,"เพราะเราปิดกั้นตัวเองออกจากโลกจึงไม่มีใครสามารถช่วยเราได้"
Sub1_Dimael_1_1_5,"คบดาบของพวกมันแทงทะลุหัวใจพ่อแม่ของข้า"
Sub1_Dimael_1_1_6,"ในวันนั้น เราพ่ายแพ้อย่างหมดท่า"
Sub1_Dimael_1_1_7,"Dimael เราไม่มีเวลาเหลือแล้วนะ! ถ้าเป็นแบบนี้ต่อไป พวกเราจะตายกันหมด"
Sub1_Dimael_1_1_8,"เราต้องหนีไปที่ป้อมปราการ!"
Sub1_Dimael_1_1_9,"ไปกันก่อนเลย"
Sub1_Dimael_1_1_10,"ข้าจะถ่วงเวลาให้เอง"
Sub1_Dimael_1_1_11,"ไม่ได้นะ!"
Sub1_Dimael_1_1_12,"เราควรจะไปจากที่นี่พร้อมกับคนอื่นๆ ที่ยังไม่ได้หนี!"
Sub1_Dimael_1_1_13,"ไม่! ต้องมีใครสักคนป้องกันทางเข้าป้อมปราการ ไม่เช่นนั้นพวกศัตรูจะบุกทะลวงเข้ามาได้!"
Sub1_Dimael_1_1_14,"ฟังข้าให้ดี! เจ้าไม่มีทางรอดแน่ๆ!"
Sub1_Dimael_1_1_15,"หากข้าจะต้องตาย ข้าขอตายไปพร้อมกับพวกสวะที่ฆ่าพ่อแม่ของข้า!"
Sub1_Dimael_1_1_16,"เจ้ามันดื้อด้านจริงๆ เลย!"
Sub1_Dimael_1_1_17,"งั้นข้าจะอยู่กับเจ้าด้วย ข้าไม่มีทางทิ้งเจ้าไว้คนเดียวแน่"
Sub1_Dimael_1_1_18,"ข้าบอกให้ไปไง!"
Sub1_Dimael_1_2_1,"เจ้าจะไม่มีทางก้าวผ่านข้าไปแม้แต่ก้าวเดียว"
Sub1_Dimael_1_2_2,"อ่า ช่างเป็นคนที่ใจถึงดีจริงๆ"
Sub1_Dimael_1_2_3,"ความกล้าหาญของเจ้าน่าประทับใจดีนะ ข้าจะไว้ชีวิตเจ้า หลีกไปซะ"
Sub1_Dimael_1_2_4,"หุบปากโสโครกของเจ้าแล้วมาสู้กันดีกว่า!"
Sub1_Dimael_1_2_5,"*หึ* สภาพเจ้าไม่ต่างอะไรจากผ้าขี้ริ้วที่กำลังรนหาที่ตาย"
Sub1_Dimael_1_2_6,"เอลฟ์มืดจะไม่ยอมศิโรราบต่อปีศาจร้ายแบบเจ้า"
