KEY,"Russian"
Sub1_Rephy_1_1_1,"Проводник Синей звезды"
Sub1_Rephy_1_1_2,"У каждого живого существа есть душа."
Sub1_Rephy_1_1_3,"И хотя жизнь конечна,"
Sub1_Rephy_1_1_4,"души не покидают этот мир света."
Sub1_Rephy_1_1_5,"Все они возвращаются к себе домой,"
Sub1_Rephy_1_1_6,"на Синюю звезду."
Sub1_Rephy_1_1_7,"И там, в саду королевы Синей звезды Асифии,"
Sub1_Rephy_1_1_8,"они пребывают в мире и покое."
Sub1_Rephy_1_1_9,"Они ждут, когда Луа призовет их и"
Sub1_Rephy_1_1_10,"отправит обратно в мир света."
Sub1_Rephy_1_1_11,"Конечно, не всем душам удается вернуться."
Sub1_Rephy_1_1_12,"Только чистые души, преодолевшие Мост Звездного Сияния,"
Sub1_Rephy_1_1_13,"попадают на Синюю звезду."
Sub1_Rephy_1_1_14,"Души, заблудившиеся по дороге к Мосту Звездного Сияния,"
Sub1_Rephy_1_1_15,"будут осквернены тьмой."
Sub1_Rephy_1_1_16,"Вот зачем нужны проводники душ."
Sub1_Rephy_1_1_17,"Чтобы души не сбились с пути,"
Sub1_Rephy_1_1_18,"они берут лампы, освещающие Туманные Холмы..."
Sub1_Rephy_1_1_19,"..."
Sub1_Rephy_1_1_20,"Ты меня слушаешь?"
Sub1_Rephy_1_1_21,"Леви... Леви! Леви!"
Sub1_Rephy_1_2_1,"А? Что? Я не спал. Клянусь!"
Sub1_Rephy_1_2_2,"Леви! Ну как же так?! Какой это уже раз по счету?"
Sub1_Rephy_1_2_3,"Я рассказываю тебе о самой главной работе в племени тамии, а ты дрыхнешь..."
Sub1_Rephy_1_2_4,"Что? Нет! Леви внимательно слушал все, что ему рассказывали!"
Sub1_Rephy_1_2_5,"С помощью Светоча богов, который нам дал страж Синей звезды,"
Sub1_Rephy_1_2_6,"мы можем... эм... поджечь Туманные Холмы?"
Sub1_Rephy_1_2_7,"Что ты вообще несешь?"
Sub1_Rephy_1_2_8,"Слушай! Мы освещаем Туманные Холмы ярким светом, словно светом маяка!"
Sub1_Rephy_1_2_9,"Затем мы заставляем Мост Звездного Сияния вновь сверкать, чтобы заблудшие души могли найти путь к Синей звезде..."
Sub1_Rephy_1_2_10,"Х-р-р... Х-р-р..."
Sub1_Rephy_1_2_11,"Опять спишь?.."
Sub1_Rephy_1_2_12,"Ох... И почему перед тем, как отправиться на Синюю звезду, мудрец назначил именно этого нерадивого юнца своим преемником?"
Sub1_Rephy_1_2_13,"За что мне все это?.. Почему я должен возиться с этим мальчишкой?"
Sub1_Rephy_1_2_14,"Хм? *Принюхивается* Что это за запах... Эй! Здесь воняет!"
Sub1_Rephy_1_2_15,"Как ты смеешь? Я мылся всего лишь месяц назад! Это не от меня..."
Sub1_Rephy_1_2_16,"Да нет же... Это, должно быть..."
Sub1_Rephy_1_2_17,"Запах тьмы... Точно, я чувствую жуткий запах!"
Sub1_Rephy_1_2_18,"Это темные души!"
Sub1_Rephy_1_2_19,"Леви! Стой! Одному идти слишком опасно!"
Sub1_Rephy_1_3_1,"Какой невыносимый запах... Все эти темные души – демоны!"
Sub1_Rephy_1_3_2,"Как они посмели заявиться в наш Город Фонарщиков?!"
Sub1_Rephy_1_3_3,"Души леса! Взываю к вашей помощи!"
Sub1_Rephy_1_4_1,"Хи-хи! Теперь вы знаете, на что способен Проводник душ Леви! Правда?"
Sub1_Rephy_1_4_2,"Ты?!"
Sub1_Rephy_1_4_3,"..."
Sub1_Rephy_1_4_4,"Ты из тамианцев... Как ты можешь быть темной душой?!"
Sub1_Rephy_1_4_5,"Души света... давайте все вместе..."
Sub1_Rephy_1_4_6,"отправимся... в темную бездну..."
Sub1_Rephy_1_4_7,"Ни за что! Эй, ты меня слышишь? Очнись!"
Sub1_Rephy_1_4_8,"Сюда! Следуй за светом лампы! Не подходи слишком близко ко тьме!"
Sub1_Rephy_1_5_1,"Что здесь происходит?"
Sub1_Rephy_1_5_2,"Никто не может попасть в Город Фонарщиков в лесу Элидоры без нашего разрешения... Как демоны сюда проникли?"
Sub1_Rephy_1_5_3,"Эта темная душа была нашим соплеменником?"
Sub1_Rephy_1_5_4,"Да..."
Sub1_Rephy_1_5_5,"Мне... не удалось его спасти. Я все говорил, чтобы он вышел из тьмы..."
Sub1_Rephy_1_5_6,"И я зажег Светоч богов... Почему он не сработал?"
Sub1_Rephy_1_5_7,"Вы же говорили, что каждая душа может безопасно пересечь Мост Звездного Сияния, когда мы зажигаем лампу!"
Sub1_Rephy_1_5_8,"Леви... Успокойся. Одного Светоча богов недостаточно."
Sub1_Rephy_1_5_9,"И я говорил, что зажигать лампу нужно на Туманных Холмах, чтобы души снова последовали за светом."
Sub1_Rephy_1_5_10,"Значит... Если я зажгу лампу на каких-то Туманных Холмах..."
Sub1_Rephy_1_5_11,"Все души смогут вернуться к себе домой, на Синюю звезду?"
Sub1_Rephy_1_5_12,"Конечно. Неужто ты меня слушал?"
Sub1_Rephy_1_5_13,"Туманные Холмы – это самое темное место по дороге к Мосту Звездного Сияния."
Sub1_Rephy_1_5_14,"Если душа там заблудится, она оскверняется тьмой, как вот эта душа."
Sub1_Rephy_1_5_15,"Фух. Слава свету."
Sub1_Rephy_1_5_16,"А я уж было подумал, что вся эта история со Светочем богов – очередная сказка."
Sub1_Rephy_1_5_17,"Как ты можешь так думать?! Светоч богов – самое ценное сокровище племени тамии."
Sub1_Rephy_1_5_18,"С его помощью наше племя выполняет божественный долг, возложенный на нас богом-драконом Якобини, стражем Синей звезды!"
Sub1_Rephy_1_5_19,"Мы должны освещать Мост Звездного Сияния этой лампой и указывать душам света путь на Синюю звезду."
Sub1_Rephy_1_5_20,"Теперь понятно. Ух ты, господин Яко, вы действительно так много знаете!"
Sub1_Rephy_1_5_21,"Ох... У меня уже голова разболелась от этих всех разговоров."
Sub1_Rephy_1_5_22,"Я, кстати, немного озадачен... Похоже, тьма может осквернить даже души тамианцев..."
Sub1_Rephy_1_5_23,"Полагаю, Туманные Холмы уже очень близко... Проклятье."
Sub1_Rephy_1_5_24,"Время пришло. Кхе-кхе! Я, вождь племени тамии, приказываю тебе, Проводник душ Леви!"
Sub1_Rephy_1_5_25,"Ага, Леви слушает. Что мне делать?"
Sub1_Rephy_1_5_26,"Приказываю тебе найти местоположение Туманных Холмов и осветить их Светочем богов."
Sub1_Rephy_1_5_27,"Покинь Город Фонарщиков прямо сейчас и отправляйся в путь."
Sub1_Rephy_1_5_28,"Хорошо. Пойду собираться. До скорого!"
Sub1_Rephy_1_5_29,"Погоди! Это не увеселительная прогулка, Леви! Ты еще даже ни разу не был за пределами нашего города!"
Sub1_Rephy_1_5_30,"Сначала я должен рассказать тебе об опасностях внешнего мира."
Sub1_Rephy_1_5_31,"Не следуй за кем попало... Не доверяй незнакомцам. Держи деньги во внутренних карманах..."
Sub1_Rephy_1_5_32,"Ладно... Ладно... Х-р-р..."
Sub1_Rephy_1_5_33,"И держись подальше от Орвела. Там полно злых душ."
Sub1_Rephy_1_5_34,"Мы можем доверять только мудрой Лорейн... Так! Повтори все, что я сказал!"
Sub1_Rephy_1_5_35,"А? Ну это... короче... Мудрец Леви отправляется в поход, чтобы найти Туманные Холмы!"
Sub1_Rephy_1_5_36,"В Орвел... где полно людей, которым мы можем доверять!"
Sub1_Rephy_1_5_37,"Я уже готов идти! До свидания. Еще увидимся!"
Sub1_Rephy_1_5_38,"Что ж, береги себя, Леви. Ты мудрец племени тамии!"
Sub1_Rephy_1_5_39,"А? Стой! Ты сказал «в Орвел»?!"
Sub1_Rephy_1_5_40,"Нет! Тебе нужно идти к мудрой Лорейн!"
Sub1_Rephy_1_5_41,"Уже ушел..."
Sub1_Rephy_1_5_42,"Да направят это неразумное дитя страж Синей звезды... королева... и наши предки."
Sub1_Rephy_2_1_1,"Ух ты! Это Орвел!"
Sub1_Rephy_2_1_2,"Какой он большой! И сколько здесь людей!"
Sub1_Rephy_2_1_3,"И так много душ! Хм? Душ света... темных душ... серых душ..."
Sub1_Rephy_2_1_4,"Поистине столица!"
Sub1_Rephy_2_1_5,"Эй... ты. Я таких существ еще здесь не видел. Что привело тебя в Орвел?"
