KEY,"English"
Sub1_Crow_1_1_1,"It all started back then."
Sub1_Crow_1_1_2,"We were only supposed to be on a routine mission."
Sub1_Crow_1_2_1,"Hey, old man!"
Sub1_Crow_1_2_2,"What happened to your uniform?"
Sub1_Crow_1_2_3,"I like it this way. This is much more comfortable."
Sub1_Crow_1_2_4,"Well, it should be fine."
Sub1_Crow_1_2_5,"You're aware of today's mission. Correct?"
Sub1_Crow_1_2_6,"As always, if the target is a person, we kill them, and if it's a thing, we steal it, no?"
Sub1_Crow_1_2_7,"…"
Sub1_Crow_1_2_8,"Damn, you seem awfully cold."
Sub1_Crow_1_2_9,"The mission will start in 10 minutes."
Sub1_Crow_1_2_10,"You may want to go over it in your head before we get to work."
Sub1_Crow_1_2_11,"You're way too serious!\nAll we have to do is shoot, roll, shoot again, then leave the scene."
Sub1_Crow_1_2_12,"…"
Sub1_Crow_1_2_13,"Mission received at 23:10."
Sub1_Crow_1_2_14,"Recipient: Hound Unit First Squad leader, Second Lieutenant Mitra."
Sub1_Crow_1_2_15,"Mission commencing at 23:00. ETA to destination: 24:00.\nRetrieve objective at Point 3, and deliver it to the transport unit by 01:10."
Sub1_Crow_1_2_16,"In case of failure, return to the first point by 00:40 and stand-by until further orders."
Sub1_Crow_1_2_17,"Roger that."
Sub1_Crow_1_2_18,"Let's move."
Sub1_Crow_1_3_1,"You know what? We're always doing these dangerous missions in the shadows for them."
Sub1_Crow_1_3_2,"Putting our lives on the line… Why are they never grateful?"
Sub1_Crow_1_3_3,"I'm not complaining, but we literally are doing all the dirty work."
Sub1_Crow_1_3_4,"..."
Sub1_Crow_1_3_5,"Well, I do get to shoot people as much as I want..."
Sub1_Crow_1_3_6,"I guess that makes it up for it, actually."
Sub1_Crow_1_3_7,"When you talk to Jacks, you start to see other things than just the combat."
Sub1_Crow_1_3_8,"Yeah, this usually ain't the stuff I'd complain about. That's weird."
Sub1_Crow_1_3_9,"That guy is pretty strange. He never gets tired of calling me over all the time."
Sub1_Crow_1_3_10,"He says it's to manage any PTSD I might have after the operation."
Sub1_Crow_1_3_11,"Pansirone never mentioned that."
Sub1_Crow_1_3_12,"That's because she's too busy hiding from him!\nIt seems Jacks has given up on her as well."
Sub1_Crow_1_3_13,"Now that you mention it, stop sending me on missions with that damn kid."
Sub1_Crow_1_3_14,"That weirdo went mental last time and tried to kill everything! Even our own team!"
Sub1_Crow_1_3_15,"Since when did you care for your allies?"
