KEY,"German"
Sub1_Crow_1_1_1,"Damals hat alles begonnen."
Sub1_Crow_1_1_2,"Es sollte nur eine Routinemission sein."
Sub1_Crow_1_2_1,"Hey, alter Mann!"
Sub1_Crow_1_2_2,"Was ist mit deiner Uniform passiert?"
Sub1_Crow_1_2_3,"Ich trage sie gerne so. So ist sie viel bequemer."
Sub1_Crow_1_2_4,"Nun, in Ordnung."
Sub1_Crow_1_2_5,"Ich wette, du kennst die heutige Mission."
Sub1_Crow_1_2_6,"Wenn das Ziel eine Person ist, töten wir sie, wenn es ein Ding ist, stehlen wir es, oder?"
Sub1_Crow_1_2_7,"..."
Sub1_Crow_1_2_8,"Wow, du klingst schrecklich kalt."
Sub1_Crow_1_2_9,"Du weißt bereits, dass die Mission in 10 Minuten startet."
Sub1_Crow_1_2_10,"Du solltest die Mission in deinem Kopf durchspielen, bevor wir uns an die Arbeit machen."
Sub1_Crow_1_2_11,"Du bist immer viel zu ernst! Dabei müssen wir nur schießen, rollen, erneut schießen und dann den Tatort verlassen."
Sub1_Crow_1_2_12,"..."
Sub1_Crow_1_2_13,"Mission erhalten um 2310."
Sub1_Crow_1_2_14,"Empfänger: Erster Truppführer der Jagdhundeinheit, Leutnant Mitra."
Sub1_Crow_1_2_15,"Mission beginnt um 2300. Geschätzter Zeitpunkt der Ankunft am Zielort: 2400. Objekt an Punkt 3 sicherstellen und bis 0110 zur Transporteinheit bringen."
Sub1_Crow_1_2_16,"Im Fall eines Versagens bis 0040 zum ersten Punkt zurückkehren und auf weitere Befehle warten."
Sub1_Crow_1_2_17,"Verstanden."
Sub1_Crow_1_2_18,"Machen wir uns auf den Weg."
Sub1_Crow_1_3_1,"Wir führen diese ganzen gefährlichen Missionen für sie aus und setzen dabei unsere Leben aufs Spiel."
Sub1_Crow_1_3_2,"Wir erledigen immer die Drecksarbeit im Schatten. Warum sind sie dafür nicht dankbar?"
Sub1_Crow_1_3_3,"Ich will mich ja nicht beschweren, aber wir machen im wahrsten Sinn des Wortes die Drecksarbeit."
Sub1_Crow_1_3_4,"..."
Sub1_Crow_1_3_5,"Nun, ich darf so viele Leute erschießen, wie ich will ..."
Sub1_Crow_1_3_6,"Ich schätze, das ist Entschädigung genug."
Sub1_Crow_1_3_7,"Wenn du mit Jacks sprichst, beginnst du neben dem Kampf noch andere Dinge zu sehen."
Sub1_Crow_1_3_8,"Ja, und darüber würde ich mich auch nie beschweren. Das ist seltsam."
Sub1_Crow_1_3_9,"Dieser Typ ist seltsam. Er wird es nie leid, mich anzurufen und mich zu sich einzuladen."
Sub1_Crow_1_3_10,"Er sagt, dadurch würde er mit der posttraumatischen Belastungsstörung nach der Operation fertigwerden."
Sub1_Crow_1_3_11,"Das hat Pansirone nie erwähnt."
Sub1_Crow_1_3_12,"Das liegt daran, dass sie immer vor ihm davonläuft und sich versteckt! Anscheinend hat Jacks sie auch aufgegeben."
Sub1_Crow_1_3_13,"Wo wir gerade darüber sprechen: Hör auf, mich mit diesem Kind auf Missionen zu schicken."
Sub1_Crow_1_3_14,"Beim letzten Mal ist dieser Verrückte durchgedreht und hat versucht, jeden zu töten!\nSogar unsere Verbündeten!"
Sub1_Crow_1_3_15,"Komm schon, seit wann interessierst du dich für deine Verbündeten?"
Sub1_Crow_1_3_16,"Nun, tue ich nicht. Aber ich interessiere mich für mein Leben."
Sub1_Crow_1_3_17,"Hmm ..."
Sub1_Crow_1_3_18,"Dann werde ich dich beim nächsten Mal mit Kibera losschicken ..."
Sub1_Crow_1_3_19,"Nein, nein, ich mag Pansirone, wirklich!"
Sub1_Crow_1_3_20,"Ich könnte aber auch mit dir mitkommen, alter Mann, wie jetzt."
Sub1_Crow_1_3_21,"Seltsam ..."
