KEY,"Korean"
Sub1_Crow_1_1_1,"모든 시작은 그 때.. "
Sub1_Crow_1_1_2,"늘, 익숙하게 수행했던 임무에서 시작되었다."
Sub1_Crow_1_2_1,"여어 꼰대~"
Sub1_Crow_1_2_2,"제복은?"
Sub1_Crow_1_2_3,"난 이게 훨씬 편한 복장이라서 말이야."
Sub1_Crow_1_2_4,"뭐, 괜찮겠지."
Sub1_Crow_1_2_5,"임무는 숙지해 왔겠지?"
Sub1_Crow_1_2_6,"뭐, 여튼 그렇듯이. 타겟이면 죽이면 되는 거고, 물건이면 탈취하면 되는 거 아닌가?"
Sub1_Crow_1_2_7,"..."
Sub1_Crow_1_2_8,"에이~ 영 사람이 정이 없어 정이."
Sub1_Crow_1_2_9,"알고 있겠지만 임무는 10분 뒤에 시작된다."
Sub1_Crow_1_2_10,"그동안 임무에 대해 숙지하는 게 좋을 거다."
Sub1_Crow_1_2_11,"거 깐깐하네~ 늘 그렇듯이 슥~ 하면 탕! 하고 삭~ 하면 탕! 해서 샥샥하면 되는걸.."
Sub1_Crow_1_2_12,"..."
Sub1_Crow_1_2_13,"23시 10분 임무 하달받았습니다."
Sub1_Crow_1_2_14,"인수자 하운드 부대 1번 조장 미트라 소위. "
Sub1_Crow_1_2_15,"임무시작 23시 00분, 목표 포인트까지 도달 완료 예정 시각 24시 00분.\n포인트 3지점에서 목표 물건을 회수, 01시 10분 수송부대에 무사히 인계할 것. "
Sub1_Crow_1_2_16,"임무 실패 시, 00시 40분 1차 포인트 귀환. 별도 명령 하달 대기. "
Sub1_Crow_1_2_17,"숙지완료 하였습니다."
Sub1_Crow_1_2_18,"가자."
Sub1_Crow_1_3_1,"보면 말이야, 매번 이렇게 목숨 걸고 자기네들이 못하는 임무를 우리가 해주고 있는데 "
Sub1_Crow_1_3_2,"그것도 또 이렇게 비밀스럽게 말이야, 근데 대체 고마워할 줄을 모른다니까?"
Sub1_Crow_1_3_3,"말은 안 하지만 온갖 더러운 일은 우리가 다 하고 있잖아?"
Sub1_Crow_1_3_4,"..."
Sub1_Crow_1_3_5,"뭐, 나야 총알이나 박아주면 그만이긴 한데... "
Sub1_Crow_1_3_6,"어? 그러고 보니까 뭐 별 상관없나?"
Sub1_Crow_1_3_7,"...확실히 젝스와 얘기를 나누다 보면.. 전투 외의 일에 신경이 가긴 하지."
Sub1_Crow_1_3_8,"그러게, 내가 왜 이런 거에 불만을 가졌지? 거 희한하네."
Sub1_Crow_1_3_9,"신기하단 말이야 그 양반. 지치지도 않고 매번 불러댄다니까? "
Sub1_Crow_1_3_10,"작전 후 외상 스트레스를 위한 소견서 작성 사유라며 말이야. "
Sub1_Crow_1_3_11,"판시로네는 그런 말 없었다."
Sub1_Crow_1_3_12,"걔는 늘 딴 데로 도망쳐버리니까 그렇지! 젝스도 반쯤 포기한 거 같기도 하고."
Sub1_Crow_1_3_13,"맞아, 말이 나와서 하는 얘긴데. 자꾸 나랑 그 망할 꼬맹이랑 엮어서 보내지 말라니까."
Sub1_Crow_1_3_14,"저번에도 그 망할 것이 정신이 뿅- 가서는 아군이고 뭐고 다 죽이려고 들어서 얼마나 피해 봤는데."
Sub1_Crow_1_3_15,"네가 아군이 피해 본다고 해서 신경 쓰는 녀석은 아닐 텐데.."
Sub1_Crow_1_3_16,"뭐, 그야 그렇지만. 근데... 그 아군에 나도 포함되어있으니까 문제!"
Sub1_Crow_1_3_17,"흠..."
Sub1_Crow_1_3_18,"그럼 키베라와.."
Sub1_Crow_1_3_19,"워워, 그냥 판시로네랑 다닐게."
Sub1_Crow_1_3_20,"뭐, 아니면 꼰대랑 이렇게 다녀도 괜찮고."
Sub1_Crow_1_3_21,"이상하군.. "
Sub1_Crow_1_3_22,"일반군이 들어올 만한 곳은 아닌 것 같지만, 그렇다고 우리가 필요한 일도 아닌 것 같은데."
Sub1_Crow_1_3_23,"괜찮지 않아? 총잡이들끼리 말이야. 아, 그러고 보니 "
Sub1_Crow_1_3_24,"..."
Sub1_Crow_1_3_25,"듣고 있어? 어이, 꼰대??"
Sub1_Crow_1_3_26,"온다."
Sub1_Crow_1_3_27,"하여간, 깍쟁이라니까."
Sub1_Crow_1_4_1,"식별감시.."
Sub1_Crow_1_4_2,"적합자임을 확인함."
Sub1_Crow_1_4_3,"방금 그 팬던트 빛나지 않았어?"
Sub1_Crow_1_4_4,"으잉? 이게 뭐야? 이거 포션인가?"
Sub1_Crow_1_4_5,"피 로군.."
Sub1_Crow_1_4_6,"피? 피가 여기 왜 있어? 누가 봐도 이건 보관 해놓은 건데?"
Sub1_Crow_1_4_7,"으어? 뭐야 방금 피가 움직이..."
Sub1_Crow_1_4_8,"..."
Sub1_Crow_1_4_9,"으 기분나빠..."
Sub1_Crow_1_4_10,"타겟 확보. 수송대와 컨텍을 위해 이동한다."
Sub1_Crow_1_4_11,"붉은 공주가 원한 일은 아니었을 터.."
Sub1_Crow_1_4_12,"어째서.."
Sub1_Crow_1_4_13,"깨우려 하는가.."
Sub1_Crow_1_4_14,"??"
Sub1_Crow_1_4_15,"어이~~ 들리십니까?"
Sub1_Crow_1_4_16,"아무것도 아니다."
Sub1_Crow_1_4_17,"..."
Sub1_Crow_2_1_1,"보름, "
Sub1_Crow_2_1_2,"늘, 익숙하게 수행했던 임무를 마치고"
Sub1_Crow_2_1_3,"돌아온 그날.."
Sub1_Crow_2_1_4,"세상이 사라져버렸다."
Sub1_Crow_2_1_5,"이미 늦었어! "
Sub1_Crow_2_1_6,"누구야 저 사람."
Sub1_Crow_2_1_7,"어이! 거기 위험하다고!"
