KEY,Thai
Sub1_Crow_1_1_1,ทุกอย่างมันเริ่มต้นขึ้นในตอนนั้น
Sub1_Crow_1_1_2,พวกเราควรจะทำแค่ภารกิจประจำวันเพียงเท่านั้น
Sub1_Crow_1_2_1,นี่ ตาแก่!
Sub1_Crow_1_2_2,เกิดอะไรขึ้นกับชุดของเจ้าน่ะ
Sub1_Crow_1_2_3,ข้าชอบใส่แบบนี้ มันสบายกว่าเยอะ
Sub1_Crow_1_2_4,อืม น่าจะไม่เป็นอะไรมั้ง
Sub1_Crow_1_2_5,ข้าพนันได้เลยว่าเจ้ารู้อยู่แล้วว่าภารกิจของวันนี้คืออะไร
Sub1_Crow_1_2_6,ก็เหมือนกับทุกครั้งที่เราทำ หากเป้าหมายเป็นคนเราก็จัดการซะ แต่หากเป็นสิ่งของเราก็จะขโมย ใช่มั้ยล่ะ
Sub1_Crow_1_2_7,...
Sub1_Crow_1_2_8,ว้าว เจ้าพูดได้เลือดเย็นสุดๆ
Sub1_Crow_1_2_9,เจ้ารู้อยู่แล้วว่าภารกิจนี้จะเริ่มต้นในอีก 10 นาที
Sub1_Crow_1_2_10,เจ้าควรทบทวนภารกิจในหัวก่อนที่จะลงมือนะ
Sub1_Crow_1_2_11,เจ้าจริงจังมากเกินไปตลอดเลย! ที่เราต้องทำก็แค่ยิง หลบ ยิง แล้วก็เผ่น
Sub1_Crow_1_2_12,...
Sub1_Crow_1_2_13,รับภารกิจที่ 23:10 น.
Sub1_Crow_1_2_14,ผู้รับ: หัวหน้าหน่วยสุนัขล่าเนื้อกลุ่มแรก ร้อยโท Mitra
Sub1_Crow_1_2_15,ภารกิจเริ่มต้นที่ 23:00 น. เวลาถึงปลายทางโดยประมาณ: 24:00 น. ชิงเป้าหมายที่จุด 3 และนำไปส่งให้กับหน่วยขนส่งภายในเวลา 01:10 น.
Sub1_Crow_1_2_16,หากภารกิจล้มเหลว ให้กลับไปยังจุดแรกภายในเวลา 00:40 น. และรอคำสั่งต่อไป
Sub1_Crow_1_2_17,รับทราบ
Sub1_Crow_1_2_18,ไปลุยกันเลย
Sub1_Crow_1_3_1,คิดดูสิ เรากำลังทำภารกิจสุดอันตรายพวกนี้ให้พวกเขา เอาชีวิตของเราไปเสี่ยง
Sub1_Crow_1_3_2,เราทำงานสกปรกอยู่ในเงามืดอยู่ตลอดเวลา ทำไมพวกเขาไม่เคยรู้สึกซาบซึ้งบ้างนะ
Sub1_Crow_1_3_3,ข้าไม่ได้จะบ่นหรอก แต่เราทำงานสกปรกให้พวกเขาทุกอย่างจริงๆ เลยนะ
Sub1_Crow_1_3_4,...
Sub1_Crow_1_3_5,ก็นะ ยังไงข้าก็ได้ยิงคนตามใจอยาก...
Sub1_Crow_1_3_6,พอคิดแบบนั้น มันก็ไม่ถือว่าแย่มั้ง
Sub1_Crow_1_3_7,เวลาเจ้าคุยกับ Jacks เจ้าจะเริ่มเห็นอะไรอย่างอื่นที่นอกเหนือจากการต่อสู้
Sub1_Crow_1_3_8,ใช่ นี่เป็นสิ่งที่ข้าไม่เคยรู้สึกอยากบ่นมาก่อนเลย แปลกดีแฮะ
Sub1_Crow_1_3_9,เจ้าหมอนั้นค่อนข้างพิลึกคน เขาไม่เคยเบื่อที่จะสั่งและใช้ข้าทำอะไรต่างๆ ตลอดเวลา
Sub1_Crow_1_3_10,เขาบอกว่าทั้งหมดก็เพื่อจัดการกับความเครียดหลังจากเหตุการณ์รุนแรงในการปฏิบัติการ
Sub1_Crow_1_3_11,Pansirone ไม่เคยพูดถึงมันเลย
