KEY,Korean
Sub1_Ophelia_1_1,꿈을 꾸었습니다.
Sub1_Ophelia_1_2,온 세상이 어둠으로 물들어 버리는 다시는 꾸고 싶지 않은 꿈.
Sub1_Ophelia_1_3,나는 그때 세상이 어둠에 물들어 버리는 광경을 바라볼 수밖에 없었습니다.
Sub1_Ophelia_1_4,꿈을 꾸었습니다.
Sub1_Ophelia_1_5,"그저 주저앉아 어린아이처럼 울기만 하던 내 곁에, 빛살같이 들어 온 그 사람."
Sub1_Ophelia_1_6,그가 손을 뻗자 
Sub1_Ophelia_1_7,"꽃은 수많은 색으로 물들었고,"
Sub1_Ophelia_1_8,"대지와 하늘은 푸름을 되찾았으며,"
Sub1_Ophelia_1_9,태양은 어둠을 물러가게 만들었습니다.
Sub1_Ophelia_1_10,"꿈에서 깨어났을 때,"
Sub1_Ophelia_1_11,기억나지 않는 얼굴. 
Sub1_Ophelia_1_12,기억나지 않는 목소리.
Sub1_Ophelia_1_13,하지만 나의 등을 토닥여준 따스한 그 온기만은 잊지 못합니다.
Sub1_Ophelia_1_14,그래서 나는 반드시 그를 만나야 합니다.
Sub1_Ophelia_1_15,나의 이정표. 
Sub1_Ophelia_1_16,나의 별.
Sub1_Ophelia_1_17,나의 운명.
Sub1_Ophelia_2_1,으음.. 스타더스트와 떨어진 지 벌써 한 달이네.
Sub1_Ophelia_2_2,단장님은 지금쯤 대륙을 건너셨겠지?
Sub1_Ophelia_2_3,"이번 순례.. 그분의 꿈도 꾸고, 왠지 느낌이 좋아!"
Sub1_Ophelia_2_4,"너희들도 그렇지, 아이들?"
Sub1_Ophelia_2_5,얘들아~~~ 간지러워~! 하핫!
Sub1_Ophelia_2_6,마법의 타로마차님. 서둘러 세계수로 가요~!
Sub1_Ophelia_3_1,별의 속삭임을 들어본 적 있나요.
Sub1_Ophelia_3_2,신비하고 맑은 그 소리들이
Sub1_Ophelia_3_3,왜냐하면 오늘은
Sub1_Ophelia_3_4,"점성술사라면, 모두 이곳의 하늘을 향해 모일 것이랍니다."
Sub1_Ophelia_3_5,"최초의 점성술이 시작된 성지, 세계수로 말이죠."
Sub1_Ophelia_3_6,"와.. 사람이 많구나. 하긴, 오늘이라면 그럴만두 하지. "
Sub1_Ophelia_3_7,"마녀, 오펠리아. "
Sub1_Ophelia_3_8,"별로 예지의 역사를 이은 자로서, 세계수에 기도 올립니다."
Sub1_Ophelia_3_9,"앞으로도 사람들의 눈동자 속에 빛을 볼 수 있도록 도와주시고,"
Sub1_Ophelia_3_10,또... 제 님의 얼굴도 세상에서 제일 잘생긴..
Sub1_Ophelia_3_11,조용히 하렴~ 꼭 이곳만 오면 저런다니까.. 여기는 경건한 곳이라구. 
Sub1_Ophelia_3_12,어...? 벨레키아 -!! 어딜가!!!
Sub1_Ophelia_3_13,여기서 길 잃으면 위험하다구!!!
Sub1_Ophelia_3_14,"벨레키아, 거기 있는 거야?"
Sub1_Ophelia_3_15,... 저 빛은 뭐지..
Sub1_Ophelia_3_16,응..?! 마법진인가...?
Sub1_Ophelia_3_17,아...!
Sub1_Ophelia_3_18,그대가 올 것임을 알고 있었단다.
Sub1_Ophelia_3_19,나의 마지막 꿈이 된 소녀...
Sub1_Ophelia_3_20,당신은 누구....
Sub1_Ophelia_4_1,아... 머리야..... 대체 무슨 일이 있었던 거지..
Sub1_Ophelia_4_2,여기는 또 어디고...
Sub1_Ophelia_4_3,다들 무사한 거지?
Sub1_Ophelia_4_4,.....
Sub1_Ophelia_4_5,어....?
Sub1_Ophelia_4_6,다들.. 왜 이렇게 조용해?
Sub1_Ophelia_4_7,얘들아? 장난치는 거지?
Sub1_Ophelia_4_8,"에이, 왜 그래~~~"
Sub1_Ophelia_4_9,"나 이런 장난 싫어, 어서 대답해줘."
Sub1_Ophelia_4_10,엘리시어드! 벨레키아! 카르타! 파넬리티! 기간테스!!
Sub1_Ophelia_4_11,저어... 
Sub1_Ophelia_4_12,.....?
Sub1_Ophelia_4_13,그런 일이....
