KEY,Spanish
Sub1_Ophelia_1_1,Tuve un sueño.
Sub1_Ophelia_1_2,"Un sueño que espero no se vuelva a repetir, donde todo el mundo es envuelto en oscuridad."
Sub1_Ophelia_1_3,En ese entonces no pude hacer nada más que contemplar cómo el mundo entero era cubierto en tinieblas.
Sub1_Ophelia_1_4,Tuve un sueño.
Sub1_Ophelia_1_5,Esa persona que llegó como un rayo de luz a mi lado cuando yo estaba en el suelo llorando como una niña.
Sub1_Ophelia_1_6,En cuanto él me tendió su mano
Sub1_Ophelia_1_7,"las flores fueron teñidas de muchos colores,"
Sub1_Ophelia_1_8,"la tierra y el cielo recuperaron su esplendor, "
Sub1_Ophelia_1_9,el Sol hizo que la oscuridad se marchara.
Sub1_Ophelia_1_10,"Cuando me desperté de mi sueño, "
Sub1_Ophelia_1_11,ese rostro que no recuerdo.
Sub1_Ophelia_1_12,Esa voz que no recuerdo.
Sub1_Ophelia_1_13,Sin embargo no puedo olvidar esa calidez que acariciaba mi espalda.
Sub1_Ophelia_1_14,Por eso es que tengo que encontrarlo a él.
Sub1_Ophelia_1_15,Mi dirección.
Sub1_Ophelia_1_16,Mi estrella.
Sub1_Ophelia_1_17,Mi destino.
Sub1_Ophelia_2_1,Umm... Ya hace un mes que me separé de Stardust.
Sub1_Ophelia_2_2,"El jefe seguramente ya habrá cruzado el continente, ¿no?"
Sub1_Ophelia_2_3,"Esta peregrinación... ¡Soñé con él, y me siento bien!"
Sub1_Ophelia_2_4,"Ustedes también piensan lo mismo, ¿verdad pequeños?"
Sub1_Ophelia_2_5,Chicooos ¡Me dan cosquillas! ¡Jaja!
Sub1_Ophelia_2_6,Carroza Mágica del Tarot. ¡Apresurémonos y vayamos ya al Árbol del Mundo!
Sub1_Ophelia_3_1,¿Has escuchado el susurrar de una estrella?
Sub1_Ophelia_3_2,Esos sonidos misteriosos y puros.
Sub1_Ophelia_3_3,Hoy...
Sub1_Ophelia_3_4,Todos los astrólogos se reunirán en este lugar y contemplarán el cielo. 
Sub1_Ophelia_3_5,Naturalmente el Árbol del Mundo es el lugar sagrado donde la astrología tuvo sus comienzos.
Sub1_Ophelia_3_6,"Guau... Hay muchas personas. Bueno, tratándose de hoy es de entenderse."
Sub1_Ophelia_3_7,"Yo, la bruja Ophelia."
Sub1_Ophelia_3_8,Ofrezco esta oración al Árbol del Mundo como alguien que ha seguido la historia de la adivinación por medio de las estrellas.
Sub1_Ophelia_3_9,"Ayudame para que la gente pueda ver la luz,"
Sub1_Ophelia_3_10,Y... Que 'Su' cara sea la más bonita...
Sub1_Ophelia_3_11,Hagan silencio ¿Tienen que ser así cuando estamos aquí? Este es un lugar de veneración.
Sub1_Ophelia_3_12,¿Eh...? ¡¡Vellekia!! ¡¿A dónde vas?!
Sub1_Ophelia_3_13,¡¡¡Es peligroso si te pierdes aquí!!!
Sub1_Ophelia_3_14,¡Vellekia! ¿Estás allí?
Sub1_Ophelia_3_15,¿Qué es esa luz...?
Sub1_Ophelia_3_16,¡¿Eh...?! ¿Un círculo mágico...?
Sub1_Ophelia_3_17,¡Aah!
Sub1_Ophelia_3_18,Sabía que vendrías.
Sub1_Ophelia_3_19,La joven que es mi último sueño...
Sub1_Ophelia_3_20,¿Y tú quién eres?
Sub1_Ophelia_4_1,Ouch... Mi cabeza... ¿Qué rayos pasó?
Sub1_Ophelia_4_2,¿Y qué lugar es este?
Sub1_Ophelia_4_3,¿Están todos bien?
Sub1_Ophelia_4_4,.....
Sub1_Ophelia_4_5,¿Eh...?
Sub1_Ophelia_4_6,Chicos... ¿Por qué tan callados?
Sub1_Ophelia_4_7,¿Pequeños? ¿Están bromeando?
Sub1_Ophelia_4_8,"Hey, ¿pero que les pasa?"
Sub1_Ophelia_4_9,"No me gustan este tipo de bromas, respondan ya."
Sub1_Ophelia_4_10,¡Elliciad! ¡Vellekia! ¡Carta! ¡Panelity! ¡¡Gigantes!!
Sub1_Ophelia_4_11,No... 
Sub1_Ophelia_4_12,¿.....?
Sub1_Ophelia_4_13,Podrá ser...
Sub1_Ophelia_4_14,Es mi culpa que mis amigos desaparecieran.
