KEY,"ChineseTraditional"
Sub1_Theo_1_1_1,"希歐的序"
Sub1_Theo_1_1_2,"遇見了妳我才了解到。"
Sub1_Theo_1_1_3,"這個世界原來這麼美麗。"
Sub1_Theo_1_1_4,"對於以前除了打鬥之外，什麼都不會的我來說"
Sub1_Theo_1_1_5,"「妳」的存在，就如同太陽一般耀眼。"
Sub1_Theo_1_1_6,"無數的花朵將大地渲染成繽紛的色彩，"
Sub1_Theo_1_1_7,"站在花叢中的妳如此美麗，我向那樣的妳屈膝的那一天。"
Sub1_Theo_1_1_8,"花朵綻放地五顏六色，在花叢中，"
Sub1_Theo_1_1_9,"注視著我的妳，頰上綻放的那一抹紅暈"
Sub1_Theo_1_1_10,"完全擄獲了我心的那一天。"
Sub1_Theo_1_1_11,"我的名字是希歐・菲爾・格雷厄姆。"
Sub1_Theo_1_1_12,"我是只為妳而活的一把長矛，妳的專屬騎士。"
Sub1_Theo_1_1_13,"向我過去的生活告別，"
Sub1_Theo_1_1_14,"遇見妳並展開新人生的那一天。"
Sub1_Theo_1_1_15,"妳握住我那因為使用數十年長矛而長滿硬繭的雙手的那一天。"
Sub1_Theo_1_1_16,"妳用妳的溫暖懷抱了我這個身上始終沾染他人的鮮血，"
Sub1_Theo_1_1_17,"漠然佇立的無用之人的那一天。"
Sub1_Theo_1_1_18,"我毫不留戀地捨棄了我的過去，"
Sub1_Theo_1_1_19,"鄭重地握著妳的手，誠心發誓。"
Sub1_Theo_1_1_20,"是的，邁向妳的路上，天空永遠是晴朗的。"
Sub1_Theo_1_1_21,"就連呼嘯的狂風"
Sub1_Theo_1_1_22,"也能讓我憶起妳那雙溫柔的雙手。"
Sub1_Theo_1_1_23,"沒錯...就在那一天，"
Sub1_Theo_1_1_24,"那一天我失去了妳...然後我才了解，"
Sub1_Theo_1_1_25,"即使是很短暫的一瞬間，"
Sub1_Theo_1_1_26,"我的人生中再也不會"
Sub1_Theo_1_1_27,"再也不會有如同與妳相遇之日一般燦爛的一天了。"
Sub1_Theo_1_1_28,"我多麼渴望，"
Sub1_Theo_1_1_29,"妳能在我睡著時，在我身邊與我一同進入夢鄉。"
Sub1_Theo_1_1_30,"....最終我的願望實現了。"
Sub1_Theo_1_1_31,"....我好想見妳一面...."
Sub1_Theo_2_1_1,"我的長矛啊！人們有危險了。"
Sub1_Theo_2_1_2,"快，去阻止暴走的哥布林吧。"
Sub1_Theo_2_1_3,"可是，殿下！"
Sub1_Theo_2_1_4,"不用擔心我，我會撐住的。"
Sub1_Theo_2_1_5,"直到你回來為止..."
Sub1_Theo_2_1_6,"可是！"
Sub1_Theo_2_1_7,"希歐..."
Sub1_Theo_2_2_1,"妳離開以後，這個地方什麼都不剩了。"
Sub1_Theo_2_2_2,"經過了一百多年，還是什麼都沒有留下。"
Sub1_Theo_2_2_3,"克萊兒公國..."
Sub1_Theo_2_2_4,"曾經一時興盛的克萊兒公國，現在到處都找不到蹤影了。"
Sub1_Theo_2_2_5,"...！？"
Sub1_Theo_2_3_1,"就算是聖劍的力量..."
Sub1_Theo_2_3_2,"竟然要一個小鬼來承受..."
Sub1_Theo_2_3_3,"還有那個叛徒，竟然將我心血結晶的女兒..."
Sub1_Theo_2_3_4,"這下沒有剩餘的屍身了..."
Sub1_Theo_2_3_5,"公國的可是最適合的呢...."
Sub1_Theo_2_3_6,"早知道就多抓幾個當實驗品了。"
Sub1_Theo_2_4_1,"你..."
Sub1_Theo_2_4_2,"你..."
Sub1_Theo_2_4_3,"你...！！"
Sub1_Theo_2_4_4,"什、什麼？"
Sub1_Theo_2_5_1,"啊啊！"
Sub1_Theo_2_5_2,"那、那把紅色的矛...！？"
Sub1_Theo_2_5_3,"那個花紋...難道，你、你是？"
Sub1_Theo_2_6_1,"我要殺了你！"
Sub1_Theo_2_6_2,"太、太不像話了！"
Sub1_Theo_2_6_3,"莫鐸克回想了起來。"
Sub1_Theo_2_6_4,"那個即使是與魔族幹部對戰，也毫不退縮的身影。"
Sub1_Theo_2_6_5,"當時的自己在遠處支援其他的魔族幹部，"
Sub1_Theo_2_6_6,"又清楚的回憶起當時的場景。"
Sub1_Theo_2_6_7,"數以百計的恐懼紅色雷電從天而降。"
Sub1_Theo_2_6_8,"以猙獰的面孔揮動著長矛與魔族作戰的男子身影。"
Sub1_Theo_2_6_9,"怎會這樣！那個身影是怎麼回事！"
Sub1_Theo_2_6_10,"一百年前就該死去的傢伙怎麼會！"
Sub1_Theo_2_7_1,"呃啊！"
Sub1_Theo_2_7_2,"這、這麼看來並不是人類？"
Sub1_Theo_2_7_3,"！？被長矛刺中的傷口不會癒合..."
Sub1_Theo_2_7_4,"竟然！連魔力都被削弱了？"
Sub1_Theo_2_8_1,"住、住手！"
Sub1_Theo_2_8_2,"閉嘴！"
Sub1_Theo_2_8_3,"呃啊！！"
Sub1_Theo_2_8_4,"我無法饒恕你。絕對、絕對無法饒恕你。"
Sub1_Theo_2_8_5,"我們的國家...信任你的百姓..."
Sub1_Theo_2_8_6,"還有我的她！！"
Sub1_Theo_2_8_7,"我要殺掉你，我要殺掉你！"
Sub1_Theo_2_8_8,"還有那天你的同黨們！"
Sub1_Theo_2_8_9,"我，絕對會找出並除掉他們。"
Sub1_Theo_2_8_10,"好、好啦！"
Sub1_Theo_2_8_11,"如果是珍．格雷，她還活著！"
Sub1_Theo_2_8_12,"！？"
Sub1_Theo_2_8_13,"什麼...？"
Sub1_Theo_2_8_14,"我說她還活著！"
Sub1_Theo_2_8_15,"她..."
Sub1_Theo_2_8_16,"還...活著...？"
Sub1_Theo_2_8_17,"還活著..."
Sub1_Theo_2_8_18,"她還活著。"
Sub1_Theo_2_8_19,"再也不是遙不可及的生死相隔了。"
Sub1_Theo_2_8_20,"再也不必過著漫無目的的人生了。"
Sub1_Theo_2_8_21,"現在，不必繼續空虛的漂泊了。"
Sub1_Theo_2_8_22,"沒錯。珍．格雷藉由那位的力量重獲新生了。"
Sub1_Theo_2_8_23,"她在哪裡..."
Sub1_Theo_2_8_24,"這個我也不知道。"
Sub1_Theo_2_8_25,"回答我！"
Sub1_Theo_2_8_26,"愛、愛比絲！那個魔族叛徒和持有聖劍的那個小鬼把她帶走了。"
Sub1_Theo_2_8_27,"..."
Sub1_Theo_2_8_28,"剩、剩下的我也不知道了！"
Sub1_Theo_2_8_29,"是嗎..."
Sub1_Theo_2_8_30,"那，現在去死吧。"
Sub1_Theo_2_8_31,"什、什麼！"
Sub1_Theo_2_9_1,"！！"
Sub1_Theo_2_9_2,"你這傢伙！等著瞧吧，只要不是聖劍造成的傷口！"
Sub1_Theo_2_10_1,"那邊的！"
Sub1_Theo_2_10_2,"！？"
Sub1_Theo_2_10_3,"你是誰！"
Sub1_Theo_2_10_4,"呵呵，從甜蜜的夢中醒來的心情如何呢？王子殿下。"
Sub1_Theo_2_10_5,"你是...薩蜜拉..."
Sub1_Theo_2_10_6,"呵呵。過了這麼久，您還記得我呢。"
Sub1_Theo_2_10_7,"真高興又見面了。"
Sub1_Theo_2_10_8,"對了，他好像對你的出現感到非常惶恐...呵呵。"
Sub1_Theo_2_10_9,"不過也不意外...呵呵呵！其實，是我把你藏起來的。"
Sub1_Theo_2_10_10,"萬一他發現了明明只是睡著的你，你就會變成實驗體了。"
Sub1_Theo_2_10_11,"不過，你那份懇切的心意，並沒有隨著時間流逝而改變呢。"
Sub1_Theo_2_10_12,"真是...你這個人啊...啊哈哈！真是迷人～！"
Sub1_Theo_2_10_13,"....為什麼要妨礙我？"
Sub1_Theo_2_10_14,"那個傢伙！莫鐸克！是背叛公國的人！賣國賊！"
Sub1_Theo_2_10_15,"唉呀，好可怕的神情...？"
Sub1_Theo_2_10_16,"真可惜，呵呵。不過他對我而言，還有利用價值呢。"
Sub1_Theo_2_10_17,"他幫我開了門，還有自願加入魔族也很有趣。"
Sub1_Theo_2_10_18,"所以，他現在不能死在你的手裡。"
Sub1_Theo_2_10_19,"我告訴你一件事作為交換吧。"
Sub1_Theo_3_1_1,"度過了一個冬天，春天來臨。"
Sub1_Theo_3_1_2,"度過一個又一個冬天，竟然已是第一百個春天..."
Sub1_Theo_3_1_3,"即使如此，我也無法忘卻與妳相遇的春日。"
Sub1_Theo_3_2_1,"白色的風雪佈滿眼前。"
Sub1_Theo_3_2_2,"無情而銳利的寒風，"
Sub1_Theo_3_2_3,"像撕裂舊衣般的撕裂我疲憊的身體。"
Sub1_Theo_3_2_4,"往山頂一路走走停停，很快就過了一天半。"
Sub1_Theo_3_2_5,"到了半山腰，似乎沒有可供人行進的道路了。"
Sub1_Theo_3_2_6,"雪山開始排斥希歐的進入。"
Sub1_Theo_3_2_7,"強勁的寒風阻擋了他的去路，"
Sub1_Theo_3_2_8,"覆蓋著大地的積雪更是讓他寸步難行。"
Sub1_Theo_3_2_9,"希歐蒼白的臉隨著寒風變得通紅，"
Sub1_Theo_3_2_10,"原本服貼的頭髮被風雪吹得亂糟糟的。"
Sub1_Theo_3_3_1,"希歐每踏出一步便在雪地上留下足印。"
Sub1_Theo_3_3_2,"大雪又重新覆蓋足印，已無法得知他行經的路徑。"
Sub1_Theo_3_3_3,"積雪太厚無法前進的話，即使繞很長的遠路也要向前進。"
Sub1_Theo_3_3_4,"希歐默默的以自己的步調抵抗雪山對他的阻撓。"
Sub1_Theo_3_3_5,"在風地雪山可以感覺到，你四處飄泊尋找的那個主人的香氣。"
Sub1_Theo_3_3_6,"希望那個地方可以給我新的樂趣，呵呵。"
Sub1_Theo_3_3_7,"隨風飄來薩蜜拉的笑聲。。"
Sub1_Theo_3_4_1,"洞窟的頂部估計有二十人的高度那麼高。"
Sub1_Theo_3_4_2,"還有跑上好一陣子也到不了盡頭的寬度。"
Sub1_Theo_3_4_3,"這個大小已經不能叫做洞窟，而是殿堂了。"
Sub1_Theo_3_4_4,"殿堂的周圍矗立著如同水晶一般，照亮周圍的冰柱，"
Sub1_Theo_3_4_5,"自然飄起的霜花更增添了神秘感。"
Sub1_Theo_3_5_1,"....真的有這種地方。她說對了。"
Sub1_Theo_3_5_2,"人類來這個地方做什麼？"
Sub1_Theo_3_5_3,"！？"
Sub1_Theo_3_5_4,"聲音...是從寒氣覆蓋的洞窟伸出傳出的。"
Sub1_Theo_3_5_5,"如銀色瀑布一般垂下的髮絲覆蓋住了白皙的脖子。"
Sub1_Theo_3_5_6,"頭上突出的兩支青色的角，突顯了他孤傲的氣質。"
Sub1_Theo_3_5_7,"冰冷的眼神直盯著希歐，一時半刻也不敢移動。"
Sub1_Theo_3_5_8,"那個長相是...魔法師...不，你不是人類。是魔族...嗎？"
Sub1_Theo_3_5_9,"我問你來這裡做什麼。"
Sub1_Theo_3_5_10,"我在找一個人...很想見到的人..."
Sub1_Theo_3_5_11,"我沉睡了很長時間，沒能見到她。"
Sub1_Theo_3_5_12,"為什麼要來這裡找？"
Sub1_Theo_3_5_13,"我聽說這裡有著沉睡的女人。"
Sub1_Theo_3_5_14,"..."
Sub1_Theo_3_5_15,"我不管你是聽誰說的，她不是你要找的人。"
Sub1_Theo_3_5_16,"..."
Sub1_Theo_3_5_17,"讓我看一眼就好..."
Sub1_Theo_3_5_18,"只有一下子也好，請讓我確認一下。"
Sub1_Theo_3_5_19,"拜託了。"
Sub1_Theo_3_5_20,"我為什麼要照你說的做？"
Sub1_Theo_3_5_21,"如果我的態度不佳，我會道歉。拜託了，請讓我確認。"
Sub1_Theo_3_5_22,"我來到這裡，已經是不顧性命了。"
Sub1_Theo_3_5_23,"我再說一次，她不是你要找的人。"
Sub1_Theo_3_5_24,"..."
Sub1_Theo_3_5_25,"..."
Sub1_Theo_3_5_26,"...真的不行嗎？我已經好久..."
Sub1_Theo_3_5_27,"好久...好多年沒見到她了。"
Sub1_Theo_3_5_28,"你們人類所謂的時間觀念與我無關。"
Sub1_Theo_3_5_29,"..."
