KEY,"English"
Sub1_Theo_1_1_1,"Book of Theo"
Sub1_Theo_1_1_2,"I realized it after I met you."
Sub1_Theo_1_1_3,"That this world is a beautiful place."
Sub1_Theo_1_1_4,"All I knew was how to fight."
Sub1_Theo_1_1_5,"You were my sky and my sun. "
Sub1_Theo_1_1_6,"That day I knelt in front of you,"
Sub1_Theo_1_1_7,"You were standing so beautifully among all those flowers. "
Sub1_Theo_1_1_8,"Despite all the vibrant color of all those pretty flowers, "
Sub1_Theo_1_1_9,"the blush on your cheeks"
Sub1_Theo_1_1_10,"was what captured my heart."
Sub1_Theo_1_1_11,"My name is Theo Phil Grayum. "
Sub1_Theo_1_1_12,"I'm your knight and spear, and I shall live for you."
Sub1_Theo_1_1_13,"The day I said goodbye to my days past,"
Sub1_Theo_1_1_14,"and I greeted a new beginning with you,"
Sub1_Theo_1_1_15,"the day you held my hand that was callused from years of holding a spear,"
Sub1_Theo_1_1_16,"I was standing covered in blood,"
Sub1_Theo_1_1_17,"and you still hugged me with your warmth. "
Sub1_Theo_1_1_18,"That day, I made my decision."
Sub1_Theo_1_1_19,"I would leave behind my past to hold your hand."
Sub1_Theo_1_1_20,"Yes, the sky on the way back to you was always clear. "
Sub1_Theo_1_1_21,"Even the wind that disheveled my hair"
Sub1_Theo_1_1_22,"reminded me of your gentle touch."
Sub1_Theo_1_1_23,"Yes... And that day,"
Sub1_Theo_1_1_24,"that day I lost you, I realized it."
Sub1_Theo_1_1_25,"It was a short moment,"
Sub1_Theo_1_1_26,"but I realized that"
Sub1_Theo_1_1_27,"those wonderful days would never come again."
Sub1_Theo_1_1_28,"That day you fell asleep."
Sub1_Theo_1_1_29,"I earnestly wished to fall asleep next to you. "
Sub1_Theo_1_1_30,"...And I realized my wish."
Sub1_Theo_1_1_31,"I want to meet you..."
Sub1_Theo_2_1_1,"My dear spear. People are in danger."
Sub1_Theo_2_1_2,"Please go stop the Berserk Golem."
Sub1_Theo_2_1_3,"But, My Lady!"
Sub1_Theo_2_1_4,"Don't worry about me, I'll protect this place. "
Sub1_Theo_2_1_5,"I'll be here when you come back."
Sub1_Theo_2_1_6,"But!"
Sub1_Theo_2_1_7,"Theo..."
Sub1_Theo_2_2_1,"Now that you've left, there's nothing left here."
Sub1_Theo_2_2_2,"The past 100 years have left nothing behind."
Sub1_Theo_2_2_3,"The Republic of Gray... "
Sub1_Theo_2_2_4,"There are no traces left of the great Republic of Gray."
Sub1_Theo_2_2_5,"…!?"
Sub1_Theo_2_3_1,"Even if it's the power of the Holy Sword…"
Sub1_Theo_2_3_2,"I can't believe I lost to a brat…"
Sub1_Theo_2_3_3,"And that traitor took my precious daughter, who was my masterpiece..."
Sub1_Theo_2_3_4,"There are no corpses left... "
