KEY,"Russian"
Sub1_Theo_1_1_1,"Книга Тэо"
Sub1_Theo_1_1_2,"После встречи с тобой ко мне пришло осознание."
Sub1_Theo_1_1_3,"Что этот мир – чудесное место."
Sub1_Theo_1_1_4,"Я умел только сражаться."
Sub1_Theo_1_1_5,"А ты стала моим небом и моим солнцем. "
Sub1_Theo_1_1_6,"В день, когда я преклонил перед тобой колено,"
Sub1_Theo_1_1_7,"ты была так прекрасна среди всех тех цветов. "
Sub1_Theo_1_1_8,"Но не красочные цветы вокруг, "
Sub1_Theo_1_1_9,"а румянец на твоих щеках – вот,"
Sub1_Theo_1_1_10,"что заставило трепетать мое сердце."
Sub1_Theo_1_1_11,"Меня зовут Тэо Фил Грэйем. "
Sub1_Theo_1_1_12,"Я твой рыцарь и твой копьеносец, и я отдам свою жизнь за тебя."
Sub1_Theo_1_1_13,"В тот день, когда я попрощался со своей прошлой жизнью"
Sub1_Theo_1_1_14,"и поприветствовал новую жизнь с тобой,"
Sub1_Theo_1_1_15,"в тот день, когда ты держала меня за руку, огрубевшую от многолетних упражнений с копьем,"
Sub1_Theo_1_1_16,"а я стоял весь в крови,"
Sub1_Theo_1_1_17,"чувствуя тепло твоего тела... "
Sub1_Theo_1_1_18,"В тот день я принял решение."
Sub1_Theo_1_1_19,"Я готов отказаться от своего прошлого, лишь бы держать тебя за руку."
Sub1_Theo_1_1_20,"Да, небо всегда было ясным, когда я возвращался к тебе. "
Sub1_Theo_1_1_21,"Ветер, треплющий мои волосы,"
Sub1_Theo_1_1_22,"был похож на твое нежное прикосновение."
Sub1_Theo_1_1_23,"Да... В тот день,"
Sub1_Theo_1_1_24,"когда я тебя потерял, я понял."
Sub1_Theo_1_1_25,"На короткий миг"
Sub1_Theo_1_1_26,"я осознал, что"
Sub1_Theo_1_1_27,"те замечательные дни больше никогда не вернутся."
Sub1_Theo_1_1_28,"В тот день ты уснула."
Sub1_Theo_1_1_29,"Как же мне хотелось уснуть рядом с тобой. "
Sub1_Theo_1_1_30,"Я понял, чего хочу..."
Sub1_Theo_1_1_31,"Я хочу встретиться с тобой снова..."
Sub1_Theo_2_1_1,"Мой дорогой копьеносец. Люди в опасности."
Sub1_Theo_2_1_2,"Умоляю, останови голема-берсерка."
Sub1_Theo_2_1_3,"Но моя госпожа!"
Sub1_Theo_2_1_4,"Не переживай, я останусь здесь и буду защищаться. "
Sub1_Theo_2_1_5,"Когда ты вернешься, я буду ждать тебя здесь."
Sub1_Theo_2_1_6,"Но..."
Sub1_Theo_2_1_7,"Тэо..."
Sub1_Theo_2_2_1,"Теперь, когда тебя больше нет, у меня ничего не осталось."
Sub1_Theo_2_2_2,"За прошедшие 100 лет мне даже нечего вспомнить."
Sub1_Theo_2_2_3,"Республика Грэй... "
Sub1_Theo_2_2_4,"Республика Грэй исчезла без следа."
Sub1_Theo_2_2_5,"Что?!"
Sub1_Theo_2_3_1,"Даже если тут замешена сила Священного меча..."
Sub1_Theo_2_3_2,"Я не могу поверить, что проиграл какому-то пацану..."
Sub1_Theo_2_3_3,"А эта предательница отняла у меня мою дочь, мой шедевр и мое сокровище..."
Sub1_Theo_2_3_4,"Тел не осталось... "
Sub1_Theo_2_3_5,"Люди из Республики Грэй подошли бы как нельзя кстати..."
Sub1_Theo_2_3_6,"Знал бы заранее, поймал бы парочку для моих экспериментов."
Sub1_Theo_2_4_1,"Ты... "
Sub1_Theo_2_4_2,"Ты... "
