KEY,Spanish
Sub1_Theo_1_1_1,Libro de Theo
Sub1_Theo_1_1_2,Después de conocerte me di cuenta.
Sub1_Theo_1_1_3,Que este mundo es un lugar hermoso.
Sub1_Theo_1_1_4,Lo único que sabía era cómo pelear.
Sub1_Theo_1_1_5,Eras mi cielo y mi sol. 
Sub1_Theo_1_1_6,Ese día me arrodillé ante ti.
Sub1_Theo_1_1_7,Te veías tan hermosa entre todas esas flores. 
Sub1_Theo_1_1_8,"A pesar de todos los colores vibrantes de esas lindas flores, "
Sub1_Theo_1_1_9,fueron tus mejillas sonrojadas
Sub1_Theo_1_1_10,las que capturaron mi corazón.
Sub1_Theo_1_1_11,Mi nombre es Theo Phil Grayum. 
Sub1_Theo_1_1_12,Soy tu caballero y lanza y viviré por ti.
Sub1_Theo_1_1_13,El día que me despedí de mi vida pasada
Sub1_Theo_1_1_14,"y di la bienvenida a un nuevo comienzo contigo,"
Sub1_Theo_1_1_15,"el día que sostuviste mi mano llena de callos por todos los años que sostuve una lanza,"
Sub1_Theo_1_1_16,"Estaba quieto y cubierto en sangre,"
Sub1_Theo_1_1_17,y aún así me abrazaste con tu calidez. 
Sub1_Theo_1_1_18,"Ese día, tomé la decisión."
Sub1_Theo_1_1_19,Dejaría atrás mi pasado para sostener tu mano.
Sub1_Theo_1_1_20,"Sí, el cielo al regresar hacia ti siempre estaba despejado. "
Sub1_Theo_1_1_21,Incluso el viento que despeinaba mi cabello
Sub1_Theo_1_1_22,me recordaba a tu suave tacto.
Sub1_Theo_1_1_23,"Sí... y ese día,"
Sub1_Theo_1_1_24,"ese día que te perdí, me di cuenta."
Sub1_Theo_1_1_25,"Fue un breve momento,"
Sub1_Theo_1_1_26,pero me di cuenta de que
Sub1_Theo_1_1_27,esos hermosos días no volverían nunca más.
Sub1_Theo_1_1_28,Ese día que te dormiste.
Sub1_Theo_1_1_29,Te aseguro que desearía haberme dormido a tu lado. 
Sub1_Theo_1_1_30,... Y realicé mi deseo.
Sub1_Theo_1_1_31,Quiero encontrarte...
Sub1_Theo_2_1_1,Mi querida lanza. La gente está en peligro.
Sub1_Theo_2_1_2,Por favor detén al Golem furioso.
Sub1_Theo_2_1_3,"¡Pero, mi señora!"
Sub1_Theo_2_1_4,"No te preocupes por mí, yo protegeré este lugar. "
Sub1_Theo_2_1_5,Estaré aquí cuando regreses.
Sub1_Theo_2_1_6,¡Pero!
Sub1_Theo_2_1_7,Theo...
Sub1_Theo_2_2_1,"Ahora que te fuiste, ya no queda nada aquí."
Sub1_Theo_2_2_2,Los últimos 100 años no dejaron nada atrás.
Sub1_Theo_2_2_3,La República de Gray... 
Sub1_Theo_2_2_4,No quedan rastros de la gran República de Gray.
Sub1_Theo_2_2_5,¡¿...!?
Sub1_Theo_2_3_1,Ni siquiera el poder de la sagrada espada...
Sub1_Theo_2_3_2,No puedo creer que haya perdido contra un mocoso...
Sub1_Theo_2_3_3,"Y que un traidor se haya llevado a mi hermosa hija, que era mi obra maestra..."
Sub1_Theo_2_3_4,No queda ningún cadáver... 
Sub1_Theo_2_3_5,Aquellos de la República de Gray hubieran sido los mejores...
Sub1_Theo_2_3_6,"De haberlo sabido, hubiera capturado a algunos de ellos para experimentos."
Sub1_Theo_2_4_1,Tú... 
Sub1_Theo_2_4_2,Tú... 
Sub1_Theo_2_4_3,¡¡¡TÚ!!!
Sub1_Theo_2_4_4,¿¡Qué... qué!?
Sub1_Theo_2_5_1,¡Uah!
Sub1_Theo_2_5_2,¿¡Esa... esa lanza roja...!?
Sub1_Theo_2_5_3,Ese símbolo... ¡No... No puedes ser!
Sub1_Theo_2_6_1,¡¡¡Te mataré!!!
