KEY,Vietnamese
Sub1_Theo_1_1_1,Cuốn sách của Theo
Sub1_Theo_1_1_2,Sau khi gặp nàng ta đã nhận ra một điều.
Sub1_Theo_1_1_3,Rằng thế giới này vô cùng tươi đẹp.
Sub1_Theo_1_1_4,Ta chỉ biết chiến đấu.
Sub1_Theo_1_1_5,"Nàng là vầng dương, là cả bầu trời của ta. "
Sub1_Theo_1_1_6,"Ngày hôm đó ta đã quỳ trước mặt nàng,"
Sub1_Theo_1_1_7,"Nàng đứng đó, đẹp đẽ rạng ngời giữa cả rừng hoa. "
Sub1_Theo_1_1_8,"Bất chấp tất cả sắc màu rực rỡ của ngàn hoa xinh đẹp đó, "
Sub1_Theo_1_1_9,nét ửng hồng trên đôi má nàng
Sub1_Theo_1_1_10,là thứ đã nắm trọn trái tim ta.
Sub1_Theo_1_1_11,Ta là Theo Phil Grayum. 
Sub1_Theo_1_1_12,Ta là kỵ sĩ kiêm giáo sĩ của nàng. Ta sẽ sống chết vì nàng.
Sub1_Theo_1_1_13,"Ngày mà ta quên đi quá khứ trước đây,"
Sub1_Theo_1_1_14,"và đón chào một khởi đầu mới cùng nàng,"
Sub1_Theo_1_1_15,"ngày mà nàng nắm lấy bàn tay chai sần vì nhiều năm cầm giáo của ta,"
Sub1_Theo_1_1_16,"Ta đứng đó, người đầm đìa máu,"
Sub1_Theo_1_1_17,nhưng nàng vẫn dành hơi ấm ôm chặt lấy ta. 
Sub1_Theo_1_1_18,"Chính ngày đó, ta đã quyết định."
Sub1_Theo_1_1_19,Ta sẽ bỏ lại hết quá khứ sau lưng để nắm lấy tay nàng.
Sub1_Theo_1_1_20,"Đúng thế, cạnh bên nàng bầu trời luôn trong xanh. "
Sub1_Theo_1_1_21,Ngay cả luồng gió buông lơi nơi tóc ta
Sub1_Theo_1_1_22,cũng gợi ta nhớ đến những cử chỉ dịu dàng của nàng.
Sub1_Theo_1_1_23,"Đúng vậy... Và chính ngày hôm đó,"
Sub1_Theo_1_1_24,ta nhận ra rằng ta đã mất nàng.
Sub1_Theo_1_1_25,"Khoảnh khắc ấy tuy ngắn ngủi,"
Sub1_Theo_1_1_26,nhưng ta nhận ra rằng
Sub1_Theo_1_1_27,những ngày tươi đẹp đó sẽ không bao giờ xuất hiện nữa.
Sub1_Theo_1_1_28,Ngày hôm đó nàng thiếp đi.
Sub1_Theo_1_1_29,Ta thực sự muốn gục xuống cạnh nàng. 
Sub1_Theo_1_1_30,...Và ước nguyện của ta đã thành hiện thực.
Sub1_Theo_1_1_31,Ta muốn gặp nàng...
Sub1_Theo_2_1_1,Hỡi giáo sĩ của ta. Muôn dân đang gặp nạn.
Sub1_Theo_2_1_2,Người hãy mau đi ngăn cản gã Golem phát cáu đó.
Sub1_Theo_2_1_3,"Nhưng, nàng ơi!"
Sub1_Theo_2_1_4,Đừng lo lắng cho ta. Ta sẽ bảo vệ nơi này. 
Sub1_Theo_2_1_5,Ta sẽ ở đây đợi chàng quay lại.
Sub1_Theo_2_1_6,Nhưng!
Sub1_Theo_2_1_7,Theo à...
Sub1_Theo_2_2_1,"Giờ nàng đã rời đi, nơi đây cũng chẳng còn lại gì nữa."
Sub1_Theo_2_2_2,100 năm qua chẳng còn sót lại thứ gì.
Sub1_Theo_2_2_3,Công quốc Gray... 
Sub1_Theo_2_2_4,Chẳng còn dấu tích gì sót lại của Công quốc Gray vĩ đại.
Sub1_Theo_2_2_5,...!?
Sub1_Theo_2_3_1,Ngay cả khi đó là sức mạnh của Kiếm thánh...
Sub1_Theo_2_3_2,Thật không ngờ ta lại bại trong tay một thằng nhãi...
Sub1_Theo_2_3_3,Và kẻ phản đồ đó đã cướp đi đứa con gái đài các mà ta coi là tuyệt tác...
Sub1_Theo_2_3_4,Không còn lại thi hài nào... 
Sub1_Theo_2_3_5,Những người từ Công quốc Gray là những người đỉnh nhất...
Sub1_Theo_2_3_6,"Giá mà ta biết điều đó, ta nhất định sẽ bắt giữ vài người làm thí nghiệm."
Sub1_Theo_2_4_1,Ngươi... 
Sub1_Theo_2_4_2,Ngươi... 
Sub1_Theo_2_4_3,NHÀ NGƯƠI!!!
Sub1_Theo_2_4_4,C-cái gì!?
Sub1_Theo_2_5_1,Wah!
Sub1_Theo_2_5_2,Ngọn giáo đỏ đó...!?
Sub1_Theo_2_5_3,Biểu tượng đó... Không thể là ngươi được!
Sub1_Theo_2_6_1,Ta sẽ giết ngươi!!!
Sub1_Theo_2_6_2,K-không đời nào!
Sub1_Theo_2_6_3,Malduk đã nhớ ra.
Sub1_Theo_2_6_4,"Một kẻ kiên định, dám chống đối cả chỉ huy."
Sub1_Theo_2_6_5,"Gã đã hỗ trợ những chỉ huy đó từ xa,"
Sub1_Theo_2_6_6,thế nên gã mới nhớ ra cảnh tượng đó.
Sub1_Theo_2_6_7,Tia chớp đỏ khủng khiếp từ trời cao đánh xuống hàng trăm lần.
Sub1_Theo_2_6_8,Bộ dạng hắn như một âm hồn vung giáo chống lại đám Ác quỷ.
Sub1_Theo_2_6_9,Tại sao!? Tại sao ngươi lại ở đây?
Sub1_Theo_2_6_10,Lẽ ra ngươi đã chết từ 100 năm trước rồi chứ!
Sub1_Theo_2_7_1,Argh!!!
Sub1_Theo_2_7_2,N-ngươi vẫn chỉ là một kẻ phàm nhân!
Sub1_Theo_2_7_3,!? Vết thương do ngọn giáo của hắn gây ra vẫn chưa lành.
Sub1_Theo_2_7_4,Khốn kiếp! Ngay cả mana cũng đang phân tán ư!?
Sub1_Theo_2_8_1,D-dừng lại!
Sub1_Theo_2_8_2,Ngậm miệng!
Sub1_Theo_2_8_3,Argh!!!
Sub1_Theo_2_8_4,Ta sẽ không tha thứ cho ngươi. Không bao giờ tha thứ cho ngươi.
Sub1_Theo_2_8_5,Đất nước này... Và cả người dân ở đây... Họ đã tin tưởng ngươi...
Sub1_Theo_2_8_6,Và cả người ta thương nữa!
Sub1_Theo_2_8_7,"Ta sẽ giết ngươi... Đúng, ta sẽ giết ngươi."
Sub1_Theo_2_8_8,Cả lũ các ngươi vào ngày hôm đó!
Sub1_Theo_2_8_9,Ta sẽ tìm ra và giết chết tất cả các ngươi.
Sub1_Theo_2_8_10,Ồ! 
Sub1_Theo_2_8_11,Jane Gray vẫn còn sống!
Sub1_Theo_2_8_12,!?
Sub1_Theo_2_8_13,Cái gì...?
Sub1_Theo_2_8_14,"Đúng vậy, nàng ấy còn sống!"
Sub1_Theo_2_8_15,Nàng ấy...
Sub1_Theo_2_8_16,Vẫn... Còn sống ư...?
Sub1_Theo_2_8_17,Nàng ấy còn sống...
Sub1_Theo_2_8_18,Nàng ấy còn sống.
Sub1_Theo_2_8_19,Đó không còn là mong ước viển vông nữa.
Sub1_Theo_2_8_20,Ta không còn phải sống cuộc đời vô nghĩa nữa.
Sub1_Theo_2_8_21,Cũng không phải tiếp tục hành trình đầy hiểm nguy và chìm đắm trong sự trống trải này nữa.
Sub1_Theo_2_8_22,"Đúng vậy. Jane Gray đã hồi sinh, nhờ vào sức mạnh của anh ấy."
Sub1_Theo_2_8_23,Nàng ấy đang ở đâu...?
Sub1_Theo_2_8_24,Ta cũng không biết.
Sub1_Theo_2_8_25,Mau trả lời ta!
Sub1_Theo_2_8_26,E-Epis! Kẻ phản bội đó và thằng nhãi hỗn xược có Kiếm thánh đã dẫn nàng ấy đi.
Sub1_Theo_2_8_27,...
Sub1_Theo_2_8_28,T-ta chỉ biết có vậy! 
Sub1_Theo_2_8_29,Là như vậy sao...?
Sub1_Theo_2_8_30,Vậy thì chết đi.
Sub1_Theo_2_8_31,C-cái gì!?
Sub1_Theo_2_9_1,!!
Sub1_Theo_2_9_2,Quân khốn! Chẳng qua vì ta bị Kiếm thánh đả thương mà thôi!
Sub1_Theo_2_10_1,Dừng lại!
Sub1_Theo_2_10_2,!?
Sub1_Theo_2_10_3,Ngươi là ai!
Sub1_Theo_2_10_4,"Haha, cảm giác thế nào khi tỉnh khỏi giấc mộng đẹp? Hoàng tử."
Sub1_Theo_2_10_5,...Ngươi là Shamilla.
Sub1_Theo_2_10_6,"Ha ha, thì ra ngươi vẫn chưa hề quên ta."
Sub1_Theo_2_10_7,Rất vui được gặp lại ngươi.  
