KEY,"ChineseSimplified"
TUTORIAL_TEXT_1,"此处会标示英雄的生命值和魔力，\n\n当魔力集满后即可施放技能。"
TUTORIAL_TEXT_2,"现在魔力的量已经足够了，\n\n试著使出技能吧！"
TUTORIAL_TEXT_3,"左侧会显示可参战的英雄。"
TUTORIAL_TEXT_4,"请点击准备战斗按钮。"
TUTORIAL_TEXT_4_1,"请点击准备战斗按钮。"
TUTORIAL_TEXT_5,"点击战斗开始选项即可开始战斗。"
TUTORIAL_TEXT_6,"请更换较好装备或进行装备强化，\n\n如此一来装备的能力将更上一层楼！"
TUTORIAL_TEXT_7,"通过收集技能书来强化技能吧。\n让战斗变得简单又有趣！"
TUTORIAL_TEXT_8,"欢迎来到奥勒贝尔城！"
TUTORIAL_TEXT_9,"您可以在商店购买各种物品。"
TUTORIAL_TEXT_10,"在地下监牢副本中击杀怪物时\n\n可获得各职业的技能书。"
TUTORIAL_TEXT_11,"在竞技场与其他玩家对战争取胜利吧！"
TUTORIAL_TEXT_12,"欢迎来到梅伊的商店！"
TUTORIAL_TEXT_13,"请点击画面中的「使用商店」按钮。"
TUTORIAL_TEXT_14,"您进入了商店。"
TUTORIAL_TEXT_15,"每小时会有一批新商品进货，\n\n使用红宝石可以立即查看新商品。"
TUTORIAL_TEXT_16,"记得常来商店逛逛唷！"
TUTORIAL_TEXT_17,"欢迎来到地下监牢。"
TUTORIAL_TEXT_18,"请点击画面中的「进入监牢」按钮。"
TUTORIAL_TEXT_19,"您每天都可以进入地下监牢的不同区域。\n\n各区域可以获得不同的职业专属道具唷！"
TUTORIAL_TEXT_20,"讨伐任务开启了。\n\n请在画面中选取英雄前往讨伐任务。"
TUTORIAL_TEXT_21,"请点击准备战斗按钮。"
TUTORIAL_TEXT_22,"查看讨伐任务目标后，请点击「准备战斗」按钮。"
TUTORIAL_TEXT_23,"组成队伍后，请点击「准备战斗」按钮。"
TUTORIAL_TEXT_24,"战斗中，画面右上的任务目标完成度会实时更新。"
TUTORIAL_TEXT_25,"您完成了所有任务！请返回开始画面。"
TUTORIAL_TEXT_26,"请点击任务按钮。"
TUTORIAL_TEXT_27,"完成讨伐任务后，可以在任务接口中领取奖励。"
