KEY,ChineseTraditional
TUTORIAL_TEXT_1,此處會標示英雄的生命值和魔力，\n\n當魔力集滿後即可施放技能。
TUTORIAL_TEXT_2,現在魔力的量已經足夠了，\n\n試著使出技能吧！
TUTORIAL_TEXT_3,左側會顯示可參戰的英雄。
TUTORIAL_TEXT_4,請點擊準備戰鬥按鈕。
TUTORIAL_TEXT_4_1,請點擊準備戰鬥按鈕。
TUTORIAL_TEXT_5,點擊戰鬥開始選項即可開始戰鬥。
TUTORIAL_TEXT_6,請更換較好裝備或進行裝備強化，\n\n如此一來裝備的能力將更上一層樓！
TUTORIAL_TEXT_7,通過收集技能書來強化技能吧。\n讓戰鬥變得簡單又有趣！
TUTORIAL_TEXT_8,歡迎來到奧勒貝爾城！
TUTORIAL_TEXT_9,您可以在商店購買各種物品。
TUTORIAL_TEXT_10,在地下監牢副本中消滅怪物時，\n\n可獲得各職業的技能書。
TUTORIAL_TEXT_11,在競技場與其他玩家對戰爭取勝利吧！
TUTORIAL_TEXT_12,歡迎來到梅伊的商店！
TUTORIAL_TEXT_13,請點擊畫面中的「使用商店」按鈕。
TUTORIAL_TEXT_14,您進入了商店。
TUTORIAL_TEXT_15,每小時會有一批新商品進貨，\n\n使用紅寶石可以立即查看新商品。
TUTORIAL_TEXT_16,記得常來商店逛逛唷！
TUTORIAL_TEXT_17,歡迎來到地下監牢。
TUTORIAL_TEXT_18,請點擊畫面中的「進入監牢」按鈕。
TUTORIAL_TEXT_19,您每天都可以進入地下監牢的不同區域。\n\n各區域可以獲得不同的職業專屬道具唷！
TUTORIAL_TEXT_20,討伐任務開啟了。\n\n請在畫面中選取英雄前往討伐任務。
TUTORIAL_TEXT_21,請點擊準備戰鬥按鈕。
TUTORIAL_TEXT_22,查看討伐任務目標後，請點擊「準備戰鬥」按鈕。
TUTORIAL_TEXT_23,組成隊伍後，請點擊「準備戰鬥」按鈕。
TUTORIAL_TEXT_24,戰鬥中，畫面右上的任務目標完成度會即時更新。
TUTORIAL_TEXT_25,您完成了所有任務！請返回開始畫面。
TUTORIAL_TEXT_26,請點擊任務按鈕。
TUTORIAL_TEXT_27,完成討伐任務後，可以在任務介面中領取獎勵。
TUTORIAL_TEXT_28,歡迎來到英雄殿堂。
TUTORIAL_TEXT_29,英雄殿堂內存在著英雄覺醒前必須挑戰的試煉之房，
TUTORIAL_TEXT_30,以及淨化在試煉中獲得的黑暗面的淨化之房。
TUTORIAL_TEXT_31,歡迎來到試煉之房。
TUTORIAL_TEXT_32,在試煉之房中，\n\n可以獲得英雄覺醒所需的被封印的黑暗面。
TUTORIAL_TEXT_33,點擊入場按鈕可以進入副本。
TUTORIAL_TEXT_34,選擇符合各個房間需求職業的英雄後可以入場。
TUTORIAL_TEXT_35,選取英雄後，請點擊進入按鈕。
TUTORIAL_TEXT_36,進入試煉之房時，背包內必須有所需的晶元。
TUTORIAL_TEXT_37,所需的晶元足夠後，點擊解鎖按鈕可以解除入口的封印。
TUTORIAL_TEXT_38,通過試煉擊倒內心的黑暗面吧！
TUTORIAL_TEXT_39,歡迎來到淨化之房。
TUTORIAL_TEXT_40,在淨化之房中可以淨化從試煉之房中獲得的「被封印的黑暗面」，\n\n淨化完成後可使英雄覺醒。
TUTORIAL_TEXT_41,已獲得「被封印的黑暗面」的英雄，點擊進入按鈕就可以進入。
TUTORIAL_TEXT_42,注意：淨化「被封印的黑暗面」需要消耗大量金幣。
TUTORIAL_TEXT_43,點擊淨化按鈕開始淨化「被封印的黑暗面」。
TUTORIAL_TEXT_44,在「被封印的黑暗面」完全淨化之前，請持續點擊淨化按鈕。
TUTORIAL_TEXT_45,可以查看戰鬥中登場的怪物。
TUTORIAL_TEXT_46,這些是戰鬥結束後可以獲得的物品。
TUTORIAL_TEXT_47,右側則是參戰英雄的組隊畫面。
TUTORIAL_TEXT_48,請將英雄移動至黑色火藥倉庫吧！
TUTORIAL_TEXT_49,現在您可以自由遊玩遊戲了！\n\n請移動至下個區域以進入下一段故事。
TUTORIAL_TEXT_50,您擊敗了黑暗凱瑟，獲得了凱瑟的「被封印的黑暗面」。
TUTORIAL_TEXT_51,請移動至戰鬥區域1-1。
TUTORIAL_TEXT_52,請移動至戰鬥區域1-2。
TUTORIAL_TEXT_53,請移動至戰鬥區域1-3。
TUTORIAL_TEXT_54,您已經完成了踏上冒險旅途的準備。
TUTORIAL_TEXT_55,請移動至英雄殿堂。
TUTORIAL_TEXT_56,持有晶元的英雄可以挑戰試煉之房。\n\n請選擇凱瑟進行下一階段。
TUTORIAL_TEXT_57,必須解除封印才能進入。
TUTORIAL_TEXT_58,請使用5個正義的晶元。
TUTORIAL_TEXT_59,請使用5個武力的晶元。
TUTORIAL_TEXT_60,請使用5個幸運的晶元。
TUTORIAL_TEXT_61,請選取要淨化黑暗面的英雄。
TUTORIAL_TEXT_62,點擊淨化按鈕後，淨化會開始進行，\n\n每次淨化都需要消耗金幣。
TUTORIAL_TEXT_63,點擊覺醒按鈕就可以獲得2星凱瑟！
TUTORIAL_TEXT_64,英雄覺醒完成後，試著挑戰試煉之塔吧！
TUTORIAL_TEXT_65,試煉之塔一共有15層。\n\n每3層可以獲得覺醒所需的晶元。
TUTORIAL_TEXT_66,在試煉之塔中，敵人將是其他玩家的隊伍。\n\n點擊戰鬥準備按鈕將移動到隊伍編輯畫面。
TUTORIAL_TEXT_67,請進入深淵之牢。
TUTORIAL_TEXT_68,深淵之牢有5個區域，\n\n入場需要消耗金幣。
TUTORIAL_TEXT_69,請點選第1區域。
TUTORIAL_TEXT_70,在深淵之牢中，英雄經過戰鬥後將會使用剩餘的生命值與魔力繼續下場戰鬥。\n\n若英雄死亡，則該英雄無法再參戰。
TUTORIAL_TEXT_71,請移動至商店。
TUTORIAL_TEXT_72,點擊商店按鈕將進入商店。
TUTORIAL_TEXT_73,使用傳送點可以快速移動至較遠的區域。
TUTORIAL_TEXT_74,請點選傳送門選項。
TUTORIAL_TEXT_75,請點選首都奧勒貝爾。
TUTORIAL_TEXT_76,點選移動按鈕將立即移動至村莊。
TUTORIAL_TEXT_77,首都奧勒貝爾開放了。
TUTORIAL_TEXT_78,在奧勒貝爾可以使用商店、公會等多種系統。
TUTORIAL_TEXT_79,一旦完成解鎖條件後，每個內容將可以透過任務進入。
TUTORIAL_TEXT_80,地下監牢開放了！
TUTORIAL_TEXT_81,請點擊進入副本按鈕。
TUTORIAL_TEXT_82,可進入的區域會隨著禮拜幾而有所不同。
TUTORIAL_TEXT_83,請點選掃蕩準備按鈕進入第1區域。
TUTORIAL_TEXT_84,確認該區域的登場敵人及想挑戰的難易度後，\n\n接著請點擊戰鬥準備按鈕鍵。
TUTORIAL_TEXT_85,組成隊伍後，點擊戰鬥開始進入戰鬥。
TUTORIAL_TEXT_86,競技場開放了！
TUTORIAL_TEXT_87,請點擊進入競技場按鈕。
TUTORIAL_TEXT_88,競技場可以分為勝者之巔、榮耀之巔、王者之巔三種賽區。
TUTORIAL_TEXT_89,請點擊進入勝者之巔。
TUTORIAL_TEXT_90,畫面左側顯示自身目前所屬的賽區排名。
TUTORIAL_TEXT_91,畫面右側顯示自身的賽區資訊。
TUTORIAL_TEXT_92,請點擊準備戰鬥按鈕。
TUTORIAL_TEXT_93,組成隊伍後，點擊戰鬥開始按鈕進入戰鬥。
TUTORIAL_TEXT_94,深淵之牢開放了！
