KEY,"English"
TUTORIAL_TEXT_1,"Shows each hero's HP bar and MP gauge.\n\nYou can use the skill when the hero has enough mana."
TUTORIAL_TEXT_2,"You have enough mana points (MP).\n\nTry out some skills!"
TUTORIAL_TEXT_3,"These heroes are available to participate in a battle."
TUTORIAL_TEXT_4,"Tap 'Prepare Battle'."
TUTORIAL_TEXT_4_1,"Tap 'Get Ready for Battle'."
TUTORIAL_TEXT_5,"Tap 'Start Battle' to enter a battle."
TUTORIAL_TEXT_6,"Equip better gear or enhance it.\n\nIt will increase the power of your heroes!"
TUTORIAL_TEXT_7,"Collect skill books to acquire and enhance skills!\n\nIt will help the battles go more smoothly!"
TUTORIAL_TEXT_8,"Welcome to Orvel Castle!"
TUTORIAL_TEXT_9,"You can buy various items at the shop."
TUTORIAL_TEXT_10,"You can battle new monsters every day\n\nin Stockade to get special rewards."
TUTORIAL_TEXT_11,"Fight with other users in the arena and achieve victories."
TUTORIAL_TEXT_12,"Welcome to May's General Shop."
TUTORIAL_TEXT_13,"Tap 'Use Shop' at the center of the screen."
TUTORIAL_TEXT_14,"You have entered the shop."
TUTORIAL_TEXT_15,"New items are restocked every hour. \n\nIf you use a Ruby, you can check for new items."
TUTORIAL_TEXT_16,"Come by often to check out the new items."
TUTORIAL_TEXT_17,"Welcome to Stockade."
TUTORIAL_TEXT_18,"Tap 'Enter Dungeon' at the center of the screen."
TUTORIAL_TEXT_19,"You can enter a different area of the dungeon every day.\n\nCheck out class-specific items in each area!"
TUTORIAL_TEXT_20,"Conquest missions have been activated.\n\nMove your hero to the place where a conquest mission has appeared."
TUTORIAL_TEXT_21,"Tap 'Get ready for Battle'."
TUTORIAL_TEXT_22,"View the conquest mission objective, and then tap 'Get Ready for Battle'"
TUTORIAL_TEXT_23,"Check the deck and tap 'Start Battle'."
TUTORIAL_TEXT_24,"The objective required to complete the mission gets updated in the top right of the screen."
TUTORIAL_TEXT_25,"You have completed the mission! Go back to the first screen."
TUTORIAL_TEXT_26,"Tap the Quest button."
TUTORIAL_TEXT_27,"You can receive rewards from the Quest List after you complete the conquest mission."
TUTORIAL_TEXT_28,"Welcome to the Hall of Heroes."
TUTORIAL_TEXT_29,"The Hall of Heroes consists of the Room of Ordeals,\n\nwhich is required for awakening heroes,"
TUTORIAL_TEXT_30,"and the Room of Purification, where the darkness from your ordeals are cleansed."
TUTORIAL_TEXT_31,"Welcome to the Room of Ordeals."
TUTORIAL_TEXT_32,"In the Room of Ordeals, you can acquire the \n\nsealed darkness, which is required for Awakening heroes."
TUTORIAL_TEXT_33,"Tap 'Enter Dungeon' to enter the dungeon."
TUTORIAL_TEXT_34,"Select the hero that matches the specified class for each room before entering the dungeon."
TUTORIAL_TEXT_35,"Select a hero, and then tap Enter."
TUTORIAL_TEXT_36,"To enter the Room of Ordeals, you must collect fragments needed to open the room."
TUTORIAL_TEXT_37,"When you have enough fragments, tap the Unlock button to unseal the room."
TUTORIAL_TEXT_38,"Overcome your ordeals and overcome the darkness inside of you!"
TUTORIAL_TEXT_39,"Welcome to the Room of Purification."
TUTORIAL_TEXT_40,"You can purify the Sealed Darkness from the Room of Ordeals \n\nbefore using it to Awaken heroes."
TUTORIAL_TEXT_41,"Heroes with the Sealed Darkness can enter by tapping Enter."
TUTORIAL_TEXT_42,"Warning: Purifying the Sealed Darkness costs a lot of Gold."
