KEY,French
TUTORIAL_TEXT_1,Voici la barre des PV (points de vie)\net les orbes de PM (points de mana) des Héros.\nVous pouvez utiliser les compétences si vous avez suffisamment de PM.
TUTORIAL_TEXT_2,Vous avez suffisamment de PM.\n\nEssayez les compétences !
TUTORIAL_TEXT_3,Ces Héros sont disponibles pour participer à la bataille.
TUTORIAL_TEXT_4,Veuillez toucher 'Préparation'.
TUTORIAL_TEXT_4_1,Veuillez toucher 'Prêt'.
TUTORIAL_TEXT_5,Veuillez toucher 'Bataille' pour commencer le combat.
TUTORIAL_TEXT_6,Améliorer l'équipement ou en mettre un meilleur\n\nva augmenter la puissance de vos Héros !
TUTORIAL_TEXT_7,Collectez des livres de compétence pour\naméliorer vos compétences !\nCeci vous aidera dans les combats !
TUTORIAL_TEXT_8,Bienvenue au Château d'Orvel !
TUTORIAL_TEXT_9,Vous pouvez acheter divers objets dans cette boutique.
TUTORIAL_TEXT_10,"Dans la Prison, éliminez des monstres\n\npour obtenir des Livres de Compétences de chaque classe."
TUTORIAL_TEXT_11,Affrontez les autres joueurs dans l'Arène et remportez la victoire.
TUTORIAL_TEXT_12,Bienvenue à la Boutique Générale de May.
TUTORIAL_TEXT_13,Veuillez toucher 'Utiliser Boutique' au centre de l'écran.
TUTORIAL_TEXT_14,Vous êtes entré dans la Boutique générale de May.
TUTORIAL_TEXT_15,"De nouveaux objets sont approvisionnés chaque heure.\nPour quelques Rubis, vous pouvez immédiatement réinitialiser\nla liste des objets disponibles."
TUTORIAL_TEXT_16,Venez souvent vérifier les nouveaux objets.
TUTORIAL_TEXT_17,Bienvenue à la Prison.
TUTORIAL_TEXT_18,Veuillez toucher 'Entrer au Donjon' au centre de l'écran.
TUTORIAL_TEXT_19,Vous pouvez entrer chaque jour dans une zone différente du donjon.\n\nConsultez les objets spécifiques à chaque classe dans chaque zone !
TUTORIAL_TEXT_20,Les missions de conquête ont été activées.\n\nVeuillez déplacer votre Héros à l'emplacement où est apparue\nune mission de conquête.
TUTORIAL_TEXT_21,Veuillez toucher 'Prêt pour Bataille'
TUTORIAL_TEXT_22,Vérifiez l'objectif de la mission de conquête\net touchez 'Prêt pour la Bataille'.
TUTORIAL_TEXT_23,Vérifiez le plateau et touchez 'Bataille'
TUTORIAL_TEXT_24,L'objectif requis pour accomplir la mission\nest mis à jour en haut à droite de l'écran.
TUTORIAL_TEXT_25,Vous avez accompli la mission ! Revenez au premier écran.
TUTORIAL_TEXT_26,Veuillez toucher le bouton de Quête.
TUTORIAL_TEXT_27,"Vous pouvez recevoir des récompenses depuis la Liste des Quêtes,\n\naprès avoir terminé la mission de conquête."
TUTORIAL_TEXT_28,Bienvenue au Temple des Héros.
TUTORIAL_TEXT_29,"Le Temple des Héros est composé de la Chambre des Épreuves,\n\noù le Héros peut affronter ses ténèbres,"
TUTORIAL_TEXT_30,"et de la Chambre de Purification, où ces ténèbres sont purifiées."
TUTORIAL_TEXT_31,Bienvenue dans la Chambre des Épreuves.
TUTORIAL_TEXT_32,"Dans la Chambre des Épreuves, vous pouvez obtenir\n\nles Ténèbres scellées, nécessaires pour éveiller votre Héros."
TUTORIAL_TEXT_33,Veuillez toucher 'Entrer Donjon' pour entrer au donjon.
TUTORIAL_TEXT_34,Sélectionnez le Héros correspondant à la classe spécifiée\n\npour chaque pièce avant d'entrer au donjon.
TUTORIAL_TEXT_35,"Sélectionnez un Héros, et touchez 'Entrer'."
TUTORIAL_TEXT_36,"Pour entrer dans la Chambre des Épreuves, vous devez collecter\n\nles fragments nécessaires à son ouverture."
TUTORIAL_TEXT_37,"Quand vous avez suffisamment de fragments,\n\ntouchez 'Déverrouiller' pour desceller la pièce."
TUTORIAL_TEXT_38,Surmontez les épreuves et vos ténèbres intérieures !
TUTORIAL_TEXT_39,Bienvenue dans la Chambre de Purification.
TUTORIAL_TEXT_40,"Dans la Chambre de Purification, vous pouvez purifier\nles Ténèbres scellées que vous avez obtenues\ndans la Chambre des Épreuves, afin d'éveiller votre Héros."
TUTORIAL_TEXT_41,Le Héros avec les Ténèbres scellées peut entrer en touchant 'Entrer'.
TUTORIAL_TEXT_42,Attention : purifier les Ténèbres scellées coûte beaucoup d'Or.
TUTORIAL_TEXT_43,Veuillez toucher 'Purifier' pour commencer\n\nla purification des Ténèbres scellées.
TUTORIAL_TEXT_44,Continuez à toucher 'Purifier' jusqu'à ce que\n\nles Ténèbres scellées soient entièrement purifiées.
TUTORIAL_TEXT_45,Vous pouvez voir les monstres qui apparaîtront durant la bataille.
