KEY,"French"
TUTORIAL_TEXT_1,"\n\nAffiche les points de vie (PV) et de mana (PM) des héros\n\nLes compétences consomment des points de mana."
TUTORIAL_TEXT_2,"\n\nVous avez assez de points de mana (PM).\n\nEssayez des compétences!"
TUTORIAL_TEXT_3,"Ces héros sont disponibles pour participer à une bataille."
TUTORIAL_TEXT_4,"Touchez 'Préparation'."
TUTORIAL_TEXT_4_1,"Touchez 'Prêt pour Bataille'"
TUTORIAL_TEXT_5,"Touchez 'Bataille' pour commencer le combat."
TUTORIAL_TEXT_6,"Améliorer l'équipement ou en mettre un meilleur\n\nva augmenter la puissance de vos héros!"
TUTORIAL_TEXT_7,"Collectez des livres de compétence pour améliorer vos compétences !\nCeci vous aidera dans les combats !"
TUTORIAL_TEXT_8,"Bienvenue au Château d'Orvel!"
TUTORIAL_TEXT_9,"Vous pouvez acheter divers objet dans ce magasin."
TUTORIAL_TEXT_10,"Dans la Prison, éliminez des montres\n\npour obtenir des livres de compétences de chaque classe."
TUTORIAL_TEXT_11,"Battez-vous avec d'autres dans l'arène et obtenez des victoires."
TUTORIAL_TEXT_12,"Bienvenue au magasin général de May."
TUTORIAL_TEXT_13,"Touchez 'Utiliser Magasin' au centre de l'écran."
TUTORIAL_TEXT_14,"Vous êtes entré(e) au magasin."
TUTORIAL_TEXT_15,"De nouveaux objets sont réapprovisionnés chaque heure. \n\nPour quelques Rubis, vous pouvez réinitialiser la liste des objets disponibles."
TUTORIAL_TEXT_16,"Venez souvent vérifier les nouveaux objets."
TUTORIAL_TEXT_17,"Bienvenue à la Prison."
TUTORIAL_TEXT_18,"Touchez 'Entrer au Donjon' au centre de l'écran."
TUTORIAL_TEXT_19,"Vous pouvez entrer chaque jour dans une zone différente du donjon.\n\nConsulter les objets spécifiques à chaque classe dans chaque zone!"
TUTORIAL_TEXT_20,"Les missions de conquête ont été activées.\n\nDéplacez votre héros à l'emplacement où est apparu une mission de conquête."
TUTORIAL_TEXT_21,"Touchez 'Prêt pour Bataille'"
TUTORIAL_TEXT_22,"Visualisez l'objectif de la mission de conquête et touchez 'Prêt pour la Bataille'."
TUTORIAL_TEXT_23,"Vérifiez le plateau et touchez 'Bataille'"
TUTORIAL_TEXT_24,"L'objectif requis pour compléter la mission est mis à jour en haut à droite de l'écran."
TUTORIAL_TEXT_25,"Vous avez complété la mission! Revenez au premier écran."
TUTORIAL_TEXT_26,"Touchez le bouton de Quête."
TUTORIAL_TEXT_27,"Vous pouvez recevoir des récompenses depuis la Liste des Quêtes, après avoir terminé la mission de conquête."
TUTORIAL_TEXT_28,"Bienvenue au Hall des Héros."
TUTORIAL_TEXT_29,"Le Hall des Héros est composé de la Salle des Epreuves,\n\nqui est nécessaire pour l'éveil des héros,"
TUTORIAL_TEXT_30,"et de la Salle de Purification, où l'obscurité de vos épreuves est nettoyée."
TUTORIAL_TEXT_31,"Bienvenue dans la Salle des Épreuves."
TUTORIAL_TEXT_32,"Dans la Salle des Épreuves, vous pouvez acquérir \n\nune Ombre Scellée, qui est nécessaire aux héros éveillés."
TUTORIAL_TEXT_33,"Touchez 'Entrer Donjon' pour entrer au donjon."
TUTORIAL_TEXT_34,"Sélectionnez le héros correspondant à la classe spécifiée pour chaque pièce avant d'entrer au donjon."
TUTORIAL_TEXT_35,"Sélectionnez un héros, et touchez 'Entrer'."
TUTORIAL_TEXT_36,"Pour entrer dans la Salle des Epreuves, vous devez collecter les fragments nécessaires à son ouverture."
TUTORIAL_TEXT_37,"Quand vous avez suffisamment de fragments, touchez le bouton Déverrouiller pour desceller la pièce."
TUTORIAL_TEXT_38,"Surpassez vos épreuves et l'obscurité qui est en vous!"
TUTORIAL_TEXT_39,"Bienvenue dans la Chambre de Purification."
TUTORIAL_TEXT_40,"Vous pouvez purifier l'Ombre Scellée depuis la Salle des Epreuves\n\navant de l'utiliser pour des héros éveillés."
TUTORIAL_TEXT_41,"Les héros avec l'Ombre Scellée peuvent entrer en touchant 'Entrer'."
TUTORIAL_TEXT_42,"Attention: Purifier l'Ombre Scellée coûte beaucoup d'Or."
TUTORIAL_TEXT_43,"Touchez 'Purifier' pour commencer à purifier l'Ombre Scellée."
TUTORIAL_TEXT_44,"Continuez à toucher 'Purifier' jusqu'à ce que l'Ombre Scellée soit entièrement purifié."
TUTORIAL_TEXT_45,"Vous pouvez voir les monstres qui apparaissent dans la bataille."
TUTORIAL_TEXT_46,"Voici les objets que vous pourrez obtenir après la bataille."
TUTORIAL_TEXT_47,"Voici le groupe des héros qui participe à la bataille."
TUTORIAL_TEXT_48,"Déplacez votre héros jusqu'au 'Dépôt de Poudre'."
TUTORIAL_TEXT_49,"Vous pouvez aussi librement que vous le souhaitez à partir de maintenant.\n\nAllez jusqu'à la zone indiquée pour progresser à l'histoire suivante."
TUTORIAL_TEXT_50,"Vous avez vaincu Kasel le ténébreux et avez acquis l'Ombre Scellée de Kasel."
TUTORIAL_TEXT_51,"Déplacez votre héros sur la zone de bataille 1-1."
TUTORIAL_TEXT_52,"Déplacez votre héros sur la zone de bataille 1-2."
TUTORIAL_TEXT_53,"Déplacez votre héros sur la zone de bataille 1-3."
TUTORIAL_TEXT_54,"Vous avez terminé tous la préparation requise pour partir en voyage et devenir un héros."
TUTORIAL_TEXT_55,"Déplacez votre héros jusqu'au 'Hall des Héros'."
TUTORIAL_TEXT_56,"Les Héros qui possèdent des fragments \npeuvent relever le défi de la Salle des Épreuves.\nSelectionnez Kasel et passez à l'étape suivante."
TUTORIAL_TEXT_57,"Vous devez retirer le sceau pour entrer."
TUTORIAL_TEXT_58,"Utilisez 5 Fragments de Justice."
TUTORIAL_TEXT_59,"Utilisez 5 Fragments de Force."
TUTORIAL_TEXT_60,"Utilisez 5 Fragments de Chance."
TUTORIAL_TEXT_61,"Selectionnez un héros pour purifier l'Ombre Scellée."
TUTORIAL_TEXT_62,"Touchez 'Purifier' pour commencer la purification.\n\nCeci vous coûtera de l'or."
TUTORIAL_TEXT_63,"Touchez 'Éveil' pour obtenir une 2ème étoile pour Kasel!"
TUTORIAL_TEXT_64,"Une fois le héros éveillé, essayez la Tour des Epreuves."
TUTORIAL_TEXT_65,"La Tour des Epreuves est composée de 15 étages.\n\net vous pouvez acquérir le nécessaire à l'Eveil tous les 3 étages."
TUTORIAL_TEXT_66,"Les groupes d'autres joueurs apparaissent en tant qu'ennemis dans la Tour des Epreuves.\n\nTouchez 'Préparation' pour aller à la fenêtre de Création de Groupe."
TUTORIAL_TEXT_67,"Entrer dans La Fosse."
TUTORIAL_TEXT_68,"La Fosse est composée des zones 1 à 5,\n\net de l'Or est nécessaire pour entrer."
TUTORIAL_TEXT_69,"Touchez le bouton de la Zone 1."
TUTORIAL_TEXT_70,"Dans La Fosse, les Points de Vie (PV) et les Points de Mana (PM) restent les mêmes pour la zone suivante.\n\nVeuillez noter qu'une fois un héros vaincu, il ne peut pas prendre part à la bataille de la prochaine zone."
TUTORIAL_TEXT_71,"Déplacez le héros au Magasin."
TUTORIAL_TEXT_72,"Touchez le bouton 'Magasin' pour y entrer."
TUTORIAL_TEXT_73,"Vous pouvez utiliser les portail pour vous déplacer rapidement vers des zones distantes."
TUTORIAL_TEXT_74,"Touchez le bouton 'Portails'."
TUTORIAL_TEXT_75,"Selectionner Orvel la capitale."
TUTORIAL_TEXT_76,"Touchez le bouton 'Aller' pour aller instantanément au village."
TUTORIAL_TEXT_77,"Orvel' a été débloqué."
TUTORIAL_TEXT_78,"Différents contenus comme des Boutiques ou Guildes qui vous attendent à Orvel."
TUTORIAL_TEXT_79,"Chaque contenu est accessible au-travers de quêtes, une fois les pré-requis nécessaires au déblocage sont remplis."
TUTORIAL_TEXT_80,"La Prison a été débloquée!"
TUTORIAL_TEXT_81,"Touchez le bouton 'Entrer Donjon'."
TUTORIAL_TEXT_82,"Les zones disponibles varient en fonction du jour de la semaine."
TUTORIAL_TEXT_83,"Touchez le bouton 'Preparer Elimination' pour entrer dans la zone 1."
TUTORIAL_TEXT_84,"Réglez le niveau de difficulté des ennemis que vous voulez\n\nrencontrer dans la zone puis touchez 'Entrer Donjon'."
TUTORIAL_TEXT_85,"Formez ensuite un groupe et touchez 'Bataille' pour commencer."
TUTORIAL_TEXT_86,"L'Arène a été débloquée!"
TUTORIAL_TEXT_87,"Touchez le bouton 'Entrer Arène'."
TUTORIAL_TEXT_88,"L'Arène est composée des Ligues de 'Victoire', de 'Gloire' et 'Ultime'."
TUTORIAL_TEXT_89,"Touchez le bouton 'Entrer Ligue de Victoire'."
TUTORIAL_TEXT_90,"Vous pouvez voir votre classement de ligue sur la partie gauche de l'écran et"
TUTORIAL_TEXT_91,"les infos de votre ligue à droite."
TUTORIAL_TEXT_92,"Touchez le bouton 'Préparer Duel'."
