KEY,"Japanese"
TUTORIAL_TEXT_1,"英雄のHPバーとMPゲージを表示します。\n\nMPがたまるとスキルを使用できます。"
TUTORIAL_TEXT_2,"MPが十分たまりました。\n\nスキルを使ってみましょう！"
TUTORIAL_TEXT_3,"戦闘に参加可能な英雄です"
TUTORIAL_TEXT_4,"[戦闘準備]をタップしてください"
TUTORIAL_TEXT_4_1,"[戦闘準備]をタップしてください"
TUTORIAL_TEXT_5,"[戦闘開始]をタップすると、戦闘を始めます"
TUTORIAL_TEXT_6,"良い装備を装着するか強化してください。\n\n英雄の能力がさらに向上します！"
TUTORIAL_TEXT_7,"技術の書を集めて、スキルを強化しましょう。\n戦闘をより楽に進めることができます！"
TUTORIAL_TEXT_8,"オルベル城へようこそ！"
TUTORIAL_TEXT_9,"ショップで様々なアイテムを購入できます"
TUTORIAL_TEXT_10,"地下監獄ダンジョンでモンスターを倒すと\n\nクラスに応じた技術の書が手に入ります。"
TUTORIAL_TEXT_11,"決闘場で他のユーザーと戦って勝利しましょう！"
TUTORIAL_TEXT_12,"メイの雑貨店へようこそ"
TUTORIAL_TEXT_13,"画面中央の[ショップ]をタップしてください"
TUTORIAL_TEXT_14,"ショップに入場しました"
TUTORIAL_TEXT_15,"新しい商品は１時間ごとに再入庫され、\n\nルビーを使うとすぐに新しい商品を確認できます。"
TUTORIAL_TEXT_16,"たまにショップに来て、新しいアイテムを確認しましょう"
TUTORIAL_TEXT_17,"地下監獄へようこそ"
TUTORIAL_TEXT_18,"画面中央の[ダンジョン入場]をタップしてください"
TUTORIAL_TEXT_19,"曜日ごとに異なるエリアに入場できます。\n\n各エリア別に獲得できるクラス専用アイテムを確認しましょう！"
TUTORIAL_TEXT_20,"討伐任務が活性化されました。\n\n画面で討伐任務が発生したエリアに英雄を移動させましょう。"
TUTORIAL_TEXT_21,"[戦闘準備]をタップしてください"
TUTORIAL_TEXT_22,"討伐任務の目標を確認した後、[戦闘準備]をタップしてください"
TUTORIAL_TEXT_23,"デッキを確認した後、[戦闘開始]をタップしてください"
TUTORIAL_TEXT_24,"戦闘中、画面の右上に任務完了に必要な目標値が更新されます"
TUTORIAL_TEXT_25,"任務を完了しました！最初の画面に戻りましょう。"
TUTORIAL_TEXT_26,"[クエスト]をタップしてください"
TUTORIAL_TEXT_27,"討伐任務を完了すると、クエストリストから報酬を獲得できます"
TUTORIAL_TEXT_28,"英雄の殿堂へようこそ"
TUTORIAL_TEXT_29,"英雄の殿堂は、英雄の覚醒に必要な\n\n試練に挑むための試練の部屋と、"
TUTORIAL_TEXT_30,"試練から手に入れた闇を浄化する浄化の部屋で構成されています"
TUTORIAL_TEXT_31,"試練の部屋へようこそ"
TUTORIAL_TEXT_32,"試練の部屋では英雄の覚醒に必要な\n\n封じられた闇を獲得できます。"
TUTORIAL_TEXT_33,"ダンジョンは、[入場]をタップして入場できます"
TUTORIAL_TEXT_34,"各部屋のクラスと一致する英雄1体を選んで入場できます"
TUTORIAL_TEXT_35,"英雄を選択し、[入場]をタップしてください"
TUTORIAL_TEXT_36,"試練の部屋に初めて入場するためには開放に必要な欠片を集める必要があります"
TUTORIAL_TEXT_37,"十分な欠片を集めてから[開放]をタップすると、扉の封印が解除されます。"
TUTORIAL_TEXT_38,"試練を乗り越え、英雄自身の内面の闇を退けましょう！"
TUTORIAL_TEXT_39,"浄化の部屋へようこそ"
TUTORIAL_TEXT_40,"試練の部屋をクリアすると獲得できる封印された闇は、\n\n浄化の部屋で浄化して英雄を覚醒できます。"
TUTORIAL_TEXT_41,"封じられた闇を獲得した英雄は、[入場]をタップして入場できます"
TUTORIAL_TEXT_42,"注意：封じられた闇の浄化には、多くのゴールドが消費されます"
TUTORIAL_TEXT_43,"[浄化]をタップすると、封じられた闇を浄化します"
TUTORIAL_TEXT_44,"封じられた闇が十分に浄化されるまで、続けて[浄化]をタップしてください"
TUTORIAL_TEXT_45,"戦闘に登場するモンスターを確認できます"
TUTORIAL_TEXT_46,"戦闘完了時に獲得できるアイテムです"
