KEY,"Korean"
TUTORIAL_TEXT_1,"영웅의 체력바와 마나칸을 표시합니다.\n\n마나를 채우면 스킬을 사용할 수 있습니다."
TUTORIAL_TEXT_2,"마나가 충분히 모였습니다.\n\n스킬을 사용해보세요!"
TUTORIAL_TEXT_3,"전투에 참가 가능한 영웅입니다."
TUTORIAL_TEXT_4,"전투 준비 버튼을 선택해주세요."
TUTORIAL_TEXT_4_1,"전투 준비 버튼을 선택해주세요."
TUTORIAL_TEXT_5,"전투 시작 버튼을 선택하시면 전투를 시작합니다."
TUTORIAL_TEXT_6,"좋은 장비를 장착하거나 강화하세요.\n\n영웅의 능력이 더욱 향상됩니다!"
TUTORIAL_TEXT_7,"기술서를 모아 스킬을 획득하고 강화하세요.\n\n쉽고 재밌는 전투를 즐길 수 있습니다!"
TUTORIAL_TEXT_8,"오르벨 성에 오신 것을 환영합니다!"
TUTORIAL_TEXT_9,"상점에서는 다양한 물건을 구매하실 수 있습니다."
TUTORIAL_TEXT_10,"지하던전에서 요일마다 각각 새로운 몬스터를 처치하면\n\n특별한 보상을 얻을 수 있습니다."
TUTORIAL_TEXT_11,"결투장에서 다른 유저와 싸워 승리를 쟁취해보세요."
TUTORIAL_TEXT_12,"메이의 종합 상점에 오신 것을 환영합니다."
TUTORIAL_TEXT_13,"화면 중앙의 상점 이용 버튼을 클릭해보세요."
TUTORIAL_TEXT_14,"상점에 입장하셨습니다."
TUTORIAL_TEXT_15,"새로운 상품은 한시간 마다 재입고 되며,\n\n루비를 사용하시면 바로 새로운 상품을 확인 가능합니다."
TUTORIAL_TEXT_16,"종종 상점에 들러 새로운 물건을 확인해보세요."
TUTORIAL_TEXT_17,"지하 감옥에 오신 것을 환영합니다."
TUTORIAL_TEXT_18,"화면 중앙의 던전 입장 버튼을 클릭해보세요."
TUTORIAL_TEXT_19,"요일 마다 각각 다른 구역에 입장하실 수 있습니다.\n\n각 구역 별로 획득할 수 있는 클래스 전용 아이템을 확인하세요!"
TUTORIAL_TEXT_20,"토벌 임무가 활성화 되었습니다.\n\n화면에서 토벌임무가 발생한 곳으로 영웅을 이동시키세요."
TUTORIAL_TEXT_21,"전투 준비 버튼을 누르세요."
TUTORIAL_TEXT_22,"토벌 임무의 목표를 확인한 뒤, 전투 준비 버튼을 누르세요."
TUTORIAL_TEXT_23,"덱을 확인한 후, 전투 시작 버튼을 누르세요."
TUTORIAL_TEXT_24,"전투 중 화면 우측 상단에 임무 완수에 필요한 목표치가 갱신됩니다."
TUTORIAL_TEXT_25,"임무를 모두 완수했습니다! 처음 화면으로 돌아가세요."
TUTORIAL_TEXT_26,"수행퀘스트 버튼을 누르세요."
TUTORIAL_TEXT_27,"토벌 임무를 완수하면 퀘스트 리스트에서 보상을 획득 할 수 있습니다."
TUTORIAL_TEXT_28,"영웅의 전당에 오신 것을 환영합니다."
TUTORIAL_TEXT_29,"영웅의 전당은 영웅의 각성에 필요한\n\n시련에 도전하기 위한 시련의 방과,"
TUTORIAL_TEXT_30,"시련을 통해 얻어낸 어둠을 정화하는 정화의 방으로 구성되어 있습니다."
TUTORIAL_TEXT_31,"시련의 방에 오신 것을 환영합니다."
TUTORIAL_TEXT_32,"시련의 방에서는 영웅을 각성시키는데 필요한\n\n봉인된 어둠을 획득할 수 있는 장소입니다."
TUTORIAL_TEXT_33,"던전에 입장 버튼을 클릭하여 입장하실 수 있습니다."
TUTORIAL_TEXT_34,"각 방의 클래스와 일치하는 영웅 중 하나를 선택하여 입장 가능합니다."
TUTORIAL_TEXT_35,"영웅을 선택하고, 진입 버튼을 클릭해보세요."
TUTORIAL_TEXT_36,"시련의 방에 처음 들어가기 위해서는 개방에 필요한 파편을 모아야 합니다."
TUTORIAL_TEXT_37,"충분한 파편을 모은 뒤, 개방 버튼을 클릭하면 문의 봉인이 해제됩니다."
TUTORIAL_TEXT_38,"시련을 이겨내고, 내면의 어둠을 물리치세요!"
TUTORIAL_TEXT_39,"정화의 방에 오신 것을 환영합니다."
TUTORIAL_TEXT_40,"시련의 방을 클리어 하면 얻을 수 있는 봉인된 어둠을\n\n정화의 방에서 정화하여 영웅을 각성시킬 수 있습니다."
