KEY,Portuguese
TUTORIAL_TEXT_1,Mostra a barra PV de cada herói e o indicador de PM.\n\nVocê pode usar o poder quando o herói tiver mana suficiente.
TUTORIAL_TEXT_2,Você tem pontos mana (PM).\n\nExperimente alguns poderes!
TUTORIAL_TEXT_3,Estes heróis estão disponíveis para participar da batalha.
TUTORIAL_TEXT_4,Toque 'Preparar Batalha'.
TUTORIAL_TEXT_4_1,Toque 'Pronto para a batalha'.
TUTORIAL_TEXT_5,Toque 'Iniciar Batalhar' para entrar na batalha.
TUTORIAL_TEXT_6,Equipe equipamentos melhores ou os realce.\n\nIsso aumentará a força dos seus heróis!
TUTORIAL_TEXT_7,Colete grimórios para melhorar habilidades!\nIsso facilitará muito as batalhas!
TUTORIAL_TEXT_8,Bem-vindo ao Castelo Orvel!
TUTORIAL_TEXT_9,Você pode comprar vários itens na loja.
TUTORIAL_TEXT_10,"Quando você derrota os monstros na Prisão,\n\nvocê pode obter os grimórios de cada classe."
TUTORIAL_TEXT_11,Lutar com outros usuários na arena e conseguir vitórias.
TUTORIAL_TEXT_12,Bem-vindo à Loja da May.
TUTORIAL_TEXT_13,Toque 'Usar Loja' no centro da tela.
TUTORIAL_TEXT_14,Você entrou na loja.
TUTORIAL_TEXT_15,"Novos itens são reabastecidos a cada hora.\n\nSe você usar um rubi, você pode conferir novos itens."
TUTORIAL_TEXT_16,Venha com frequência para conferir novos itens.
TUTORIAL_TEXT_17,Bem-vindo ao Calabouço.
TUTORIAL_TEXT_18,Toque 'Entrar na Masmorra' no centro da tela.
TUTORIAL_TEXT_19,Você pode entrar em uma área diferente da masmorra todos os dias.\n\nConfira os itens específicos de classe em cada área!
TUTORIAL_TEXT_20,As missões de triunfo foram ativadas.\n\nMova seu herói para onde a missão de triunfo apareceu.
TUTORIAL_TEXT_21,Toque 'Fique pronto para Batalha'
TUTORIAL_TEXT_22,Veja o objetivo da missão de triunfo e em seguida toque em 'Pronto para batalha'
TUTORIAL_TEXT_23,Verifique o baralho e toque em 'Iniciar Batalha'
TUTORIAL_TEXT_24,O objetivo necessário para completar a missão é atualizado no canto superior direito da tela.
TUTORIAL_TEXT_25,Você completou a missão! Volte para a primeira tela.
TUTORIAL_TEXT_26,Toque no botão Missão.
TUTORIAL_TEXT_27,Você pode receber recompensas na Tela de Missões\n\ndepois de completar a missão de triunfo.
TUTORIAL_TEXT_28,Bem-vindo ao Salão dos Heróis
TUTORIAL_TEXT_29,"O Salão dos Heróis é parte da Sala das Provações,\n\nque é necessário para despertar heróis,"
TUTORIAL_TEXT_30,"e a Sala da Purificação, onde as trevas de suas provações são purificadas."
TUTORIAL_TEXT_31,Bem-vindo a Sala das Provações.
TUTORIAL_TEXT_32,"Na Sala das Provações, você pode adquirir as trevas selada,\n\nque é necessária para o despertar dos heróis."
TUTORIAL_TEXT_33,Toque 'Entrar na Masmorra' para entrar na masmorra.
TUTORIAL_TEXT_34,Selecione o herói que corresponda à classe especificada para cada Sala\n\nantes de entrar na masmorra.
TUTORIAL_TEXT_35,"Selecione um herói, e depois toque em Entrar."
TUTORIAL_TEXT_36,"Para entrar na Sala das Provações,\n\né preciso colecionar fragmentos necessários para abrir a Sala."
TUTORIAL_TEXT_37,"Quando você tiver fragmentos suficientes,\n\ntoque o botão Desbloquear para abrir a sala."
TUTORIAL_TEXT_38,Supere as provações e supere as trevas dentro de você!
TUTORIAL_TEXT_39,Bem-vindo à Sala da Purificação.
