KEY,"Russian"
TUTORIAL_TEXT_1,"Отображает ОЗ и ману героя.\n\nНавык можно использовать, если достаточно маны."
TUTORIAL_TEXT_2,"У вас хватает маны.\n\nПопробуйте использовать навык!"
TUTORIAL_TEXT_3,"Эти герои готовы к бою."
TUTORIAL_TEXT_4,"Коснитесь кнопки «Подготовка к бою»."
TUTORIAL_TEXT_4_1,"Коснитесь кнопки «Подготовка к бою»."
TUTORIAL_TEXT_5,"Бой начнется, когда вы коснетесь кнопки «Начать бой»."
TUTORIAL_TEXT_6,"Установите лучшее снаряжение или усильте свое.\n\nЭто сделает вашего героя сильнее!"
TUTORIAL_TEXT_7,"Улучшай навыки с помощью книг навыков!\nСильные навыки сделают битвы гораздо проще!"
TUTORIAL_TEXT_8,"Приветствуем в замке Орвела!"
TUTORIAL_TEXT_9,"В магазине можно купить разные предметы."
TUTORIAL_TEXT_10,"Побеждай монстров в Темнице,\n\nчтобы получить книги навыков для каждого класса."
TUTORIAL_TEXT_11,"Сражайтесь с другими игроками на Арене и побеждайте."
TUTORIAL_TEXT_12,"Добро пожаловать в лавку Мэй!"
TUTORIAL_TEXT_13,"Коснитесь кнопки «В магазин» в центре экрана."
TUTORIAL_TEXT_14,"Вы в лавке."
TUTORIAL_TEXT_15,"Новые товары появляются каждый час.\n\nМожно использовать рубины, чтобы обновить список."
TUTORIAL_TEXT_16,"Заходите время от времени и проверяйте, что тут нового."
TUTORIAL_TEXT_17,"Добро пожаловать в Темницу!"
TUTORIAL_TEXT_18,"Коснитесь кнопки «Вход в подземелье» в центре экрана."
TUTORIAL_TEXT_19,"Каждый день открывается новая локация.\n\nТам можно найти оружие спец. класса!"
TUTORIAL_TEXT_20,"Миссии по уничтожению были активированы.\n\nПереместите героя туда, где появилась миссия по уничтожению."
TUTORIAL_TEXT_21,"Коснитесь кнопки «Подготовка к бою»."
TUTORIAL_TEXT_22,"Прочитайте цель миссии и коснитесь кнопки «Подготовка к бою»."
TUTORIAL_TEXT_23,"Проверьте ваш набор и коснитесь кнопки «Начать бой»."
TUTORIAL_TEXT_24,"В процессе цель миссии будет обновляться в правой верхней части экрана."
TUTORIAL_TEXT_25,"Миссия завершена! Вернитесь к начальному экрану."
TUTORIAL_TEXT_26,"Коснитесь кнопки «Задания»."
TUTORIAL_TEXT_27,"После миссий по уничтожению можно получить награды из списка заданий."
TUTORIAL_TEXT_28,"Добро пожаловать в Зал героев!"
TUTORIAL_TEXT_29,"Зал героев состоит из Комнаты испытаний,\n\nгде герои проходят необходимые для пробуждения испытания,"
TUTORIAL_TEXT_30,"и Комнаты очищения, где преображается тьма, полученная после испытаний."
TUTORIAL_TEXT_31,"Добро пожаловать в Комнату испытаний."
TUTORIAL_TEXT_32,"В Комнате испытаний можно получить запечатанную тьму,\n\nнеобходимую для пробуждения героев."
TUTORIAL_TEXT_33,"Коснитесь кнопки «Вход в подземелье»."
TUTORIAL_TEXT_34,"Для каждой Комнаты необходимо выбрать героев, подходящих по классу."
TUTORIAL_TEXT_35,"После выбора героев коснитесь кнопки «Войти»."
TUTORIAL_TEXT_36,"Если вы входите в Комнату испытаний впервые, \n\nдля ее открытия необходимы фрагменты."
