KEY,Spanish
TUTORIAL_TEXT_1,Muestra la barra de Salud de cada heroe y la escala de PM!\nPuedes utilizar la habilidad cuando el heroe posea suficiente mana!
TUTORIAL_TEXT_2,Posees suficientes puntos mana Prueba las habilidades!
TUTORIAL_TEXT_3,Estos heroes estan disponibles para participar en una batalla
TUTORIAL_TEXT_4,Presiona 'Preparar Batalla'.
TUTORIAL_TEXT_4_1,Presiona 'Prepararse para la Batalla'.
TUTORIAL_TEXT_5,Presiona 'Iniciar Batalla'\npara ingresar en la batalla.
TUTORIAL_TEXT_6,Utiliza un equipo superior o mejoralo Aumentara el poder de tus heroes!
TUTORIAL_TEXT_7,Colecciona libros de habilidades para mejorar las tuyas.\nTe ayudarán a prepararte mejor para las batallas.
TUTORIAL_TEXT_8,Bienvenido al Castillo de Orvel!
TUTORIAL_TEXT_9,Puedes comprar varios articulos en la tienda.
TUTORIAL_TEXT_10,"Cuando derrotas a los monstruos en Prisión militar,\n\npuedes obtener los libros de habilidad de cada clase."
TUTORIAL_TEXT_11,Pelea contra otros usuarios en la arena y obten victorias
TUTORIAL_TEXT_12,Bienvenido a la Tienda General de May
TUTORIAL_TEXT_13,Presiona 'Utilizar Tienda' en el centro de la pantalla.
TUTORIAL_TEXT_14,Has ingresado a la tienda
TUTORIAL_TEXT_15,"Nuevos articulos son reabastecidos cada hora Si utilizas un Rubi,\npuedes verificar nuevos articulos."
TUTORIAL_TEXT_16,Visita regularmente para verificar nuevos articulos
TUTORIAL_TEXT_17,Bienvenido a la Prision Militar
TUTORIAL_TEXT_18,Presiona 'Ingresar Calabozo' en el centro de la pantalla.
TUTORIAL_TEXT_19,Puedes ingresar en un area diferente del calabozo cada dia.\nVerifica articulos especificos en cada area!
TUTORIAL_TEXT_20,Conquistar misiones ha sido activado.\nMueve tu heroe hacia donde aparece una mision de conquista.
TUTORIAL_TEXT_21,Presiona 'Preparate para la Batalla'.
TUTORIAL_TEXT_22,Ve el objetivo de la mision de conquista y presiona\n'Preparate para la Batalla'
TUTORIAL_TEXT_23,Verifica la plataforma y luego presiona 'Comenzar Batalla'.
TUTORIAL_TEXT_24,El objetivo para completar la mision se actualiza\nen la parte superior derecha de la pantalla.
TUTORIAL_TEXT_25,Has completado la Mision! Regresa a la primera pantalla.
TUTORIAL_TEXT_26,Presiona el boton de Busqueda.
TUTORIAL_TEXT_27,Puedes recibir recompensas de la lista de Misiones\nluego de completar la misión de conquista.
TUTORIAL_TEXT_28,Bienvenido al Salón de Héroes.
TUTORIAL_TEXT_29,"El Salón de Héroes consta del Cuarto de Pruebas,\nque es necesario para despertar a los héroes"
TUTORIAL_TEXT_30,"y el Cuarto de Purificación, donde la obscuridad de\ntus pruebas son purificadas."
TUTORIAL_TEXT_31,Bienvenido al Cuarto de Pruebas
TUTORIAL_TEXT_32,"En el Cuarto de Pruebas, puedes adquirir la obscuridad sellada,\nla cual es necesaria para el Despertar de los heroes"
TUTORIAL_TEXT_33,Presiona 'Ingresar al Calabozo' para entrar en el calabozo
TUTORIAL_TEXT_34,Selecciona el héroe que coincida con la clase especificada\npara cada sala antes de entrar en el calabozo.
TUTORIAL_TEXT_35,Selecciona un héroe y luego pulsa Ingresar
