KEY,Vietnamese
TUTORIAL_TEXT_1,Hiển thị máu của mỗi anh hùng và thanh đo điểm mana.\n\nBạn có thể sử dụng kỹ năng khi anh hùng có đủ mana.
TUTORIAL_TEXT_2,Bạn có đủ điểm mana (MP).\n\nHãy thử một số kỹ năng!
TUTORIAL_TEXT_3,Những anh hùng này có thể tham gia vào một trận chiến.
TUTORIAL_TEXT_4,Chạm 'Chuẩn bị'
TUTORIAL_TEXT_4_1,Chạm 'Sẵn sàng xuất chiến'.
TUTORIAL_TEXT_5,Nhấn 'Bắt đầu' để vào trận.
TUTORIAL_TEXT_6,Trang bị vật phẩm tốt hơn hoặc cường hoá trang bị.\n\n\n\nNó sẽ giúp tăng sức mạnh của tướng! 
TUTORIAL_TEXT_7,Thu thập sách kỹ năng để cường hóa kỹ năng!\nĐiều này sẽ giúp các trận chiến diễn ra suôn sẻ hơn!
TUTORIAL_TEXT_8,Chào mừng đến với Lâu đài Orvel!
TUTORIAL_TEXT_9,Bạn có thể mua các mặt hàng khác nhau tại cửa hàng.
TUTORIAL_TEXT_10,"Khi đánh bại quái vật trong Nhà ngục,\n\nbạn có thể thu được sách kỹ năng của mỗi hệ."
TUTORIAL_TEXT_11,Chiến đấu với người chơi khác trên đấu trường và giành chiến thắng.
TUTORIAL_TEXT_12,Chào mừng đến với cửa hàng bách hoá của May.
TUTORIAL_TEXT_13,Chạm 'Vào cửa hàng' ở giữa màn hình.
TUTORIAL_TEXT_14,Bạn đã vào cửa hàng.
TUTORIAL_TEXT_15,"Hàng mới được vào kho hàng giờ.\n\nNếu bạn sử dụng một Ruby, bạn có thể xem hàng mới."
TUTORIAL_TEXT_16,Hãy đến thường xuyên để xem các mặt hàng mới.
TUTORIAL_TEXT_17,Chào mừng đến với Nhà ngục
TUTORIAL_TEXT_18,Nhấn Vào nhà ngục' ở giữa màn hình.
TUTORIAL_TEXT_19,Mỗi ngày bạn có thể vào một khu vực khác nhau của Nhà ngục\n\nKiểm tra các mặt hàng cụ thể trong từng khu vực!
TUTORIAL_TEXT_20,Nhiệm vụ chinh phạt đã được kích hoạt.\n\nDi chuyển anh hùng của bạn đến nơi nhiệm vụ chinh phạt xuất hiện.
TUTORIAL_TEXT_21,Chạm 'Sẵn sàng xuất chiến'.
TUTORIAL_TEXT_22,"Xem mục tiêu nhiệm vụ chinh phục, và sau đó bấm 'Sẵn sàng'"
TUTORIAL_TEXT_23,Kiểm tra bàn chơi và gõ 'Bắt đầu'.
TUTORIAL_TEXT_24,Mục tiêu cần hoàn thành sứ mệnh được cập nhật ở trên cùng bên phải của màn hình.
TUTORIAL_TEXT_25,Bạn đã hoàn thành nhiệm vụ! Trở lại màn hình đầu tiên.
TUTORIAL_TEXT_26,Chạm vào nút Nhiệm vụ.
TUTORIAL_TEXT_27,Bạn có thể nhận được phần thưởng từ Danh sách nhiệm vụ sau khi bạn hoàn thành nhiệm vụ chinh phục.
TUTORIAL_TEXT_28,Chào mừng bạn đến Đại lộ Anh hùng
TUTORIAL_TEXT_29,"Đại lộ Anh hùng bao gồm phòng Thử thách\n\nnơi cần thiết để thức tỉnh các vị anh hùng,"
TUTORIAL_TEXT_30,"Và Phòng Thanh tẩy, nơi mà bóng tối giành được sau thử thách được thanh tẩy."
TUTORIAL_TEXT_31,Chào mừng bạn đến với Phòng thử thách.
TUTORIAL_TEXT_32,"Phòng thử thách, bạn có thể giành được\n\n\n\nbóng tối bị phong ấn, là vật liệu thức tỉnh cần thiết cho những vị anh hùng."
TUTORIAL_TEXT_33,Nhấn 'Vào nhà ngục' để vào ngục tối.
TUTORIAL_TEXT_34,Chọn anh hùng phù hợp với class được chỉ định cho mỗi phòng trước khi vào ngục tối
