KEY,ChineseSimplified
GRADE_WHITE1,白色
GRADE_GREEN1,绿色
GRADE_BLUE1,蓝色
GRADE_PURPLE1,紫色
GRADE_ORANGE1,橘色
GRADE_WHITE2,一般
GRADE_GREEN2,[64ff64]高级
GRADE_BLUE2,[0096FF]稀有
GRADE_PURPLE2,[FF32FF]英雄
GRADE_ORANGE2,[FF8200]传说
GRADE_RED2,[E25050]上古
EQUIPITEM_GRADE_40,上古装备
LOCATION_CHAPTER1_NAME,拉姆斯平原
LOCATION_CHAPTER2_NAME,艾莉朵拉森林
LOCATION_CHAPTER3_NAME,德拉高山脉
LOCATION_CHAPTER4_NAME,喀瑞德森林
LOCATION_CHAPTER5_NAME,斯克拉崁平原
LOCATION_CHAPTER6_NAME,艾吉纳沙漠
LOCATION_CHAPTER7_NAME,巴卢图亚雪山
LOCATION_CHAPTER8_NAME,德拉吉亚火山
LOCATION_CHAPTER9_NAME,卡尔库斯沼泽地带
LOCATION_ORVEL_NAME,首都奥勒贝尔
LOCATION_ORVIS_NAME,奥斐斯大陆
LOCATION_TOWN_ORVEL_NAME,奥勒贝尔王城
BOSS_DUNGEON_CHAPTER1_BOSS0,妖精湖泊
BOSS_DUNGEON_CHAPTER1_BOSS1,拉姆斯平原南部据点
BOSS_DUNGEON_CHAPTER1_BOSS2,罗契山据点
BOSS_DUNGEON_CHAPTER1_BOSS3,拉姆斯平原北部据点
BOSS_DUNGEON_CHAPTER2_BOSS0,艾莉朵拉森林入口
BOSS_DUNGEON_CHAPTER2_BOSS1,亚登河中游据点
BOSS_DUNGEON_CHAPTER2_BOSS2,亚登河上游据点
BOSS_DUNGEON_CHAPTER2_BOSS3,艾莉朵拉北部森林据点
BOSS_DUNGEON_CHAPTER3_BOSS0,巨石溪谷
BOSS_DUNGEON_CHAPTER3_BOSS1,莱得湿地据点
BOSS_DUNGEON_CHAPTER3_BOSS2,血鸣溪谷据点
BOSS_DUNGEON_CHAPTER3_BOSS3,冰霜溪谷据点
BOSS_DUNGEON_CHAPTER4_BOSS0,殇之平原
BOSS_DUNGEON_CHAPTER4_BOSS1,悲泣之墓据点
BOSS_DUNGEON_CHAPTER4_BOSS2,哀之暴风据点
BOSS_DUNGEON_CHAPTER4_BOSS3,深渊之林据点
BOSS_DUNGEON_CHAPTER5_BOSS0,凯尔平原
BOSS_DUNGEON_CHAPTER5_BOSS1,伊蓝湿地据点
BOSS_DUNGEON_CHAPTER5_BOSS2,凯诺索斯检查站
BOSS_DUNGEON_CHAPTER5_BOSS3,特洛伊要塞
BOSS_DUNGEON_CHAPTER6_BOSS0,沙漠海盗据点
BOSS_DUNGEON_CHAPTER6_BOSS1,饮茶休憩所
BOSS_DUNGEON_CHAPTER6_BOSS2,黄昏边境
BOSS_DUNGEON_CHAPTER6_BOSS3,传闻中的地下入口
BOSS_DUNGEON_CHAPTER7_BOSS0,脚印雪径
BOSS_DUNGEON_CHAPTER7_BOSS1,冰龙遗迹
BOSS_DUNGEON_CHAPTER7_BOSS2,北部边境
BOSS_DUNGEON_CHAPTER7_BOSS3,冰霜王座
BOSS_DUNGEON_CHAPTER7_STORY,笼罩黑暗的洞窟
BOSS_DUNGEON_CHAPTER8_BOSS0,德拉吉亚火山北边外围
BOSS_DUNGEON_CHAPTER8_BOSS1,德拉吉亚火山西边疆界
BOSS_DUNGEON_CHAPTER8_BOSS2,德拉吉亚火山入口岔路
BOSS_DUNGEON_CHAPTER8_BOSS3,熔岩火焰要塞
BOSS_DUNGEON_CHAPTER9_BOSS0,雾气弥漫的泥潭
BOSS_DUNGEON_CHAPTER9_BOSS1,沼泽地最深处
BOSS_DUNGEON_CHAPTER9_BOSS2,帝国军遗迹发掘现场
BOSS_DUNGEON_CHAPTER9_BOSS3,魔王城旧址
BOSS_DUNGEON_CHAPTER9_BOSS4,魔导遗迹的传送塔
NODE_MULTIDUNGEON_NAME,扭曲的次元
NODE_EVENT_NAME,可疑的宝箱
NODE_HUNTING_NAME,讨伐战斗
NODE_WORLDTREE_NAME,世界树
NODE_TEMPLE_NAME,英雄殿堂
NODE_PRISON_NAME,地下监牢
NODE_PIT_NAME,深渊之牢
NODE_PIT_CHAPTER3_NAME,血腥深渊
NODE_PIT_CHAPTER5_NAME,死亡深渊
NODE_PIT_CHAPTER7_NAME,安息深渊
NODE_LANDING_NAME,降落点
NODE_FORGE_NAME,锻造所
NODE_PUB_NAME,英雄旅馆
NODE_SANCTUM_NAME,露亚的圣殿
NODE_SCENARIO_NAME,剧情
CONTENT_GUILD,公会
PVP_TEXT,竞技场
NODE_SHOP_TOWN,综合商店
NODE_SHOP_CHAPTER2,移动图书馆
NODE_SHOP_CHAPTER3,古董马车
NODE_SHOP_CHAPTER4,稀有材料商店
NODE_SHOP_CHAPTER5,符石小屋
NODE_CASTLE_NAME,奥勒贝尔王城
PARTY_DUNGEON_CHAPTER1,黑色火药仓库
PARTY_DUNGEON_CHAPTER1_NODE8,黑色火药仓库1-8
PARTY_DUNGEON_CHAPTER2,血翼之族前哨基地
PARTY_DUNGEON_CHAPTER2_NODE8,血翼之族前哨基地2-8
PARTY_DUNGEON_CHAPTER3,赤色大地峡谷
PARTY_DUNGEON_CHAPTER3_NODE8,赤色大地峡谷3-8
PARTY_DUNGEON_CHAPTER4,不死之人的祭坛
PARTY_DUNGEON_CHAPTER4_NODE8,不死之人的祭坛4-8
PARTY_DUNGEON_CHAPTER5,黑色荆棘要塞入口
PARTY_DUNGEON_CHAPTER5_NODE8,黑色荆棘要塞入口5-8
PARTY_DUNGEON_CHAPTER6,被遗忘的沙漠之风洞窟
PARTY_DUNGEON_CHAPTER7,寒冰水晶洞窟
PARTY_DUNGEON_CHAPTER8,泰莫雷勒的龙穴
PARTY_DUNGEON_CHAPTER9,成为废墟的魔力发电站
NODE_SQUARE_NAME,奥勒贝尔市中心
SQUARE_NAME_NORMAL_SUB,奥勒贝尔市中心
MANUAL_CATEGORY_BATTLE,勇士本该善战
MANUAL_CATEGORY_SKILL,学一些技能吧
MANUAL_CATEGORY_EQUIPMENT,你对于装备了解多少？
MANUAL_CATEGORY_AWAKEHERO,英雄隐藏的能力
MANUAL_CATEGORY_VILLAGE,欢迎来到村庄！
MANUAL_CATEGORY_PARTYDUNGEON,你是我最好的伙伴
MANUAL_CATEGORY_PIT,BOSS会掉落稀有道具
MANUAL_CATEGORY_QUEST,RPG专家，是你？
MANUAL_CATEGORY_TOWER,高耸而美丽的双塔
MANUAL_CATEGORY_ARENA,昨日的朋友，今日的敌人
MANUAL_SUBCODE_BATTLE_BATTLEINFO,进入副本
MANUAL_SUBCODE_BATTLE_PARTYSETTING,选择英雄
MANUAL_SUBCODE_SKILL_GETSKILL,学习技能
MANUAL_SUBCODE_SKILL_UPGRADESKILL,强化技能
MANUAL_SUBCODE_SKILL_AWAKESKILL,觉醒技能
MANUAL_SUBCODE_EQUIPMENT_EQUIP,穿戴装备
MANUAL_SUBCODE_EQUIPMENT_UPGRADEEQUIPMENT,装备强化
MANUAL_SUBCODE_EQUIPMENT_EQUIPRUNE,装备符石
MANUAL_SUBCODE_AWAKEHERO_HALLOFHERO,英雄殿堂
MANUAL_SUBCODE_AWAKEHERO_CLASSSELECT,试炼之房：选择区域
MANUAL_SUBCODE_AWAKEHERO_UNLOCKSEAL,试炼之房：解除封印
MANUAL_SUBCODE_AWAKEHERO_SELECTHERO,净化之房：选择英雄
MANUAL_SUBCODE_AWAKEHERO_PURIFYHERO,净化之房：进行净化
MANUAL_SUBCODE_VILLAGE_INTRO,村庄
MANUAL_SUBCODE_VILLAGE_SHOP,商店
MANUAL_SUBCODE_VILLAGE_PRISON,地下监牢
MANUAL_SUBCODE_VILLAGE_ARENA,竞技场
MANUAL_SUBCODE_PARTYDUNGEON_PARTYMATCH,组队：配对
MANUAL_SUBCODE_PARTYDUNGEON_PARTYDUNGEON,组队：副本
MANUAL_SUBCODE_PARTYDUNGEON_PARTYREADY,组队：预备
MANUAL_SUBCODE_PARTYDUNGEON_BID,组队：投标
MANUAL_SUBCODE_PIT_INTRO,深渊之牢
MANUAL_SUBCODE_PIT_SELECTAREA,深渊之牢：选择区域
MANUAL_SUBCODE_PIT_PARTYSETTING,深渊之牢：选择英雄
MANUAL_SUBCODE_PIT_CONTINUE,深渊之牢：下一步
