KEY,ChineseTraditional
GRADE_WHITE1,白色
GRADE_GREEN1,綠色
GRADE_BLUE1,藍色
GRADE_PURPLE1,紫色
GRADE_ORANGE1,橘色
GRADE_WHITE2,一般
GRADE_GREEN2,[64ff64]高級
GRADE_BLUE2,[0096FF]稀有
GRADE_PURPLE2,[FF32FF]英雄
GRADE_ORANGE2,[FF8200]傳說
GRADE_RED2,[E25050]上古
EQUIPITEM_GRADE_40,上古裝備
LOCATION_CHAPTER1_NAME,拉姆斯平原
LOCATION_CHAPTER2_NAME,艾莉朵拉森林
LOCATION_CHAPTER3_NAME,德拉高山脈
LOCATION_CHAPTER4_NAME,喀瑞德森林
LOCATION_CHAPTER5_NAME,斯克拉崁平原
LOCATION_CHAPTER6_NAME,艾吉納沙漠
LOCATION_CHAPTER7_NAME,巴盧圖亞雪山
LOCATION_CHAPTER8_NAME,德拉吉亞火山
LOCATION_CHAPTER9_NAME,卡爾庫斯沼澤地帶
LOCATION_ORVEL_NAME,首都奧勒貝爾
LOCATION_ORVIS_NAME,奧斐斯大陸
LOCATION_TOWN_ORVEL_NAME,奧勒貝爾王城
BOSS_DUNGEON_CHAPTER1_BOSS0,妖精湖泊
BOSS_DUNGEON_CHAPTER1_BOSS1,拉姆斯平原南部據點
BOSS_DUNGEON_CHAPTER1_BOSS2,羅契山據點
BOSS_DUNGEON_CHAPTER1_BOSS3,拉姆斯平原北部據點
BOSS_DUNGEON_CHAPTER2_BOSS0,艾莉朵拉森林入口
BOSS_DUNGEON_CHAPTER2_BOSS1,亞登河中游據點
BOSS_DUNGEON_CHAPTER2_BOSS2,亞登河上游據點
BOSS_DUNGEON_CHAPTER2_BOSS3,艾莉朵拉北部森林據點
BOSS_DUNGEON_CHAPTER3_BOSS0,巨石溪谷
BOSS_DUNGEON_CHAPTER3_BOSS1,萊得濕地據點
BOSS_DUNGEON_CHAPTER3_BOSS2,血鳴溪谷據點
BOSS_DUNGEON_CHAPTER3_BOSS3,寒霜溪谷據點
BOSS_DUNGEON_CHAPTER4_BOSS0,殤之平原
BOSS_DUNGEON_CHAPTER4_BOSS1,悲泣之墓據點
BOSS_DUNGEON_CHAPTER4_BOSS2,哀之暴風據點
BOSS_DUNGEON_CHAPTER4_BOSS3,深淵之林據點
BOSS_DUNGEON_CHAPTER5_BOSS0,凱爾平原
BOSS_DUNGEON_CHAPTER5_BOSS1,伊藍濕地據點
BOSS_DUNGEON_CHAPTER5_BOSS2,凱諾索斯檢查站
BOSS_DUNGEON_CHAPTER5_BOSS3,特洛伊要塞
BOSS_DUNGEON_CHAPTER6_BOSS0,沙漠海盜據點
BOSS_DUNGEON_CHAPTER6_BOSS1,喫茶休憩所
BOSS_DUNGEON_CHAPTER6_BOSS2,垂暮邊境
BOSS_DUNGEON_CHAPTER6_BOSS3,傳聞中的地下入口
BOSS_DUNGEON_CHAPTER7_BOSS0,腳印雪徑
BOSS_DUNGEON_CHAPTER7_BOSS1,冰龍遺跡
BOSS_DUNGEON_CHAPTER7_BOSS2,北部邊境
BOSS_DUNGEON_CHAPTER7_BOSS3,冰霜王座
BOSS_DUNGEON_CHAPTER7_STORY,籠罩黑暗的洞窟
BOSS_DUNGEON_CHAPTER8_BOSS0,德拉吉亞火山北邊外圍
BOSS_DUNGEON_CHAPTER8_BOSS1,德拉吉亞火山西邊疆界
BOSS_DUNGEON_CHAPTER8_BOSS2,德拉吉亞火山入口岔路
BOSS_DUNGEON_CHAPTER8_BOSS3,熔岩火焰要塞
BOSS_DUNGEON_CHAPTER9_BOSS0,煙霧繚繞的泥淖
BOSS_DUNGEON_CHAPTER9_BOSS1,沼澤地帶最深處
BOSS_DUNGEON_CHAPTER9_BOSS2,帝國軍遺跡挖掘現場
BOSS_DUNGEON_CHAPTER9_BOSS3,舊魔王城空地
BOSS_DUNGEON_CHAPTER9_BOSS4,魔導遺跡的傳送塔
NODE_MULTIDUNGEON_NAME,扭曲的次元
NODE_EVENT_NAME,可疑的寶箱
NODE_HUNTING_NAME,討伐戰鬥
NODE_WORLDTREE_NAME,世界樹
NODE_TEMPLE_NAME,英雄殿堂
NODE_PRISON_NAME,地下監牢
NODE_PIT_NAME,深淵之牢
NODE_PIT_CHAPTER3_NAME,血腥深淵
NODE_PIT_CHAPTER5_NAME,死亡深淵
NODE_PIT_CHAPTER7_NAME,安息深淵
NODE_LANDING_NAME,降落點
NODE_FORGE_NAME,鍛造所
NODE_PUB_NAME,英雄旅館
NODE_SANCTUM_NAME,露亞的聖殿
NODE_SCENARIO_NAME,劇情
CONTENT_GUILD,公會
PVP_TEXT,競技場
NODE_SHOP_TOWN,綜合商店
NODE_SHOP_CHAPTER2,移動圖書館
NODE_SHOP_CHAPTER3,古董馬車
NODE_SHOP_CHAPTER4,稀有材料商店
NODE_SHOP_CHAPTER5,符石小屋
NODE_CASTLE_NAME,奧勒貝爾王城
PARTY_DUNGEON_CHAPTER1,黑色火藥倉庫
