KEY,"English"
GRADE_WHITE1,"White"
GRADE_GREEN1,"Green"
GRADE_BLUE1,"Blue"
GRADE_PURPLE1,"Purple"
GRADE_ORANGE1,"Orange"
GRADE_WHITE2,"Common"
GRADE_GREEN2,"[64ff64]Uncommon"
GRADE_BLUE2,"[0096FF]Rare"
GRADE_PURPLE2,"[FF32FF]Heroic"
GRADE_ORANGE2,"[FF8200]Legendary"
GRADE_RED2,"[E25050]Ancient "
EQUIPITEM_GRADE_40,"Ancient Gear"
LOCATION_CHAPTER1_NAME,"Lamus Plains"
LOCATION_CHAPTER2_NAME,"Elidora Forest"
LOCATION_CHAPTER3_NAME,"Drago Mountains"
LOCATION_CHAPTER4_NAME,"Krad Forest"
LOCATION_CHAPTER5_NAME,"Sicrakam Plains"
LOCATION_CHAPTER6_NAME,"Aegina Desert"
LOCATION_CHAPTER7_NAME,"Ballutua Snow Mountains"
LOCATION_CHAPTER8_NAME,"Dragia Volcano"
LOCATION_CHAPTER9_NAME,"Swamps of Gargoss"
LOCATION_ORVEL_NAME,"Orvel"
LOCATION_ORVIS_NAME,"Orbis Continent"
LOCATION_TOWN_ORVEL_NAME,"Orvel Castle"
BOSS_DUNGEON_CHAPTER1_BOSS0,"Fairy Lake"
BOSS_DUNGEON_CHAPTER1_BOSS1,"Lamus Plains South Base"
BOSS_DUNGEON_CHAPTER1_BOSS2,"Roche Mountains Base"
BOSS_DUNGEON_CHAPTER1_BOSS3,"Lamus Plains North Base"
BOSS_DUNGEON_CHAPTER2_BOSS0,"Elidora Forest Entrance"
BOSS_DUNGEON_CHAPTER2_BOSS1,"Adern River Midstream Base"
BOSS_DUNGEON_CHAPTER2_BOSS2,"Adern River Upstream Base"
BOSS_DUNGEON_CHAPTER2_BOSS3,"Elidora North Forest Base"
BOSS_DUNGEON_CHAPTER3_BOSS0,"Boulder Valley"
BOSS_DUNGEON_CHAPTER3_BOSS1,"Lad Waterlands Base"
BOSS_DUNGEON_CHAPTER3_BOSS2,"Bloodcry Valley Base"
BOSS_DUNGEON_CHAPTER3_BOSS3,"Cold Frost Valley Base"
BOSS_DUNGEON_CHAPTER4_BOSS0,"Sorrow Plains"
BOSS_DUNGEON_CHAPTER4_BOSS1,"Wailing Cemetery Base"
BOSS_DUNGEON_CHAPTER4_BOSS2,"Mourning Storm Base"
BOSS_DUNGEON_CHAPTER4_BOSS3,"Deep Abyss Forest Base"
BOSS_DUNGEON_CHAPTER5_BOSS0,"Kailan Plains"
BOSS_DUNGEON_CHAPTER5_BOSS1,"Eilan Marsh Stronghold"
BOSS_DUNGEON_CHAPTER5_BOSS2,"Knosos Checkpoint"
BOSS_DUNGEON_CHAPTER5_BOSS3,"Fort Troy"
BOSS_DUNGEON_CHAPTER6_BOSS0,"Desert Pirate Hideout"
BOSS_DUNGEON_CHAPTER6_BOSS1,"Resting Place of the Thirsty"
BOSS_DUNGEON_CHAPTER6_BOSS2,"The Boundary of Dusk"
BOSS_DUNGEON_CHAPTER6_BOSS3,"The Rumoured Grotto"
BOSS_DUNGEON_CHAPTER7_BOSS0,"Snow Trail of Hooves"
BOSS_DUNGEON_CHAPTER7_BOSS1,"Ice Dragon Ruins"
BOSS_DUNGEON_CHAPTER7_BOSS2,"The Northern End"
BOSS_DUNGEON_CHAPTER7_BOSS3,"Frost-Covered Throne"
BOSS_DUNGEON_CHAPTER7_STORY,"Darkness upon the Cave"
BOSS_DUNGEON_CHAPTER8_BOSS0,"North Outskirt, Dragia Volcano"
BOSS_DUNGEON_CHAPTER8_BOSS1,"West Border, Dragia Volcano"
BOSS_DUNGEON_CHAPTER8_BOSS2,"Folk at the Entrance, Dragia Volcano"
BOSS_DUNGEON_CHAPTER8_BOSS3,"Lava Flame Fortress"
BOSS_DUNGEON_CHAPTER9_BOSS0,"Misty Mire"
BOSS_DUNGEON_CHAPTER9_BOSS1,"The Depths of Swamps"
BOSS_DUNGEON_CHAPTER9_BOSS2,"Imperial Army Ruins Excavation Site"
BOSS_DUNGEON_CHAPTER9_BOSS3,"Dark Lord's Castle Ruins"
BOSS_DUNGEON_CHAPTER9_BOSS4,"Transmission Tower of Technomagic Ruins"
NODE_MULTIDUNGEON_NAME,"Twisted Dimension"
NODE_EVENT_NAME,"Strange Chest"
NODE_HUNTING_NAME,"Conquest"
NODE_WORLDTREE_NAME,"World Tree"
NODE_TEMPLE_NAME,"Hall of Heroes"
NODE_PRISON_NAME,"Stockade"
NODE_PIT_NAME,"Pit"
NODE_PIT_CHAPTER3_NAME,"Bloody Pit"
NODE_PIT_CHAPTER5_NAME,"Death Pit"
NODE_PIT_CHAPTER7_NAME,"Rest Pit"
NODE_LANDING_NAME,"Landing"
NODE_FORGE_NAME,"Forge"
NODE_PUB_NAME,"Hero's Inn"
NODE_SANCTUM_NAME,"Lua's Sanctuary"
NODE_SCENARIO_NAME,"Scenario"
CONTENT_GUILD,"Guild"
PVP_TEXT,"Arena"
NODE_SHOP_TOWN,"General Shop"
NODE_SHOP_CHAPTER2,"Mobile Library"
NODE_SHOP_CHAPTER3,"Antique Carriage"
NODE_SHOP_CHAPTER4,"Rare Goods Shop"
NODE_SHOP_CHAPTER5,"Rune Cabin"
NODE_CASTLE_NAME,"Orvel Castle"
PARTY_DUNGEON_CHAPTER1,"Black Gunpowder Storage"
PARTY_DUNGEON_CHAPTER1_NODE8,"Black Gunpowder Storage 1-8"
PARTY_DUNGEON_CHAPTER2,"Bloody Wings Tribal Outpost"
PARTY_DUNGEON_CHAPTER2_NODE8,"Bloody Wings Tribal Outpost 2-8"
PARTY_DUNGEON_CHAPTER3,"Valley of the Red Earth"
PARTY_DUNGEON_CHAPTER3_NODE8,"Valley of the Red Earth 3-8"
PARTY_DUNGEON_CHAPTER4,"Altar of the Undead"
PARTY_DUNGEON_CHAPTER4_NODE8,"Altar of the Undead 4-8"
PARTY_DUNGEON_CHAPTER5,"Entrance to Black Thorn Fortress"
PARTY_DUNGEON_CHAPTER5_NODE8,"Entrance to Black Thorn Fortress 5-8"
PARTY_DUNGEON_CHAPTER6,"Forgotten Desert Wind Caves"
PARTY_DUNGEON_CHAPTER7,"Ice Crystal Cave"
PARTY_DUNGEON_CHAPTER8,"Temeraire's Lair"
PARTY_DUNGEON_CHAPTER9,"Ruined Mana Power Plant"
TOWER_TRIAL,"Tower of Ordeals"
NODE_SQUARE_NAME,"Central Orvel"
SQUARE_NAME_NORMAL_SUB,"Central Orvel"
MANUAL_CATEGORY_BATTLE,"Born-to-fight Warriors"
MANUAL_CATEGORY_SKILL,"Time to Learn Some Skills"
MANUAL_CATEGORY_EQUIPMENT,"What do you know about the gear?"
MANUAL_CATEGORY_AWAKEHERO,"Hero's secrets"
MANUAL_CATEGORY_VILLAGE,"Welcome to town!"
MANUAL_CATEGORY_PARTYDUNGEON,"You're my best friend"
MANUAL_CATEGORY_PIT,"Bosses for Farming"
MANUAL_CATEGORY_QUEST,"RPG Expert, Huh?"
MANUAL_CATEGORY_TOWER,"The High and Beautiful Two Towers"
MANUAL_CATEGORY_ARENA,"Yesterday a Friend, Today a Foe"
MANUAL_SUBCODE_BATTLE_BATTLEINFO,"Enter Dungeon"
MANUAL_SUBCODE_BATTLE_PARTYSETTING,"Deck Setting"
MANUAL_SUBCODE_SKILL_GETSKILL,"Learn Skill"
MANUAL_SUBCODE_SKILL_UPGRADESKILL,"Enhance Skill"
MANUAL_SUBCODE_SKILL_AWAKESKILL,"Awaken Skill"
MANUAL_SUBCODE_EQUIPMENT_EQUIP,"Equip Gear"
MANUAL_SUBCODE_EQUIPMENT_UPGRADEEQUIPMENT,"Enhance Gear"
MANUAL_SUBCODE_EQUIPMENT_EQUIPRUNE,"Equip Rune"
MANUAL_SUBCODE_AWAKEHERO_HALLOFHERO,"Hall of Heroes"
MANUAL_SUBCODE_AWAKEHERO_CLASSSELECT,"Room of Ordeals: Select Section"
MANUAL_SUBCODE_AWAKEHERO_UNLOCKSEAL,"Room of Ordeals: Unsealing"
MANUAL_SUBCODE_AWAKEHERO_SELECTHERO,"Room of Purification: Select Hero"
MANUAL_SUBCODE_AWAKEHERO_PURIFYHERO,"Room of Purification: Purify"
MANUAL_SUBCODE_VILLAGE_INTRO,"Town"
MANUAL_SUBCODE_VILLAGE_SHOP,"Shop"
MANUAL_SUBCODE_VILLAGE_PRISON,"Stockade"
MANUAL_SUBCODE_VILLAGE_ARENA,"Arena"
MANUAL_SUBCODE_PARTYDUNGEON_PARTYMATCH,"Party: Matching"
MANUAL_SUBCODE_PARTYDUNGEON_PARTYDUNGEON,"Party: Dungeon"
MANUAL_SUBCODE_PARTYDUNGEON_PARTYREADY,"Party: Ready to Battle"
MANUAL_SUBCODE_PARTYDUNGEON_BID,"Party: Bid"
MANUAL_SUBCODE_PIT_INTRO,"Pit"
MANUAL_SUBCODE_PIT_SELECTAREA,"Pit: Select Section"
MANUAL_SUBCODE_PIT_PARTYSETTING,"Pit: Deck Setting"
MANUAL_SUBCODE_PIT_CONTINUE,"Pit: Continue"
MANUAL_SUBCODE_PIT_REWARDRESET,"Pit: Precautions"
MANUAL_SUBCODE_QUEST_INTRO,"Quest"
MANUAL_SUBCODE_QUEST_OCCUR,"Quest: Occurring"
MANUAL_SUBCODE_QUEST_ACCEPT,"Quest: Accepted"
MANUAL_SUBCODE_QUEST_COMPLETE,"Quest: Completed"
MANUAL_SUBCODE_TOWER_INTRO,"The Two Towers"
MANUAL_SUBCODE_TOWER_TOWEROFTRIAL,"Tower of Ordeals"
MANUAL_SUBCODE_TOWER_TOWEROFTRAINING,"The Training Tower"
MANUAL_SUBCODE_ARENA_INDIVIDUAL,"Arena: PvP"
MANUAL_SUBCODE_ARENA_COOPERATIVE,"Arena: Co-op"
MANUAL_SUBCODE_ARENA_TOTAL,"Arena: Total War"
MANUAL_SUBCODE_HEROINN,"Hero's Inn"
ACHIEVEMENT_TYPE_GOODS,"Goods"
ACHIEVEMENT_TYPE_ITEM,"Item"
ACHIEVEMENT_TYPE_CONTENTS,"Content"
ACHIEVEMENT_TYPE_ACCOUNT,"Account"
ACHIEVEMENT_TYPE_GUILD,"Guild"
ACHIEVEMENT_TYPE_GAMEPLAY,"Process"
ACHIEVEMENT_SCENARIO,"Scenario"
ALL_INCLUDE_TEXT,"All {1}"
ALL_FRAGMENTS,"All Fragments"
ASK_PACKAGE_ITEM_USE,"Do you want to use the item?"
BILLING_CANCEL,"Payment has been canceled."
BOOSTER_DURATION_TIME,"Lasts for 1 hour"
BOOSTER_TIME_DURATION,"Lasts for 1 hour"
BUY_DUNGEON_PLAY_CHANCE_CONFIRM,"Do you want to drive out the escaped monsters from the Stockade and get another opportunity for additional rewards?"
BUY_NOTY,"Purchase Notice"
BUY_STAMINA_CONFIRM,"Do you want to buy stamina?"
BUY_STAMINA_COUNT,"{1} Stamina"
BOOSTER_ONETIME_REWARD_TITLE,"Acquire Loot x2"
BOOSTER_ONETIME_REWARD_TEXT,"Can be stacked with a 1 hour Loot Booster and Hot time."
CAMPAIGN_REWARD,"Loot"
CANNOT_OPEN_PORTAL_MIN_NODE,"You can use this after completing {1}-{2} area."
CLASS_TRIAL_FORCE_OPEN_CONFIRM,"Do you want to open the dungeon by force and enter?"
CLASS_DESC_WARRIOR,"Warrior"
CLASS_DESC_ARCHER,"Archer"
CLASS_DESC_KNIGHT,"Knight"
CLASS_DESC_WIZARD,"Wizard"
CLASS_DESC_PRIEST,"Priest"
CLASS_DESC_ASSASSIN,"Assassin"
CLASS_DESC_MECHANIC,"Mechanic"
CLASS_DESC_COMMON,"Common"
CREATURE_TAG_TYPE.WARRIOR,"Warrior"
CREATURE_TAG_TYPE.ARCHER,"Archer"
CREATURE_TAG_TYPE.KNIGHT,"Knight"
