KEY,"German"
GRADE_WHITE1,"Weiß"
GRADE_GREEN1,"Grün"
GRADE_BLUE1,"Blau"
GRADE_PURPLE1,"Lila"
GRADE_ORANGE1,"Orange"
GRADE_WHITE2,"Gewöhnlich"
GRADE_GREEN2,"[64ff64]Selten"
GRADE_BLUE2,"[0096FF]Rar"
GRADE_PURPLE2,"[FF32FF]Heroisch"
GRADE_ORANGE2,"[FF8200]Legendär"
GRADE_RED2,"[E25050]Antik"
EQUIPITEM_GRADE_40,"Antike Ausrüstung"
LOCATION_CHAPTER1_NAME,"Lamus-Ebene"
LOCATION_CHAPTER2_NAME,"Elidora-Wald"
LOCATION_CHAPTER3_NAME,"Drago-Gebirge"
LOCATION_CHAPTER4_NAME,"Krad-Wald"
LOCATION_CHAPTER5_NAME,"Sicrakam-Ebene"
LOCATION_CHAPTER6_NAME,"Aegina-Wüste"
LOCATION_CHAPTER7_NAME,"Ballutua-Schneegebirge"
LOCATION_CHAPTER8_NAME,"Dragia-Vulkan"
LOCATION_CHAPTER9_NAME,"Sümpfe von Gargoss"
LOCATION_ORVEL_NAME,"Orvel"
LOCATION_ORVIS_NAME,"Orbis-Kontinent"
LOCATION_TOWN_ORVEL_NAME,"Schloss Orvel"
BOSS_DUNGEON_CHAPTER1_BOSS0,"Feensee"
BOSS_DUNGEON_CHAPTER1_BOSS1,"Südbasis: Lamus-Ebene"
BOSS_DUNGEON_CHAPTER1_BOSS2,"Basis: Roche-Gebirge"
BOSS_DUNGEON_CHAPTER1_BOSS3,"Nordbasis: Lamus-Ebene"
BOSS_DUNGEON_CHAPTER2_BOSS0,"Elidora-Wald Eingang"
BOSS_DUNGEON_CHAPTER2_BOSS1,"Basis Mitte: Adern-Fluss"
BOSS_DUNGEON_CHAPTER2_BOSS2,"Basis Oben: Adern-Fluss"
BOSS_DUNGEON_CHAPTER2_BOSS3,"Basis Nord: Elidora-Wald"
BOSS_DUNGEON_CHAPTER3_BOSS0,"FelsenTal"
BOSS_DUNGEON_CHAPTER3_BOSS1,"Basis: Lad-Sumpf"
BOSS_DUNGEON_CHAPTER3_BOSS2,"Basis: Blutschrei-Tal"
BOSS_DUNGEON_CHAPTER3_BOSS3,"Basis: Kaltfrost-Tal"
BOSS_DUNGEON_CHAPTER4_BOSS0,"Ebene des Kummers"
BOSS_DUNGEON_CHAPTER4_BOSS1,"Basis> Friedhof des Klagens"
BOSS_DUNGEON_CHAPTER4_BOSS2,"Basis: Trauersturm"
BOSS_DUNGEON_CHAPTER4_BOSS3,"Basis: Tiefer Abgrund-Wald"
BOSS_DUNGEON_CHAPTER5_BOSS0,"Kailan-Ebene"
BOSS_DUNGEON_CHAPTER5_BOSS1,"Eilan-Sumpf Festung"
BOSS_DUNGEON_CHAPTER5_BOSS2,"Knosos-Kontrollstelle"
BOSS_DUNGEON_CHAPTER5_BOSS3,"Fort Troy"
BOSS_DUNGEON_CHAPTER6_BOSS0,"Wüstenpiraten-Unterschlupf"
BOSS_DUNGEON_CHAPTER6_BOSS1,"Raststätte der Durstigen"
BOSS_DUNGEON_CHAPTER6_BOSS2,"Grenzen der Dämmerung"
BOSS_DUNGEON_CHAPTER6_BOSS3,"Geheime Grotte"
BOSS_DUNGEON_CHAPTER7_BOSS0,"Hufspuren im Schnee"
BOSS_DUNGEON_CHAPTER7_BOSS1,"Eisdrachen-Ruinen"
BOSS_DUNGEON_CHAPTER7_BOSS2,"Die Nordlande"
BOSS_DUNGEON_CHAPTER7_BOSS3,"Frostiger Thron"
BOSS_DUNGEON_CHAPTER7_STORY,"Finstere Höhle"
BOSS_DUNGEON_CHAPTER8_BOSS0,"Nordrand, Dragia-Vulkan"
BOSS_DUNGEON_CHAPTER8_BOSS1,"Westgrenze, Dragia-Vulkan"
BOSS_DUNGEON_CHAPTER8_BOSS2,"Leute am Eingang, Dragia-Vulkan"
BOSS_DUNGEON_CHAPTER8_BOSS3,"Flammende Lavafestung"
