KEY,Japanese
GRADE_WHITE1,白
GRADE_GREEN1,緑
GRADE_BLUE1,青
GRADE_PURPLE1,紫
GRADE_ORANGE1,橙
GRADE_WHITE2,ノーマル
GRADE_GREEN2,[64ff64]アドバンス
GRADE_BLUE2,[0096FF]レア
GRADE_PURPLE2,[FF32FF]エピック
GRADE_ORANGE2,[FF8200]レジェンド
GRADE_RED2,[E25050]エンシェント
EQUIPITEM_GRADE_40,古代装備
LOCATION_CHAPTER1_NAME,ラムス平原
LOCATION_CHAPTER2_NAME,エリドラの森
LOCATION_CHAPTER3_NAME,ドラゴ山脈
LOCATION_CHAPTER4_NAME,クラッドの森
LOCATION_CHAPTER5_NAME,シクラカム平原
LOCATION_CHAPTER6_NAME,アイギーナ砂漠
LOCATION_CHAPTER7_NAME,バルツア雪山
LOCATION_CHAPTER8_NAME,ドラギア火山
LOCATION_CHAPTER9_NAME,ガルゴス沼地
LOCATION_ORVEL_NAME,首都オルベル
LOCATION_ORVIS_NAME,オルビス大陸
LOCATION_TOWN_ORVEL_NAME,オルベル城
BOSS_DUNGEON_CHAPTER1_BOSS0,妖精の湖
BOSS_DUNGEON_CHAPTER1_BOSS1,ラムス平原の南拠点
BOSS_DUNGEON_CHAPTER1_BOSS2,ロチェ山拠点
BOSS_DUNGEON_CHAPTER1_BOSS3,ラムス平原の北拠点
BOSS_DUNGEON_CHAPTER2_BOSS0,エリドラの森の入り口
BOSS_DUNGEON_CHAPTER2_BOSS1,アデルーン川の中流拠点
BOSS_DUNGEON_CHAPTER2_BOSS2,アデルーン川の上流拠点
BOSS_DUNGEON_CHAPTER2_BOSS3,エリドラ北森拠点
BOSS_DUNGEON_CHAPTER3_BOSS0,岩石谷
BOSS_DUNGEON_CHAPTER3_BOSS1,ラード湿地拠点
BOSS_DUNGEON_CHAPTER3_BOSS2,血叫谷拠点
BOSS_DUNGEON_CHAPTER3_BOSS3,冷霜谷拠点
BOSS_DUNGEON_CHAPTER4_BOSS0,悲しみの平原
BOSS_DUNGEON_CHAPTER4_BOSS1,慟哭の墓地拠点
BOSS_DUNGEON_CHAPTER4_BOSS2,悲哀の暴風拠点
BOSS_DUNGEON_CHAPTER4_BOSS3,深き奈落の森拠点
BOSS_DUNGEON_CHAPTER5_BOSS0,カイラン平原
BOSS_DUNGEON_CHAPTER5_BOSS1,エイラン湿地城塞
