KEY,Korean
GRADE_WHITE1,흰색
GRADE_GREEN1,녹색
GRADE_BLUE1,파랑
GRADE_PURPLE1,보라
GRADE_ORANGE1,주황
GRADE_WHITE2,일반
GRADE_GREEN2,[64ff64]고급
GRADE_BLUE2,[0096FF]희귀
GRADE_PURPLE2,[FF32FF]영웅
GRADE_ORANGE2,[FF8200]전설
GRADE_RED2,[E25050]고대
EQUIPITEM_GRADE_40,고대장비
LOCATION_CHAPTER1_NAME,라무스 평원
LOCATION_CHAPTER2_NAME,엘리도라 숲
LOCATION_CHAPTER3_NAME,드라고 산맥
LOCATION_CHAPTER4_NAME,크라드 숲
LOCATION_CHAPTER5_NAME,시크라캄 평원
LOCATION_CHAPTER6_NAME,아에기나 사막
LOCATION_CHAPTER7_NAME,발루투아 설산
LOCATION_CHAPTER8_NAME,드라기아 화산
LOCATION_CHAPTER9_NAME,가르고스 늪지대
LOCATION_ORVEL_NAME,수도 오르벨
LOCATION_ORVIS_NAME,오르비스 대륙
LOCATION_TOWN_ORVEL_NAME,오르벨 성
BOSS_DUNGEON_CHAPTER1_BOSS0,요정의 호수
BOSS_DUNGEON_CHAPTER1_BOSS1,라무스 평원 남쪽 거점
BOSS_DUNGEON_CHAPTER1_BOSS2,로체 산 거점
BOSS_DUNGEON_CHAPTER1_BOSS3,라무스 평원 북쪽 거점
BOSS_DUNGEON_CHAPTER2_BOSS0,엘리도라 숲 입구
BOSS_DUNGEON_CHAPTER2_BOSS1,아데른 강 중류 지역 거점
BOSS_DUNGEON_CHAPTER2_BOSS2,아데른 강 상류 지역 거점
BOSS_DUNGEON_CHAPTER2_BOSS3,엘리도라 북쪽 숲 거점
BOSS_DUNGEON_CHAPTER3_BOSS0,바위 계곡
BOSS_DUNGEON_CHAPTER3_BOSS1,라드 습지 거점
BOSS_DUNGEON_CHAPTER3_BOSS2,피울음 계곡 거점
BOSS_DUNGEON_CHAPTER3_BOSS3,찬서리 계곡 거점
BOSS_DUNGEON_CHAPTER4_BOSS0,슬픔의 평원
BOSS_DUNGEON_CHAPTER4_BOSS1,통곡의 묘 거점
BOSS_DUNGEON_CHAPTER4_BOSS2,비애의 폭풍 거점
BOSS_DUNGEON_CHAPTER4_BOSS3,깊은 나락 숲 거점
BOSS_DUNGEON_CHAPTER5_BOSS0,카일란 평원
BOSS_DUNGEON_CHAPTER5_BOSS1,에일란 습지 거점
BOSS_DUNGEON_CHAPTER5_BOSS2,크노소스 검문소
BOSS_DUNGEON_CHAPTER5_BOSS3,트로이 요새
BOSS_DUNGEON_CHAPTER6_BOSS0,사막의 해적 거점
BOSS_DUNGEON_CHAPTER6_BOSS1,갈증의 휴식처
BOSS_DUNGEON_CHAPTER6_BOSS2,황혼의 경계
BOSS_DUNGEON_CHAPTER6_BOSS3,풍문의 지하 입구
BOSS_DUNGEON_CHAPTER7_BOSS0,굽 발자국 눈길
BOSS_DUNGEON_CHAPTER7_BOSS1,빙룡 유적지
BOSS_DUNGEON_CHAPTER7_BOSS2,북방의 땅끝
BOSS_DUNGEON_CHAPTER7_BOSS3,서리 왕좌
BOSS_DUNGEON_CHAPTER7_STORY,동굴에 드리운 어둠
BOSS_DUNGEON_CHAPTER8_BOSS0,드라기아 화산 북쪽 외곽
BOSS_DUNGEON_CHAPTER8_BOSS1,드라기아 화산 서쪽 접경지
BOSS_DUNGEON_CHAPTER8_BOSS2,드라기아 화산 입구 갈림길
BOSS_DUNGEON_CHAPTER8_BOSS3,용암 불꽃 요새
BOSS_DUNGEON_CHAPTER9_BOSS0,안개가 자욱한 수렁
BOSS_DUNGEON_CHAPTER9_BOSS1,늪지대 최심부
BOSS_DUNGEON_CHAPTER9_BOSS2,제국군 유적 발굴 현장
BOSS_DUNGEON_CHAPTER9_BOSS3,옛 마왕성의 터
BOSS_DUNGEON_CHAPTER9_BOSS4,마도 유적의 전송탑
NODE_MULTIDUNGEON_NAME,뒤틀린 차원
NODE_EVENT_NAME,수상한 보물상자
NODE_HUNTING_NAME,토벌 전투
NODE_WORLDTREE_NAME,세계수
NODE_TEMPLE_NAME,영웅의 전당
NODE_PRISON_NAME,지하감옥
NODE_PIT_NAME,투기장
NODE_PIT_CHAPTER3_NAME,피의 투기장
NODE_PIT_CHAPTER5_NAME,죽음의 투기장
NODE_PIT_CHAPTER7_NAME,안식의 투기장
NODE_LANDING_NAME,착륙장
NODE_FORGE_NAME,대장간
NODE_PUB_NAME,영웅의 여관
NODE_SANCTUM_NAME,루아의 성소
NODE_SCENARIO_NAME,시나리오
CONTENT_GUILD,길드
PVP_TEXT,결투장
NODE_SHOP_TOWN,종합상점
NODE_SHOP_CHAPTER2,이동식서재
NODE_SHOP_CHAPTER3,골동품마차
NODE_SHOP_CHAPTER4,희귀재료점
NODE_SHOP_CHAPTER5,룬 오두막
NODE_CASTLE_NAME,오르벨 왕성
PARTY_DUNGEON_CHAPTER1,검은 화약 저장고
PARTY_DUNGEON_CHAPTER1_NODE8,검은 화약 저장고 1-8
PARTY_DUNGEON_CHAPTER2,핏빛 날개 부족 전초기지
PARTY_DUNGEON_CHAPTER2_NODE8,핏빛 날개 부족 전초기지 2-8
PARTY_DUNGEON_CHAPTER3,붉은 대지 협곡
PARTY_DUNGEON_CHAPTER3_NODE8,붉은 대지 협곡 3-8
PARTY_DUNGEON_CHAPTER4,죽지 못한 자들의 제단
PARTY_DUNGEON_CHAPTER4_NODE8,죽지 못한 자들의 제단 4-8
PARTY_DUNGEON_CHAPTER5,검은 가시 요새 입구
PARTY_DUNGEON_CHAPTER5_NODE8,검은 가시 요새 입구 5-8
PARTY_DUNGEON_CHAPTER6,잊혀진 사막바람 동굴
PARTY_DUNGEON_CHAPTER7,얼음 수정 동굴
PARTY_DUNGEON_CHAPTER8,테메레르의 레어
PARTY_DUNGEON_CHAPTER9,폐허가 된 마력 발전소
NODE_SQUARE_NAME,오르벨 중심가
SQUARE_NAME_NORMAL_SUB,오르벨 중심가
MANUAL_CATEGORY_BATTLE,전투는 용사의 기본
MANUAL_CATEGORY_SKILL,스킬을 배우자
MANUAL_CATEGORY_EQUIPMENT,"장비, 어디까지 알고 있니?"
MANUAL_CATEGORY_AWAKEHERO,영웅의 숨겨진 능력
MANUAL_CATEGORY_VILLAGE,마을에 오신걸 환영합니다!
MANUAL_CATEGORY_PARTYDUNGEON,이런 친구와 함께라면
MANUAL_CATEGORY_PIT,보스는 좋은 아이템 공급원
MANUAL_CATEGORY_QUEST,RPG 좀 해보셨나?
MANUAL_CATEGORY_TOWER,크고 아름다운 두 개의 탑
MANUAL_CATEGORY_ARENA,어제의 친구가 오늘의 적
MANUAL_SUBCODE_BATTLE_BATTLEINFO,던전입장
MANUAL_SUBCODE_BATTLE_PARTYSETTING,덱 구성
MANUAL_SUBCODE_SKILL_GETSKILL,스킬습득
MANUAL_SUBCODE_SKILL_UPGRADESKILL,스킬강화
MANUAL_SUBCODE_SKILL_AWAKESKILL,스킬각성
MANUAL_SUBCODE_EQUIPMENT_EQUIP,장비장착
MANUAL_SUBCODE_EQUIPMENT_UPGRADEEQUIPMENT,장비강화
MANUAL_SUBCODE_EQUIPMENT_EQUIPRUNE,룬 장착
MANUAL_SUBCODE_AWAKEHERO_HALLOFHERO,영웅의 전당
MANUAL_SUBCODE_AWAKEHERO_CLASSSELECT,시련의 방 : 구역선택
MANUAL_SUBCODE_AWAKEHERO_UNLOCKSEAL,시련의 방 : 봉인해제
MANUAL_SUBCODE_AWAKEHERO_SELECTHERO,정화의 방 : 영웅선택
MANUAL_SUBCODE_AWAKEHERO_PURIFYHERO,정화의 방 : 정화진행
MANUAL_SUBCODE_VILLAGE_INTRO,마을
MANUAL_SUBCODE_VILLAGE_SHOP,상점
MANUAL_SUBCODE_VILLAGE_PRISON,지하감옥
MANUAL_SUBCODE_VILLAGE_ARENA,결투장
MANUAL_SUBCODE_PARTYDUNGEON_PARTYMATCH,파티 : 매칭
MANUAL_SUBCODE_PARTYDUNGEON_PARTYDUNGEON,파티 : 던전
MANUAL_SUBCODE_PARTYDUNGEON_PARTYREADY,파티 : 전투준비
MANUAL_SUBCODE_PARTYDUNGEON_BID,파티 : 입찰
MANUAL_SUBCODE_PIT_INTRO,투기장
MANUAL_SUBCODE_PIT_SELECTAREA,투기장 : 구역선택
MANUAL_SUBCODE_PIT_PARTYSETTING,투기장 : 덱 구성
MANUAL_SUBCODE_PIT_CONTINUE,투기장 : 이어하기
MANUAL_SUBCODE_PIT_REWARDRESET,투기장 : 주의사항
MANUAL_SUBCODE_QUEST_INTRO,퀘스트
MANUAL_SUBCODE_QUEST_OCCUR,퀘스트 : 발생
MANUAL_SUBCODE_QUEST_ACCEPT,퀘스트 : 수락
MANUAL_SUBCODE_QUEST_COMPLETE,퀘스트 : 완료
MANUAL_SUBCODE_TOWER_INTRO,두 개의 탑
MANUAL_SUBCODE_TOWER_TOWEROFTRIAL,시련의 탑
MANUAL_SUBCODE_TOWER_TOWEROFTRAINING,수련의 탑
MANUAL_SUBCODE_ARENA_INDIVIDUAL,결투장 : 개인전
MANUAL_SUBCODE_ARENA_COOPERATIVE,결투장 : 협동전
MANUAL_SUBCODE_ARENA_TOTAL,결투장 : 총력전
MANUAL_SUBCODE_HEROINN,영웅의 여관
ACHIEVEMENT_TYPE_GOODS,재화
ACHIEVEMENT_TYPE_ITEM,아이템
ACHIEVEMENT_TYPE_CONTENTS,컨텐츠
ACHIEVEMENT_TYPE_ACCOUNT,계정
ACHIEVEMENT_TYPE_GUILD,길드
