KEY,Portuguese
GRADE_WHITE1,Branco
GRADE_GREEN1,Verde
GRADE_BLUE1,Azul
GRADE_PURPLE1,Roxo
GRADE_ORANGE1,Laranja
GRADE_WHITE2,Comum
GRADE_GREEN2,[64ff64]Incomum
GRADE_BLUE2,[0096FF]Raro
GRADE_PURPLE2,[FF32FF]Heroico
GRADE_ORANGE2,[FF8200]Lendário
GRADE_RED2,[E25050]Antigo
EQUIPITEM_GRADE_40,Equipamento Antigo
LOCATION_CHAPTER1_NAME,Planícies Lamus
LOCATION_CHAPTER2_NAME,Floresta Elidora
LOCATION_CHAPTER3_NAME,Montanhas Drago
LOCATION_CHAPTER4_NAME,Floresta Krad
LOCATION_CHAPTER5_NAME,Planícies Sicrakam
LOCATION_CHAPTER6_NAME,Deserto Aegina
LOCATION_CHAPTER7_NAME,Montanhas de Neve Ballutua
LOCATION_CHAPTER8_NAME,Vulcão de Dragia
LOCATION_CHAPTER9_NAME,Pântano de Gargoss
LOCATION_ORVEL_NAME,Orvel
LOCATION_ORVIS_NAME,Continente Orbis
LOCATION_TOWN_ORVEL_NAME,Castelo de Orvel
BOSS_DUNGEON_CHAPTER1_BOSS0,Lago de Fada
BOSS_DUNGEON_CHAPTER1_BOSS1,Base Sul das Planícies Lamus
BOSS_DUNGEON_CHAPTER1_BOSS2,Base Montanhas Roche
BOSS_DUNGEON_CHAPTER1_BOSS3,Base Norte das Planícies Lamus
BOSS_DUNGEON_CHAPTER2_BOSS0,Entrada Floresta Elidora
BOSS_DUNGEON_CHAPTER2_BOSS1,Base do Cruzamento do Rio Adern
BOSS_DUNGEON_CHAPTER2_BOSS2,Base Rio Acima Adern
BOSS_DUNGEON_CHAPTER2_BOSS3,Base Norte da Floresta Elidora
BOSS_DUNGEON_CHAPTER3_BOSS0,Vale Boulder
BOSS_DUNGEON_CHAPTER3_BOSS1,Base Terras d'água Lad
BOSS_DUNGEON_CHAPTER3_BOSS2,Base do Vale Grito de Sangue
BOSS_DUNGEON_CHAPTER3_BOSS3,Base do Vale Geada Fria
BOSS_DUNGEON_CHAPTER4_BOSS0,Planícies do Sofrimento
BOSS_DUNGEON_CHAPTER4_BOSS1,Base do Cemitério da Lamentação
BOSS_DUNGEON_CHAPTER4_BOSS2,Base Tempestade de Luto
BOSS_DUNGEON_CHAPTER4_BOSS3,Base Floresta do Abismo Profundo
BOSS_DUNGEON_CHAPTER5_BOSS0,Planícies Kalian
BOSS_DUNGEON_CHAPTER5_BOSS1,Fortaleza Elian Marsh
BOSS_DUNGEON_CHAPTER5_BOSS2,Ponto de Controle de Knosos
BOSS_DUNGEON_CHAPTER5_BOSS3,Forte Troy
BOSS_DUNGEON_CHAPTER6_BOSS0,Esconderijo do Deserto do Pirata
BOSS_DUNGEON_CHAPTER6_BOSS1,Local de Descanso do Sedento
BOSS_DUNGEON_CHAPTER6_BOSS2,A Fronteira do Crepúsculo
BOSS_DUNGEON_CHAPTER6_BOSS3,A Gruta Rumoreada
BOSS_DUNGEON_CHAPTER7_BOSS0,Trilha de Cascos na Neve
BOSS_DUNGEON_CHAPTER7_BOSS1,Ruínas do Dragão de Gelo
BOSS_DUNGEON_CHAPTER7_BOSS2,O Terminal Norte
BOSS_DUNGEON_CHAPTER7_BOSS3,Trono Coberto de Neve
BOSS_DUNGEON_CHAPTER7_STORY,Escuridão na Caverna
BOSS_DUNGEON_CHAPTER8_BOSS0,"Periferia Norte, Vulcão de Dragia"
BOSS_DUNGEON_CHAPTER8_BOSS1,"Fronteira Oeste, Vulcão de Dragia"
BOSS_DUNGEON_CHAPTER8_BOSS2,"Povo na Entrada, Vulcão de Dragia"
BOSS_DUNGEON_CHAPTER8_BOSS3,Fortaleza Ardente de Lava
BOSS_DUNGEON_CHAPTER9_BOSS0,Lamaçal Nebuloso
BOSS_DUNGEON_CHAPTER9_BOSS1,As Profundezas dos Pântanos
BOSS_DUNGEON_CHAPTER9_BOSS2,Área de Escavação das Ruínas do Exército Imperial
BOSS_DUNGEON_CHAPTER9_BOSS3,Ruínas do Castelo do Senhor das Trevas
BOSS_DUNGEON_CHAPTER9_BOSS4,Torre de Transmissão nas Ruínas Tecnomágicas
NODE_MULTIDUNGEON_NAME,Dimensão Distorcida
NODE_EVENT_NAME,Baú Estranho
NODE_HUNTING_NAME,Batalha do Triunfo
NODE_WORLDTREE_NAME,Árvore do Mundo
NODE_TEMPLE_NAME,Salão dos Heróis
NODE_PRISON_NAME,Calabouço
NODE_PIT_NAME,Covil
NODE_PIT_CHAPTER3_NAME,Covil Sangrento
NODE_PIT_CHAPTER5_NAME,Covil da Morte
NODE_PIT_CHAPTER7_NAME,Covil do Descanso
NODE_LANDING_NAME,Desembarque
NODE_FORGE_NAME,Forja
NODE_PUB_NAME,Pousada\ndos Heróis
NODE_SANCTUM_NAME,Santuário da Lua
NODE_SCENARIO_NAME,Cenário
CONTENT_GUILD,Guilda
PVP_TEXT,Arena
NODE_SHOP_TOWN,Loja
NODE_SHOP_CHAPTER2,Biblioteca Móvel
NODE_SHOP_CHAPTER3,Carruagem Antiga
NODE_SHOP_CHAPTER4,Loja de Artigos Raros
NODE_SHOP_CHAPTER5,Cabana das Runas
NODE_CASTLE_NAME,Castelo de Orvel
PARTY_DUNGEON_CHAPTER1,Armazenamento de Pólvora Negra
PARTY_DUNGEON_CHAPTER1_NODE8,Armazenamento de Pólvora Negra 1-8
PARTY_DUNGEON_CHAPTER2,Posto Avançado Tribal das Asas Sangrentas
PARTY_DUNGEON_CHAPTER2_NODE8,Posto Avançado Tribal das Asas Sangrentas 2-8
PARTY_DUNGEON_CHAPTER3,Vale da Terra Vermelha
PARTY_DUNGEON_CHAPTER3_NODE8,Vale da Terra Vermelha 3-8
PARTY_DUNGEON_CHAPTER4,Altar dos Vivos-mortos
PARTY_DUNGEON_CHAPTER4_NODE8,Altar dos Vivos-mortos 4-8
PARTY_DUNGEON_CHAPTER5,Entrada para Fortaleza Espinho Negro
PARTY_DUNGEON_CHAPTER5_NODE8,Entrada para Fortaleza Espinho Negro 5-8
PARTY_DUNGEON_CHAPTER6,Deserto Esquecido Caverna de Ventos
PARTY_DUNGEON_CHAPTER7,Caverna do Cristal de Gelo
PARTY_DUNGEON_CHAPTER8,Covil de Temeraire
PARTY_DUNGEON_CHAPTER9,Usina de Mana Destruída
NODE_SQUARE_NAME,Centro de Orvel
SQUARE_NAME_NORMAL_SUB,Centro de Orvel
MANUAL_CATEGORY_BATTLE,Guerreiros Beligerantes
MANUAL_CATEGORY_SKILL,Hora de Aprender Alguns Poderes
MANUAL_CATEGORY_EQUIPMENT,O que você sabe sobre o equipamento?
MANUAL_CATEGORY_AWAKEHERO,Segredos dos Heróis
MANUAL_CATEGORY_VILLAGE,Bem-vindos à cidade!
MANUAL_CATEGORY_PARTYDUNGEON,Meu Melhor Amigo
MANUAL_CATEGORY_PIT,Chefe de Fazenda
MANUAL_CATEGORY_QUEST,"Expecialista de RPG, ne?"
MANUAL_CATEGORY_TOWER,Duas Torres Esplendorosas
MANUAL_CATEGORY_ARENA,"Ontem amigo, hoje um adversário"
MANUAL_SUBCODE_BATTLE_BATTLEINFO,Entrar na Masmorra
MANUAL_SUBCODE_BATTLE_PARTYSETTING,Configuração do Baralho
MANUAL_SUBCODE_SKILL_GETSKILL,Aprender Poderes
MANUAL_SUBCODE_SKILL_UPGRADESKILL,Realçar Poder
MANUAL_SUBCODE_SKILL_AWAKESKILL,Despertar Poder
MANUAL_SUBCODE_EQUIPMENT_EQUIP,Equipar Equipamento
MANUAL_SUBCODE_EQUIPMENT_UPGRADEEQUIPMENT,Realçar Equipamento
MANUAL_SUBCODE_EQUIPMENT_EQUIPRUNE,Equipar Runa
MANUAL_SUBCODE_AWAKEHERO_HALLOFHERO,Salão dos Heróis
MANUAL_SUBCODE_AWAKEHERO_CLASSSELECT,Sala das Provações: Selecionar Seção
MANUAL_SUBCODE_AWAKEHERO_UNLOCKSEAL,Sala das Provações: Remover o Selo
MANUAL_SUBCODE_AWAKEHERO_SELECTHERO,Sala da Purificação: Selecionar Herói
MANUAL_SUBCODE_AWAKEHERO_PURIFYHERO,Sala da Purificação: Purificar
MANUAL_SUBCODE_VILLAGE_INTRO,Cidade
MANUAL_SUBCODE_VILLAGE_SHOP,Loja
MANUAL_SUBCODE_VILLAGE_PRISON,Calabouço
MANUAL_SUBCODE_VILLAGE_ARENA,Arena
MANUAL_SUBCODE_PARTYDUNGEON_PARTYMATCH,Equipe: Combinando
MANUAL_SUBCODE_PARTYDUNGEON_PARTYDUNGEON,Equipe: Masmorra
MANUAL_SUBCODE_PARTYDUNGEON_PARTYREADY,Equipe: Pronto para Batalha
MANUAL_SUBCODE_PARTYDUNGEON_BID,Equipe: Proposta
MANUAL_SUBCODE_PIT_INTRO,Covil
MANUAL_SUBCODE_PIT_SELECTAREA,Covil: Selecionar Seção
MANUAL_SUBCODE_PIT_PARTYSETTING,Covil: Configuração de Baralho
MANUAL_SUBCODE_PIT_CONTINUE,Covil: Continuar
MANUAL_SUBCODE_PIT_REWARDRESET,Covil: Precauções
MANUAL_SUBCODE_QUEST_INTRO,Missão
MANUAL_SUBCODE_QUEST_OCCUR,Missão: Ocorrendo
MANUAL_SUBCODE_QUEST_ACCEPT,Missão: Aceita
MANUAL_SUBCODE_QUEST_COMPLETE,Missão: Completa
MANUAL_SUBCODE_TOWER_INTRO,As Duas Torres
MANUAL_SUBCODE_TOWER_TOWEROFTRIAL,Torre das Provações
MANUAL_SUBCODE_TOWER_TOWEROFTRAINING,A Torre do Treinamento
MANUAL_SUBCODE_ARENA_INDIVIDUAL,Arena: JxJ
MANUAL_SUBCODE_ARENA_COOPERATIVE,Arena: Coop
MANUAL_SUBCODE_ARENA_TOTAL,Arena: Guerra Total
MANUAL_SUBCODE_HEROINN,Pousada dos Heróis
ACHIEVEMENT_TYPE_GOODS,Bens
ACHIEVEMENT_TYPE_ITEM,Item
ACHIEVEMENT_TYPE_CONTENTS,Conteúdo
ACHIEVEMENT_TYPE_ACCOUNT,Conta
ACHIEVEMENT_TYPE_GUILD,Guilda
ACHIEVEMENT_TYPE_GAMEPLAY,Processo
ACHIEVEMENT_SCENARIO,Cenário
ALL_INCLUDE_TEXT,Todos {1}
ALL_FRAGMENTS,Todos Fragmentos
ASK_PACKAGE_ITEM_USE,Você quer usar o item?
BILLING_CANCEL,O pagamento foi cancelado.
BOOSTER_DURATION_TIME,Dura por 1 hora
BOOSTER_TIME_DURATION,Dura por 1 hora
BUY_DUNGEON_PLAY_CHANCE_CONFIRM,Você quer uma nova chance para eliminar os monstros que escaparam do Calabouço e obter prêmios adicionais?
BUY_NOTY,Aviso de compra
BUY_STAMINA_CONFIRM,Você quer comprar energia?
BUY_STAMINA_COUNT,{1} Energia
BOOSTER_ONETIME_REWARD_TITLE,Adquirir Saque x2
BOOSTER_ONETIME_REWARD_TEXT,Pode ser acumulado com um Reforço de Saque de 1 hora e Hot time.
CAMPAIGN_REWARD,Saque
CANNOT_OPEN_PORTAL_MIN_NODE,Você pode usar isso depois que completar a área {1}-{2}.
CLASS_TRIAL_FORCE_OPEN_CONFIRM,Você quer abrir a masmorra à força e entrar?
CLASS_DESC_WARRIOR,Guerreiro
CLASS_DESC_ARCHER,Arqueiro
CLASS_DESC_KNIGHT,Cavaleiro
CLASS_DESC_WIZARD,Feiticeiro
CLASS_DESC_PRIEST,Sacerdote
CLASS_DESC_ASSASSIN,Assassino
CLASS_DESC_MECHANIC,Maquinista
CLASS_DESC_COMMON,Comum
CREATURE_TAG_TYPE.WARRIOR,Guerreiro
CREATURE_TAG_TYPE.ARCHER,Arqueiro
CREATURE_TAG_TYPE.KNIGHT,Cavaleiro
CREATURE_TAG_TYPE.WIZARD,Feiticeiro
CREATURE_TAG_TYPE.PRIEST,Sacerdote
CREATURE_TAG_TYPE.ASSASSIN,Assassino
CREATURE_TAG_TYPE.MECHANIC,Maquinista
CLASS_TRIAL_REMAIN_TIME,Vai fechar em {1}:{2}
CLASS_TRIAL_SELECT,Selecionar Provação
CLASS_TRIAL_FORCE_OPEN,Forçar para Abrir
CHALLENGE_TRIAL_HERO_SELECT,Selecione um herói para realizar Provação para o Despertar.
CHAT_ACTION_PARTY_CREATED,{1}Formou uma equipe. (Toque para entrar)
CHAT_ACTION_PARTY_ROOM_CREATED,{1}Abriu uma batalha. (Toque para entrar)
CHAPTER_BASE,{1}Base Temporária
CHECK_ROYAL_QUEST,Verifique a Missão Real
COLLECT_EXPLORE,Pesquisa
COLLECT_EXPLORE_EXTRAPOINT,[009900]Pontos Extras
COLLECT_EXPLORE_PROGRESS,Pesquisando...
COLLECT_EXPLORE_STATUS_TEXT,Pesquisando...\nRetorna [FF7F00]{1} h {2} m[-] depois.
COLLECT_EXPLORE_CHAPTERITEM,Pesquisar Produtos Especiais
COLLECT_EXPLORE_CHAPTERITEM_TEXT,Adquirir Itens Aleatórios
COLLECT_EXPLORE_GOLD,Pesquisar Ouro
COLLECT_EXPLORE_GOLD_TEXT,Adquirir Ouro
COLLECT_PLUNDER,Pilhagem
COLLECT_PLUNDER_CHAPTERITEM,Pilhagem de produtos especiais
COLLECT_PLUNDER_CHAPTERITEM_TEXT,Adquirir Itens Aleatorios
COLLECT_PLUNDER_GOLD,Pilhagem de Ouro
COLLECT_PLUNDER_GOLD_TEXT,Adquirir Ouro
COLLECT_PLUNDER_AMOUNT,Achou {1}
COLLECT_PLUNDER_REFIND,Tentar Novamente
COLLECT_PLUNDER_READY,Pronto para Pilhar
COLLECT_PLUNDER_START,Iniciar Pilhagem
COLLECT_PLUNDER_REFIND_TEXT,Procurar novo oponente?
COLLECT_PLUNDER_RECORD_LOSE_TEXT,[FF0000]Os recursos foram tirados porque não conseguiu bloquear a pilhagem.
COLLECT_PLUNDER_RECORD_WIN_TEXT,"[009900]Ao bloqueando a pilhagem, você protegeu seus recursos e recebeu recompensas."
COLLECT_PLUNDER_RECORD_TIME,{1} h {2} m remanescente
COLLECT_PLUNDER_RECORD_CHASE,Perseguir
COLLECT_PLUNDER_RECORD_REWARD,Receber
COLLECT_EXPLORE_REWARD,"Descobriu {1}, que é bastante útil, por pesquisa."
COLLECT_PLUNDER_REWARD,"Ganhou {1}, que é bastante útil, por pilhagem"
COLLECT_ALL_REWARD,Receber Tudo
COMMON_YES,Sim
COMMON_NO,Não
COMMON_CONFIRM,Confirmar
COMMON_CANCEL,Cancelar
COMMON_CHANGE,Mudar
COMMON_INPUT,Entrar
COMMON_EDIT,Editar
COMMON_APPLY,Aplicar
COMMON_AGREE,Concordar
COMMON_ACCEPT,Aceitar
COMMON_DECLINE,Recusar
COMMON_NEXT,Próximo
COMMON_PREV,Voltar
COMMON_REQUEST,Solicitar
COMMON_REQUESTCANCEL,Cancelar Solicitação
COMMON_BATTLEREADY_BUTTON,Preparar Batalha
COMMON_BATTLEREADY,Preparar
COMMON_BATTLESTART,Iniciar Batalha
COMMON_RUBY_BATTLESTART,{1}Rubis para iniciar batalha
COMMON_INFO,Informações
COMMON_LOOK,Ver
COMMON_NAMECHECK,Confirmar duplicação
COMMON_FIND,Procurar
COMMON_MAX,Máx.
COMMON_BUY,Comprar
COMMON_SELL,Vender
COMMON_GOLD_BUY,Comprar {1} Ouro
COMMON_FREE_BUY,Grátis
COMMON_RUBY_BUY,Comprar {1} Rubis
COMMON_SELECT,Selecionar
COMMON_USE,Usar
COMMON_ERROR_DISCONNECT,A conexão foi encerrada.
COMMON_ERROR_PARSING,Resposta Inválida.
COMMON_ERROR_SESSION,Sessão Expirada.
COMMON_ERROR_HTTP,Falha na solicitação da web.
COMMON_ERROR_FAIL,Falha
COMMON_ERROR_EQUIP_NOT_FOUND,O equipamento não existe.
COMMON_ERROR_HERO_NOT_FOUND,O herói não existe.
COMMON_ERROR_MATERIAL_NOT_MATCH,Material Inválido.
COMMON_ERROR_ITEM_NOT_FOUND,O item não existe.
COMMON_ERROR_ACOUNT,Conta Inválida.
COMMON_ERROR_UNHANDLED,Não foi processada.
COMMON_ERROR_EQUIP_NOT_OWNED,Você não tem o equipamento.
COMMON_ERROR_CODE_NOT_FOUND,Este código não existe.
COMMON_ERROR_LEVEL_DATA,Informações de nível inválidas.
COMMON_ERROR_STAR_DATA,Informações de estrela inválidas .
COMMON_ERROR_GRADE_DATA,Informações de classificação inválidas.
COMMON_ERROR,Erro
COMMON_NOT_EXIST,Nenhum
COMMON_FAIL,Falha
COMMON_SUCCESS,Sucesso
COMMON_NOTIFICATION,Aviso
COMMON_RESULT,Resultado
COMMON_ALERT,Atenção
COMMON_EXIT,Sair
COMMON_REQ,{1}Requerido
COMMON_LACK_INVENTORY,O inventário está cheio.
COMMON_LACK_MATERIAL,Materiais insuficientes.
COMMON_LACK_SLOT,Os espaços de inventário estão cheios.
COMMON_INPUTTEXT,Insira o conteúdo.
COMMON_GET,Adquirir
COMMON_ENEMY,Inimigos
COMMON_REWARDEXP,EXP
COMMON_GOLDGET,Ouro
COMMON_GOLDGET_LABYRINTH,Ouro
COMMON_CLEARTIME,Tempo Necessário {1}:{2}
COMMON_RETRY,Repetir
COMMON_LOSE_TEXT,Realçar seu herói e equipamentos e tentar novamente!
COMMON_REWARDITEM,Saque
COMMON_SOON,O conteúdo está sendo preparado.
COMMON_REQ_VIPLEVEL,Nível VIP {1} necessário.
COMMON_REQ_TEAMLEVEL,Nível do time {1} necessário.
COMMON_REQ_LEVEL,Nível {1} necessário.
COMMON_REQ_GOLD,Ouro Insuficiente. \nGostaria de comprar mais?
COMMON_REQ_RUBY,Rubis Insuficiente. \nGostaria de comprar mais?
COMMON_REQ_CHEESE,Queijo Insuficiente. \nGostaria de comprar mais?
COMMON_REQ_STAMINA,Energia Insuficiente. \nGostaria de Comprar mais?
COMMON_REQ_KEY,Chaves Insuficientes. \nGostaria de comprar mais?
COMMON_REQ_INVENTORY,Inventário Insuficiente. \nGostaria de comprar mais?
COMMON_REQ_COIN,Moedas Insuficientes.
COMMON_NOTFOUND,Sem resultados.
COMMON_NOT_AVAILABLE,Preparando...
COMMON_COST,Custo
COMMON_CONTINUE,Continuar
COMMON_SELECT_HERO,Selecionar Herói
COMMON_ENTER,Entrar
COMMON_ENTER_MOVE,Mova-se para Entrar
COMMON_GENERAL_PORTAL,Portal Normal
COMMON_TEAM_LEVEL,Nível da Equipe
COMMON_REWARD_COMPLETE,Recompensa Completa
COMMON_SEND,Enviar
COMMON_RACE,Raça
CONFIRM_EXTEND_SKILL,Deseja adquirir o atributo selecionado?
CONTENT_HERO,Heróis
CONTENT_INVENTORY,Inventário
CONTENT_FRIEND,Amigo
CONTENT_MISSION,Missão
CONTENT_DAILYMISSION,Missão Diária
CONTENT_MAIL,Correio
CONTENT_RETURN,Retornar
CONTENT_PVP,Arena
CONTENT_SHOP,Loja
CONTENT_CONFIG,Configurações
CONTENT_GAMECONFIG,Configurações do Jogo
CONTENT_MYINFO,Minhas informações
CONTENT_CHEST,Baú do Tesouro
CONTENT_TRIAL,Sala das Provações
CONTENT_WALL,Muro de Defesa do Castelo
CONTENT_RECORD,Registro de Batalha
CONTENT_EVENT,Evento
CONTENT_ATTENDANCE,Presença
CONTENT_CHAT,Conversas
CONTENT_WEEKLY,Masmorra Diária
CONTENT_EXPEDITION,Expedição
CONTENT_RANK,Classificação
CONTENT_WORLDMAP,Mapa Mundi
CONTENT_CHAPTER1,Capítulo 1
CONTENT_CHAPTER2,Capítulo 2
CONTENT_CHAPTER3,Capítulo 3
CONTENT_CHAPTER4,Capítulo 4
CONTENT_CHAPTER5,Capítulo 5
CONTENT_CHAPTER6,Capítulo 6
CONTENT_CHAPTER7,Capítulo 7
CONTENT_CHAPTER8,Capítulo 8
CONTENT_CHAPTER9,Capítulo 9
CONTENT_CHAPTER1_NAME,Floresta dos Espíritos
CONTENT_CHAPTER2_NAME,Floresta da Vida
CONTENT_CHAPTER3_NAME,Montanhas Tribais
CONTENT_CHAPTER4_NAME,Floresta da Morte
CONTENT_CHAPTER5_NAME,Vale
CONTENT_CHAPTER6_NAME,Deserto
CONTENT_CHAPTER7_NAME,Campo de Neve
