KEY,Russian
GRADE_WHITE1,Белый
GRADE_GREEN1,Зеленый
GRADE_BLUE1,Синий
GRADE_PURPLE1,Фиолетовый
GRADE_ORANGE1,Оранжевый
GRADE_WHITE2,Обычный
GRADE_GREEN2,[64ff64]Выс. класса
GRADE_BLUE2,[0096FF]Редкий
GRADE_PURPLE2,[FF32FF]Героический
GRADE_ORANGE2,[FF8200]Легендарный
GRADE_RED2,[E25050]Древний
EQUIPITEM_GRADE_40,Древнее снаряжение
LOCATION_CHAPTER1_NAME,Равнины Ламус
LOCATION_CHAPTER2_NAME,Лес Элидоры
LOCATION_CHAPTER3_NAME,Хребет дракона
LOCATION_CHAPTER4_NAME,Лес Крад
LOCATION_CHAPTER5_NAME,Равнины Сикракам
LOCATION_CHAPTER6_NAME,Пустыня Аэгина
LOCATION_CHAPTER7_NAME,Заснеженные горы Баллутуа
LOCATION_CHAPTER8_NAME,Вулкан Драгия
LOCATION_CHAPTER9_NAME,Топи Гаргосса
LOCATION_ORVEL_NAME,Столица Орвел
LOCATION_ORVIS_NAME,Континент Орбис
LOCATION_TOWN_ORVEL_NAME,Крепость Орвел
BOSS_DUNGEON_CHAPTER1_BOSS0,Озеро фей
BOSS_DUNGEON_CHAPTER1_BOSS1,Южная база на равнинах Ламус
BOSS_DUNGEON_CHAPTER1_BOSS2,База на горе Роше
BOSS_DUNGEON_CHAPTER1_BOSS3,Северная база на равнинах Ламус
BOSS_DUNGEON_CHAPTER2_BOSS0,Вход в лес Элидоры
BOSS_DUNGEON_CHAPTER2_BOSS1,База посреди реки Адерн
BOSS_DUNGEON_CHAPTER2_BOSS2,База в верхней части реки Адерн
BOSS_DUNGEON_CHAPTER2_BOSS3,База в северной части Элидоры
BOSS_DUNGEON_CHAPTER3_BOSS0,Каменистая долина
BOSS_DUNGEON_CHAPTER3_BOSS1,База на болотах Лад
BOSS_DUNGEON_CHAPTER3_BOSS2,База в Кровавой долине
BOSS_DUNGEON_CHAPTER3_BOSS3,База в Морозящей долине
BOSS_DUNGEON_CHAPTER4_BOSS0,Равнины Горести
BOSS_DUNGEON_CHAPTER4_BOSS1,База на Кладбище рыданий
BOSS_DUNGEON_CHAPTER4_BOSS2,База у Скорбящего шторма
