KEY,Spanish
GRADE_WHITE1,Blanco
GRADE_GREEN1,Verde
GRADE_BLUE1,Azul
GRADE_PURPLE1,Púrpura
GRADE_ORANGE1,Naranja
GRADE_WHITE2,Común
GRADE_GREEN2,[64ff64]Avanzado
GRADE_BLUE2,[0096FF]Extraordinario
GRADE_PURPLE2,[FF32FF]Heroico
GRADE_ORANGE2,[FF8200]Legendario
GRADE_RED2,[E25050]Antiguo
EQUIPITEM_GRADE_40,Equipo Antiguo
LOCATION_CHAPTER1_NAME,Llanuras Lamus
LOCATION_CHAPTER2_NAME,Bosque Elidora
LOCATION_CHAPTER3_NAME,Montañas Drago
LOCATION_CHAPTER4_NAME,Bosque Krad
LOCATION_CHAPTER5_NAME,Llanuras Sicrakam
LOCATION_CHAPTER6_NAME,Desierto Aegina
LOCATION_CHAPTER7_NAME,Montañas Nevadas Ballatua
LOCATION_CHAPTER8_NAME,Volcan Dragia
LOCATION_CHAPTER9_NAME,Pantanos de Gargoss
LOCATION_ORVEL_NAME,Orvel
LOCATION_ORVIS_NAME,Continente Orbis
LOCATION_TOWN_ORVEL_NAME,Castillo Orvel
BOSS_DUNGEON_CHAPTER1_BOSS0,Lago de Hadas
BOSS_DUNGEON_CHAPTER1_BOSS1,Base Sur de Llanuras Lamus
BOSS_DUNGEON_CHAPTER1_BOSS2,Base de Montañas Roche
BOSS_DUNGEON_CHAPTER1_BOSS3,Base Norte de Llanuras Lamus
BOSS_DUNGEON_CHAPTER2_BOSS0,Entrada del Bosque Elidora
BOSS_DUNGEON_CHAPTER2_BOSS1,Base Rio Adern Centro de la Corriente
BOSS_DUNGEON_CHAPTER2_BOSS2,Base del Rio Adern Contracorriente
BOSS_DUNGEON_CHAPTER2_BOSS3,Base Norte del Bosque Elidora
BOSS_DUNGEON_CHAPTER3_BOSS0,Valle Boulder
BOSS_DUNGEON_CHAPTER3_BOSS1,Base Acuatica Lad
BOSS_DUNGEON_CHAPTER3_BOSS2,Base del Valle Grito de Sangre
BOSS_DUNGEON_CHAPTER3_BOSS3,Base del Valle Helado
BOSS_DUNGEON_CHAPTER4_BOSS0,Llanuras del Dolor
BOSS_DUNGEON_CHAPTER4_BOSS1,Base del Cementerio de los Lamentos
BOSS_DUNGEON_CHAPTER4_BOSS2,Base de la Tormenta de Luto
