KEY,Thai
GRADE_WHITE1,ขาว
GRADE_GREEN1,เขียว
GRADE_BLUE1,น้ำเงิน
GRADE_PURPLE1,ม่วง
GRADE_ORANGE1,ส้ม
GRADE_WHITE2,ธรรมดา
GRADE_GREEN2,[64ff64]พิเศษ
GRADE_BLUE2,[0096FF]แรร์
GRADE_PURPLE2,[FF32FF]ฮีโรอิค
GRADE_ORANGE2,[FF8200]ตำนาน
GRADE_RED2,[E25050]โบราณ
EQUIPITEM_GRADE_40,Ancient Gear
LOCATION_CHAPTER1_NAME,Lamus Plain
LOCATION_CHAPTER2_NAME,Ellidora Forrest
LOCATION_CHAPTER3_NAME,Drago Mountains
LOCATION_CHAPTER4_NAME,Krad Forest
LOCATION_CHAPTER5_NAME,Sicrakam Plain
LOCATION_CHAPTER6_NAME,ทะเลทราย Aegina
LOCATION_CHAPTER7_NAME,Ballutua Snow Mountain
LOCATION_CHAPTER8_NAME,Dragia Volcano
LOCATION_CHAPTER9_NAME,หนองน้ำ Gargoss
LOCATION_ORVEL_NAME,Capital Orvel
LOCATION_ORVIS_NAME,Orbis Continent
LOCATION_TOWN_ORVEL_NAME,ปราสาท Orvel 
BOSS_DUNGEON_CHAPTER1_BOSS0,Fairy's Lake
BOSS_DUNGEON_CHAPTER1_BOSS1,Lamus Plain South Base
BOSS_DUNGEON_CHAPTER1_BOSS2,Lotze Mountains Base
BOSS_DUNGEON_CHAPTER1_BOSS3,Lamus Plain North Base
BOSS_DUNGEON_CHAPTER2_BOSS0,Ellidora Forest Enterance
BOSS_DUNGEON_CHAPTER2_BOSS1,Adern River Midstream Base
BOSS_DUNGEON_CHAPTER2_BOSS2,Adern River Upstream Base
BOSS_DUNGEON_CHAPTER2_BOSS3,Ellidora North Forrest Base
BOSS_DUNGEON_CHAPTER3_BOSS0,Rock Valley
BOSS_DUNGEON_CHAPTER3_BOSS1,Lad Marsh Base
BOSS_DUNGEON_CHAPTER3_BOSS2,Bloodcry Valley Base
BOSS_DUNGEON_CHAPTER3_BOSS3,Cold Frost Valley Base
BOSS_DUNGEON_CHAPTER4_BOSS0,Sorrow Plain
BOSS_DUNGEON_CHAPTER4_BOSS1,Wailing Cemetery Base
BOSS_DUNGEON_CHAPTER4_BOSS2,Mourning Storm Base
BOSS_DUNGEON_CHAPTER4_BOSS3,Deep Abyss Forrest Base
BOSS_DUNGEON_CHAPTER5_BOSS0,Kailan Plain
BOSS_DUNGEON_CHAPTER5_BOSS1,Eilan Waterlands stronghold
BOSS_DUNGEON_CHAPTER5_BOSS2,Knosos Checkpoint
BOSS_DUNGEON_CHAPTER5_BOSS3,Castle Troi
BOSS_DUNGEON_CHAPTER6_BOSS0,ฐานที่มั่นโจรสลัดทะเลทราย
BOSS_DUNGEON_CHAPTER6_BOSS1,ที่พักชั่วคราวแห่งความกระหาย
BOSS_DUNGEON_CHAPTER6_BOSS2,จุดแบ่งแห่งสนธยา
BOSS_DUNGEON_CHAPTER6_BOSS3,ทางเข้าใต้ดินที่ร่ำลือ
BOSS_DUNGEON_CHAPTER7_BOSS0,เส้นทางหิมะรอยกีบ
BOSS_DUNGEON_CHAPTER7_BOSS1,ซากโบราณสถานมังกรน้ำแข็ง
BOSS_DUNGEON_CHAPTER7_BOSS2,สิ้นสุดดินแดนเหนือ
BOSS_DUNGEON_CHAPTER7_BOSS3,บัลลังก์หิมะ
BOSS_DUNGEON_CHAPTER7_STORY,ความมืดที่ปกคลุมถ้ำ
BOSS_DUNGEON_CHAPTER8_BOSS0,เขตรอบนอกทางทิศเหนือ ภูเขาไฟ Dragia
BOSS_DUNGEON_CHAPTER8_BOSS1,เขตแดนทิศตะวันตก ภูเขาไฟ Dragia
BOSS_DUNGEON_CHAPTER8_BOSS2,ชุมนุมที่ทางเข้า ภูเขาไฟ Dragia
BOSS_DUNGEON_CHAPTER8_BOSS3,ป้อมปราการเพลิงลาวา
BOSS_DUNGEON_CHAPTER9_BOSS0,บึงแห่งม่านหมอก
BOSS_DUNGEON_CHAPTER9_BOSS1,ส่วนลึกของหนองน้ำ
BOSS_DUNGEON_CHAPTER9_BOSS2,สถานที่ขุดเจาะซากปรักหักพังของกองทัพจักรวรรดิ
BOSS_DUNGEON_CHAPTER9_BOSS3,ซากปราสาทของลอร์ดแห่งความมืด
BOSS_DUNGEON_CHAPTER9_BOSS4,ซากสิ่งประดิษฐ์เวทย์ที่หอคอยเคลื่อนย้าย
NODE_MULTIDUNGEON_NAME,มิติที่บิดเบี้ยว
NODE_EVENT_NAME,หีบสมบัติลึกลับ
NODE_HUNTING_NAME,พิชิต
NODE_WORLDTREE_NAME,ต้นไม้กำเนิดโลก
NODE_TEMPLE_NAME,วิหารอัศวิน
NODE_PRISON_NAME,คุกใต้ดิน
NODE_PIT_NAME,สังเวียน
NODE_PIT_CHAPTER3_NAME,สังเวียนเลือด
NODE_PIT_CHAPTER5_NAME,สังเวียนแห่งความตาย
NODE_PIT_CHAPTER7_NAME,สังเวียนแห่งการพัก
NODE_LANDING_NAME,ท่าเรือ
NODE_FORGE_NAME,โรงตีเหล็ก
NODE_PUB_NAME,กระท่อมฮีโร่
NODE_SANCTUM_NAME,วิหารแห่ง Lua
NODE_SCENARIO_NAME,เนื้อเรื่อง
CONTENT_GUILD,กิลด์
PVP_TEXT,อารีน่า
NODE_SHOP_TOWN,ร้านค้า
NODE_SHOP_CHAPTER2,ร้านหนังสือเคลื่อนที่
NODE_SHOP_CHAPTER3,รถม้าโบราณ
NODE_SHOP_CHAPTER4,ร้านขายวัตถุดิบหายาก
NODE_SHOP_CHAPTER5,กระท่อมรูน
NODE_CASTLE_NAME,ปราสาท Orvel 
PARTY_DUNGEON_CHAPTER1,คลังศาสตร์มืด
PARTY_DUNGEON_CHAPTER1_NODE8,คลังศาสตร์มืด 1-8
PARTY_DUNGEON_CHAPTER2,รังฮาร์ปี้
PARTY_DUNGEON_CHAPTER2_NODE8,รังฮาร์ปี้ 2-8
PARTY_DUNGEON_CHAPTER3,หุบเขาแห่งดินสีแดง
PARTY_DUNGEON_CHAPTER3_NODE8,หุบเขาแห่งดินสีแดง 3-8
PARTY_DUNGEON_CHAPTER4,แท่นบูชาผีดิบ
PARTY_DUNGEON_CHAPTER4_NODE8,แท่นบูชาผีดิบ 4-8
PARTY_DUNGEON_CHAPTER5,ทางเข้าป้อมปราการแห่งความมืด
PARTY_DUNGEON_CHAPTER5_NODE8,ทางเข้าป้อมปราการแห่งความมืด 5-8
PARTY_DUNGEON_CHAPTER6,ถ้ำลมทะเลทรายที่ถูกลืม
PARTY_DUNGEON_CHAPTER7,ถ้ำน้ำแข็งคริสตัล
PARTY_DUNGEON_CHAPTER8,รังของ Temeraire
PARTY_DUNGEON_CHAPTER9,โรงไฟฟ้ามานาที่ถูกทำลาย
NODE_SQUARE_NAME,ใจกลาง Orvel
SQUARE_NAME_NORMAL_SUB,ใจกลาง Orvel
MANUAL_CATEGORY_BATTLE,การต่อสู้คือพื้นฐานของนักรบ
MANUAL_CATEGORY_SKILL,เรียนรู้สกิลกันเถอะ
MANUAL_CATEGORY_EQUIPMENT,เจ้ารู้อะไรเกี่ยวกับอุปกรณ์บ้าง?
MANUAL_CATEGORY_AWAKEHERO,ความสามารถที่ซ่อนอยู่ของฮีโร่
MANUAL_CATEGORY_VILLAGE,ยินดีต้อนรับสู่เมือง!
MANUAL_CATEGORY_PARTYDUNGEON,เจ้าคือเพื่อนที่ดีที่สุดของข้า
MANUAL_CATEGORY_PIT,บอสคือแหน่งกำเนิดไอเทมดีๆ
MANUAL_CATEGORY_QUEST,เคยเล่น RPG มาบ้างมั้ย?
MANUAL_CATEGORY_TOWER,หอคอยคู่ที่ยิ่งใหญ่และสวยงาม
MANUAL_CATEGORY_ARENA,เมื่อวานเป็นมิตรวันนี้เป็นศัตรู
MANUAL_SUBCODE_BATTLE_BATTLEINFO,เข้าดันเจียน
MANUAL_SUBCODE_BATTLE_PARTYSETTING,การตั้งค่าทีม
MANUAL_SUBCODE_SKILL_GETSKILL,เรียนรู้สกิล
MANUAL_SUBCODE_SKILL_UPGRADESKILL,อัพเกรดสกิล
MANUAL_SUBCODE_SKILL_AWAKESKILL,ปลุกสกิล
MANUAL_SUBCODE_EQUIPMENT_EQUIP,สวมใส่อุปกรณ์
MANUAL_SUBCODE_EQUIPMENT_UPGRADEEQUIPMENT,อัพเกรดอุปกรณ์
MANUAL_SUBCODE_EQUIPMENT_EQUIPRUNE,ใช้รูน
MANUAL_SUBCODE_AWAKEHERO_HALLOFHERO,วิหารอัศวิน
MANUAL_SUBCODE_AWAKEHERO_CLASSSELECT,ห้องแห่งการทดสอบ: เลือกพื้นที่
MANUAL_SUBCODE_AWAKEHERO_UNLOCKSEAL,ห้องแห่งการทดสอบ: คลายผนึก
MANUAL_SUBCODE_AWAKEHERO_SELECTHERO,ห้องแห่งการชำระ: เลือกฮีโร่
MANUAL_SUBCODE_AWAKEHERO_PURIFYHERO,ห้องแห่งการชำระ: ชำระล้าง
MANUAL_SUBCODE_VILLAGE_INTRO,เมือง
MANUAL_SUBCODE_VILLAGE_SHOP,ร้านขายของ
MANUAL_SUBCODE_VILLAGE_PRISON,คุกใต้ดิน
MANUAL_SUBCODE_VILLAGE_ARENA,อารีน่า
MANUAL_SUBCODE_PARTYDUNGEON_PARTYMATCH,ปาร์ตี้: จับคู่
MANUAL_SUBCODE_PARTYDUNGEON_PARTYDUNGEON,ปาร์ตี้: ดันเจียน
MANUAL_SUBCODE_PARTYDUNGEON_PARTYREADY,ปาร์ตี้: พร้อมต่อสู้
MANUAL_SUBCODE_PARTYDUNGEON_BID,ปาร์ตี้: ประมูล
MANUAL_SUBCODE_PIT_INTRO,สังเวียน
MANUAL_SUBCODE_PIT_SELECTAREA,สังเวียน: เลือกส่วน
MANUAL_SUBCODE_PIT_PARTYSETTING,สังเวียน: ตั้งค่าทีม
MANUAL_SUBCODE_PIT_CONTINUE,สังเวียน: เล่นต่อ
MANUAL_SUBCODE_PIT_REWARDRESET,สังเวียน: ข้อควรระวัง
MANUAL_SUBCODE_QUEST_INTRO,เควส
MANUAL_SUBCODE_QUEST_OCCUR,เควส : เกิด
MANUAL_SUBCODE_QUEST_ACCEPT,เควส : ยอมรับ
MANUAL_SUBCODE_QUEST_COMPLETE,เควส: เสร็จสิ้น
MANUAL_SUBCODE_TOWER_INTRO,หอคอยคู่
MANUAL_SUBCODE_TOWER_TOWEROFTRIAL,หอคอยแห่งการพิสูจน์ตน
MANUAL_SUBCODE_TOWER_TOWEROFTRAINING,หอคอยแห่งการฝึกฝน
MANUAL_SUBCODE_ARENA_INDIVIDUAL,อารีน่า :  PvP
MANUAL_SUBCODE_ARENA_COOPERATIVE,อารีน่า : ร่วมต่อสู้
MANUAL_SUBCODE_ARENA_TOTAL,อารีน่า : รวมสงคราม
MANUAL_SUBCODE_HEROINN,กระท่อมฮีโร่
ACHIEVEMENT_TYPE_GOODS,ทรัพย์สิน
ACHIEVEMENT_TYPE_ITEM,ไอเทม
ACHIEVEMENT_TYPE_CONTENTS,เนื้อหา
ACHIEVEMENT_TYPE_ACCOUNT,บัญชี
ACHIEVEMENT_TYPE_GUILD,กิลด์
ACHIEVEMENT_TYPE_GAMEPLAY,ดำเนินการ
ACHIEVEMENT_SCENARIO,เนื้อเรื่อง
ALL_INCLUDE_TEXT,{1} ทั้งหมด 
ALL_FRAGMENTS,ชิ้นส่วนทั้งหมด
ASK_PACKAGE_ITEM_USE,คุณต้องการใช้ไอเทมหรือไม่?
BILLING_CANCEL,ยกเลิกการชำระเงินแล้ว
BOOSTER_DURATION_TIME,ต่อเนื่อง 1 ชั่วโมง
BOOSTER_TIME_DURATION,ต่อเนื่อง 1 ชั่วโมง
BUY_DUNGEON_PLAY_CHANCE_CONFIRM,ต้องการรับโอกาสในการไล่มอนสเตอร์ที่หลบหนีจากคุกใต้ดินและรับรางวัลเพิ่มหรือไม่
BUY_NOTY,แจ้งเตือนการซื้อ
BUY_STAMINA_CONFIRM,คุณต้องการซื้อ Stamina หรือไม่?
BUY_STAMINA_COUNT,{1} Stamina
BOOSTER_ONETIME_REWARD_TITLE,รับไอเทม 2 เท่า
BOOSTER_ONETIME_REWARD_TEXT,คัมภีร์ 1 ชั่วโมง ได้รับเอฟเฟ็กเพิ่มเมื่อใช้พร้อมกับฮอตไทม์
CAMPAIGN_REWARD,รางวัล 
CANNOT_OPEN_PORTAL_MIN_NODE,สามารถใช้ได้เมื่อเคลียร์พื้นที่ {1}-{2}
CLASS_TRIAL_FORCE_OPEN_CONFIRM,ต้องการบังคับเปิดดันเจียนนี้เพื่อเข้าไปหรือไม่?
CLASS_DESC_WARRIOR,นักรบ
CLASS_DESC_ARCHER,นักธนู
CLASS_DESC_KNIGHT,อัศวิน
CLASS_DESC_WIZARD,จอมเวทย์
CLASS_DESC_PRIEST,นักบวช
CLASS_DESC_ASSASSIN,มือลอบสังหาร
CLASS_DESC_MECHANIC,ช่างกล
CLASS_DESC_COMMON,ทั่วไป
CREATURE_TAG_TYPE.WARRIOR,Warrior
CREATURE_TAG_TYPE.ARCHER,Archer
CREATURE_TAG_TYPE.KNIGHT,Knight
CREATURE_TAG_TYPE.WIZARD,Wizard
CREATURE_TAG_TYPE.PRIEST,Priest
CREATURE_TAG_TYPE.ASSASSIN,Assassin
CREATURE_TAG_TYPE.MECHANIC,Mechanic
CLASS_TRIAL_REMAIN_TIME,จะปิดตัวลงใน {1}:{2}
CLASS_TRIAL_SELECT,เลือกบททดสอบ
CLASS_TRIAL_FORCE_OPEN,บังคับเปิด
CLOSE,ปิด
CHALLENGE_TRIAL_HERO_SELECT,เลือกผู้กล้าที่จะทำบททดสอบเพื่อวิวัฒนาการ
