KEY,Vietnamese
GRADE_WHITE1,trắng
GRADE_GREEN1,xanh lá
GRADE_BLUE1,xanh da trời
GRADE_PURPLE1,tím
GRADE_ORANGE1,cam
GRADE_WHITE2,phổ biến
GRADE_GREEN2,[64ff64]Không phổ biến
GRADE_BLUE2,[0096FF]Hiếm
GRADE_PURPLE2,[FF32FF]Anh hùng
GRADE_ORANGE2,[FF8200]Huyền thoại
GRADE_RED2,[E25050]Cổ
EQUIPITEM_GRADE_40,Trang bị cổ đại
LOCATION_CHAPTER1_NAME,Bình nguyên Lamus
LOCATION_CHAPTER2_NAME,Rừng Ellidora
LOCATION_CHAPTER3_NAME,Ngọn núi Drago
LOCATION_CHAPTER4_NAME,Rừng Krad
LOCATION_CHAPTER5_NAME,Bình nguyên Sicrakam
LOCATION_CHAPTER6_NAME,Sa mạc Aegina
LOCATION_CHAPTER7_NAME,Núi Tuyết Ballutua
LOCATION_CHAPTER8_NAME,Núi lửa Dragia
LOCATION_CHAPTER9_NAME,Đầm lầy Gargoss
LOCATION_ORVEL_NAME,Thủ đô Orvel
LOCATION_ORVIS_NAME,Lục địa Orbis
LOCATION_TOWN_ORVEL_NAME,Lâu đài Orvel
BOSS_DUNGEON_CHAPTER1_BOSS0,Hồ Tiên
BOSS_DUNGEON_CHAPTER1_BOSS1,Căn cứ Nam Lamus Plains
BOSS_DUNGEON_CHAPTER1_BOSS2,Dãy núi Roche Base
BOSS_DUNGEON_CHAPTER1_BOSS3,Căn cứ Bắc Lamus Plains
BOSS_DUNGEON_CHAPTER2_BOSS0,Lối vào rừng Elidora
BOSS_DUNGEON_CHAPTER2_BOSS1,Trung du sông Adern River
BOSS_DUNGEON_CHAPTER2_BOSS2,Thượng du sông Adern River
BOSS_DUNGEON_CHAPTER2_BOSS3,Khu rừng Bắc Elidora
BOSS_DUNGEON_CHAPTER3_BOSS0,Thung lũng Boulder
BOSS_DUNGEON_CHAPTER3_BOSS1,Căn cứ Lad Waterlands
BOSS_DUNGEON_CHAPTER3_BOSS2,Thung lũng Bloodcry
BOSS_DUNGEON_CHAPTER3_BOSS3,Căn cứ Thung lũng Cold Frost
BOSS_DUNGEON_CHAPTER4_BOSS0,Bình nguyên Sorrow
BOSS_DUNGEON_CHAPTER4_BOSS1,Căn cứ nghĩa trang Wailing
BOSS_DUNGEON_CHAPTER4_BOSS2,Căn cứ Bão Mourning
BOSS_DUNGEON_CHAPTER4_BOSS3,Căn cứ Rừng Deep Abyss
BOSS_DUNGEON_CHAPTER5_BOSS0,Bình nguyên Kailan
BOSS_DUNGEON_CHAPTER5_BOSS1,Thành luỹ Eilan Marsh
BOSS_DUNGEON_CHAPTER5_BOSS2,Mốc kiểm soát Knosos
BOSS_DUNGEON_CHAPTER5_BOSS3,Fort Troy
BOSS_DUNGEON_CHAPTER6_BOSS0,Sa mạc Cướp biển Lẩn trốn
BOSS_DUNGEON_CHAPTER6_BOSS1,Nơi An nghỉ của Kẻ khát máu
BOSS_DUNGEON_CHAPTER6_BOSS2,Ranh giới của hoàng hôn
BOSS_DUNGEON_CHAPTER6_BOSS3,Hang tin đồn
BOSS_DUNGEON_CHAPTER7_BOSS0,Ánh mắt dấu chân móng guốc
BOSS_DUNGEON_CHAPTER7_BOSS1,Di tích rồng băng
BOSS_DUNGEON_CHAPTER7_BOSS2,Chân trời phương bắc
BOSS_DUNGEON_CHAPTER7_BOSS3,Ngai vàng sương giá
BOSS_DUNGEON_CHAPTER7_STORY,Bóng tối buông xuống động
BOSS_DUNGEON_CHAPTER8_BOSS0,"Ngoại vi phía Bắc, Núi lửa Dragia"
BOSS_DUNGEON_CHAPTER8_BOSS1,"Biên giới phía Tây, Núi lửa Dragia"
BOSS_DUNGEON_CHAPTER8_BOSS2,"Đám người ở lối vào, Núi lửa Dragia"
BOSS_DUNGEON_CHAPTER8_BOSS3,Pháo đài lửa dung nham
BOSS_DUNGEON_CHAPTER9_BOSS0,Bãi lầy mờ sương
BOSS_DUNGEON_CHAPTER9_BOSS1,Độ sâu của đầm lầy
BOSS_DUNGEON_CHAPTER9_BOSS2,Khu khai quật tàn tích của quân đội hoàng gia
BOSS_DUNGEON_CHAPTER9_BOSS3,Tàn tích lâu đài của Chúa tể bóng tối
BOSS_DUNGEON_CHAPTER9_BOSS4,Tháp truyền tin ở tàn tích pháp nghệ
NODE_MULTIDUNGEON_NAME,Không gian méo
NODE_EVENT_NAME,Rương kỳ lạ
NODE_HUNTING_NAME,Chinh phạt
NODE_WORLDTREE_NAME,Cây thế giới
NODE_TEMPLE_NAME,Đại lộ Anh hùng
NODE_PRISON_NAME,Nhà ngục
NODE_PIT_NAME,Hố địa ngục
NODE_PIT_CHAPTER3_NAME,Hố khát máu
NODE_PIT_CHAPTER5_NAME,Hố chết chóc
NODE_PIT_CHAPTER7_NAME,Hố an nghỉ
NODE_LANDING_NAME,Đổ bộ
NODE_FORGE_NAME,Lò rèn
NODE_PUB_NAME,Quán trọ Anh hùng
NODE_SANCTUM_NAME,Thánh địa Lua
NODE_SCENARIO_NAME,Kịch bản
CONTENT_GUILD,Guild
PVP_TEXT,Đấu trường
NODE_SHOP_TOWN,Cửa hàng Bách hoá
NODE_SHOP_CHAPTER2,Thư viện lưu động
NODE_SHOP_CHAPTER3,Toa xe cổ
NODE_SHOP_CHAPTER4,Cửa Hàng Hàng hiếm
NODE_SHOP_CHAPTER5,Cabin cổ tự
NODE_CASTLE_NAME,Lâu đài Orvel
PARTY_DUNGEON_CHAPTER1,Kho Thuốc súng Đen
PARTY_DUNGEON_CHAPTER1_NODE8,Thuốc súng đen 1-8
PARTY_DUNGEON_CHAPTER2,Tiền đồn bộ lạc Đôi cánh vấy máu
PARTY_DUNGEON_CHAPTER2_NODE8,Tiền đồn bộ lạc Đôi cánh vấy máu 2-8
PARTY_DUNGEON_CHAPTER3,Thung lũng Đất Đỏ
PARTY_DUNGEON_CHAPTER3_NODE8,Thung lũng Đất Đỏ 3-8
PARTY_DUNGEON_CHAPTER4,Bàn thờ Xác sống
PARTY_DUNGEON_CHAPTER4_NODE8,Bàn thờ Xác sống 4-8
PARTY_DUNGEON_CHAPTER5,Cổng vào Pháo đài gai đen
PARTY_DUNGEON_CHAPTER5_NODE8,Cổng vào Pháo đài gai đen 5-8
PARTY_DUNGEON_CHAPTER6,Hang Ngọn gió sa mac bị lãng quên
PARTY_DUNGEON_CHAPTER7,Động thủy tinh băng
PARTY_DUNGEON_CHAPTER8,Hang của Temeraire
PARTY_DUNGEON_CHAPTER9,Cây tăng cường mana bị hủy hoại
NODE_SQUARE_NAME,Trung tâm Orvel
SQUARE_NAME_NORMAL_SUB,Khu trung tâm Orvel
MANUAL_CATEGORY_BATTLE,Chiến binh sinh ra để chiến đấu
MANUAL_CATEGORY_SKILL,Đã đến lúc học một số kỹ năng
MANUAL_CATEGORY_EQUIPMENT,Bạn biết gì về đồ cường hoá?
MANUAL_CATEGORY_AWAKEHERO,Bí mật của anh hùng
MANUAL_CATEGORY_VILLAGE,Chào mừng bạn đến với thị trấn!
MANUAL_CATEGORY_PARTYDUNGEON,Bạn là người bạn thân nhất của tôi
MANUAL_CATEGORY_PIT,Boss trồng cây
MANUAL_CATEGORY_QUEST,Chuyên gia PRG Huh?
MANUAL_CATEGORY_TOWER,Toà tháp đôi Cao đẹp
MANUAL_CATEGORY_ARENA,"Hôm qua là bạn, hôm nay là kẻ thù"
MANUAL_SUBCODE_BATTLE_BATTLEINFO,Vào Ngục tối
MANUAL_SUBCODE_BATTLE_PARTYSETTING,Cài đặt bàn chơi
MANUAL_SUBCODE_SKILL_GETSKILL,Học kỹ năng
MANUAL_SUBCODE_SKILL_UPGRADESKILL,Cường hóa kỹ năng
MANUAL_SUBCODE_SKILL_AWAKESKILL,Thức tỉnh kỹ năng
MANUAL_SUBCODE_EQUIPMENT_EQUIP,Trang bị vật phẩm
MANUAL_SUBCODE_EQUIPMENT_UPGRADEEQUIPMENT,Cường hoá trang bị
MANUAL_SUBCODE_EQUIPMENT_EQUIPRUNE,Trang bị cổ tự
MANUAL_SUBCODE_AWAKEHERO_HALLOFHERO,Phòng trưng bày Đại lộ Anh hùng
MANUAL_SUBCODE_AWAKEHERO_CLASSSELECT,Phòng thử thách: Chọn mục
MANUAL_SUBCODE_AWAKEHERO_UNLOCKSEAL,Phòng thử thách: Giải phong ấn
MANUAL_SUBCODE_AWAKEHERO_SELECTHERO,Phòng thanh tẩy: Chọn anh hùng
MANUAL_SUBCODE_AWAKEHERO_PURIFYHERO,Phòng thanh tẩy: thanh tẩy
MANUAL_SUBCODE_VILLAGE_INTRO,Thị trấn
MANUAL_SUBCODE_VILLAGE_SHOP,Cửa hàng
MANUAL_SUBCODE_VILLAGE_PRISON,Nhà ngục
MANUAL_SUBCODE_VILLAGE_ARENA,Đấu trường
MANUAL_SUBCODE_PARTYDUNGEON_PARTYMATCH,Nhóm: đang ghép đội
MANUAL_SUBCODE_PARTYDUNGEON_PARTYDUNGEON,Nhóm: Ngục tối
MANUAL_SUBCODE_PARTYDUNGEON_PARTYREADY,Nhóm: đã sẵn sàng để chiến đấu
MANUAL_SUBCODE_PARTYDUNGEON_BID,Nhóm: Giá thầu
MANUAL_SUBCODE_PIT_INTRO,Hố địa ngục
MANUAL_SUBCODE_PIT_SELECTAREA,Hố: Chọn mục
MANUAL_SUBCODE_PIT_PARTYSETTING,Hố: Cài đặt bàn chơi
MANUAL_SUBCODE_PIT_CONTINUE,Hố: Tiếp tục
MANUAL_SUBCODE_PIT_REWARDRESET,Hố: Các biện pháp phòng ngừa
MANUAL_SUBCODE_QUEST_INTRO,Nhiệm vụ
MANUAL_SUBCODE_QUEST_OCCUR,Nhiệm vụ: đang tiến hành
MANUAL_SUBCODE_QUEST_ACCEPT,Nhiệm vụ: Được chấp nhận
MANUAL_SUBCODE_QUEST_COMPLETE,Nhiệm vụ: Hoàn thành
MANUAL_SUBCODE_TOWER_INTRO,Tháp đôi
MANUAL_SUBCODE_TOWER_TOWEROFTRIAL,Tháp Ordeals
MANUAL_SUBCODE_TOWER_TOWEROFTRAINING,Tháp Đào tạo
MANUAL_SUBCODE_ARENA_INDIVIDUAL,Đấu trường: PvP
MANUAL_SUBCODE_ARENA_COOPERATIVE,Đấu trường: Hợp tác
MANUAL_SUBCODE_ARENA_TOTAL,Đấu trường: Tổng chiến
MANUAL_SUBCODE_HEROINN,Quán trọ Anh hùng
ACHIEVEMENT_TYPE_GOODS,Hàng hóa
ACHIEVEMENT_TYPE_ITEM,Vật phẩm
ACHIEVEMENT_TYPE_CONTENTS,Nội dung
